2019 Federal Election House of Representatives Two Party Preferred By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:55 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Menzies,229,VIC,LP,56568,57.53,41758,42.47,98326,-0.28
Mitchell,134,NSW,LP,67698,68.63,30938,31.37,98636,0.81
Monash,323,VIC,LP,57631,57.36,42850,42.64,100481,-0.15
Moncrieff,172,QLD,LNP,60079,65.36,31840,34.64,91919,0.75
Moore,242,WA,LP,54735,61.65,34044,38.35,88779,0.63
Moreton,173,QLD,ALP,43597,48.1,47045,51.9,90642,2.12
New England,135,NSW,NP,65818,67.63,31502,32.37,97320,1.21
Newcastle,136,NSW,ALP,37283,36.17,65784,63.83,103067,0.01
Nicholls,324,VIC,NP,66732,70.03,28560,29.97,95292,-2.49
North Sydney,137,NSW,LP,57398,59.27,39438,40.73,96836,-4.34
O'Connor,243,WA,LP,55421,64.48,30536,35.52,85957,-0.56
Oxley,174,QLD,ALP,39473,43.61,51050,56.39,90523,2.62
Page,138,NSW,NP,64295,59.45,43856,40.55,108151,7.15
Parkes,139,NSW,NP,62859,66.91,31093,33.09,93952,1.81
Parramatta,140,NSW,ALP,39368,46.5,45302,53.5,84670,4.17
Paterson,249,NSW,ALP,48471,44.96,59348,55.04,107819,5.7
Pearce,244,WA,LP,57478,57.52,42445,42.48,99923,3.89
Perth,245,WA,ALP,39530,45.07,48176,54.93,87706,-1.6
Petrie,175,QLD,LNP,59331,58.4,42266,41.6,101597,6.75
Rankin,176,QLD,ALP,36971,43.56,47893,56.44,84864,4.86
Reid,144,NSW,LP,49844,53.18,43884,46.82,93728,-1.51
Richmond,145,NSW,ALP,46069,45.92,54251,54.08,100320,-0.12
Riverina,250,NSW,NP,70136,69.48,30805,30.52,100941,3.04
Robertson,146,NSW,LP,52100,54.24,43961,45.76,96061,3.1
