2022 Federal Election House of Representatives Distribution of Preferences By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:09 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,318,Bean,3,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Transfer Count,0
ACT,318,Bean,3,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Transfer Percent,0
ACT,318,Bean,3,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Preference Count,0
ACT,318,Bean,3,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Preference Percent,0
ACT,318,Bean,3,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Transfer Count,0
ACT,318,Bean,3,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Transfer Percent,0
ACT,318,Bean,3,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Count,45720
ACT,318,Bean,3,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Percent,46.47
ACT,318,Bean,3,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Count,3392
ACT,318,Bean,3,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Percent,33.71
ACT,318,Bean,3,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Preference Count,0
ACT,318,Bean,3,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Preference Percent,0
ACT,318,Bean,3,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Transfer Count,-10061
ACT,318,Bean,3,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Transfer Percent,-100
ACT,318,Bean,3,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Preference Count,18911
ACT,318,Bean,3,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Preference Percent,19.22
ACT,318,Bean,3,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Transfer Count,3981
ACT,318,Bean,3,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Transfer Percent,39.57
ACT,318,Bean,3,6,37198,HIATT,Jane,LP,Liberal,N,N,Preference Count,33763
ACT,318,Bean,3,6,37198,HIATT,Jane,LP,Liberal,N,N,Preference Percent,34.31
ACT,318,Bean,3,6,37198,HIATT,Jane,LP,Liberal,N,N,Transfer Count,2688
ACT,318,Bean,3,6,37198,HIATT,Jane,LP,Liberal,N,N,Transfer Percent,26.72
ACT,318,Bean,4,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Preference Count,0
ACT,318,Bean,4,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Preference Percent,0
ACT,318,Bean,4,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Transfer Count,0
ACT,318,Bean,4,1,36239,CONWAY,Sean,UAPP,United Australia Party,N,N,Transfer Percent,0
ACT,318,Bean,4,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Preference Count,0
ACT,318,Bean,4,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Preference Percent,0
ACT,318,Bean,4,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Transfer Count,0
ACT,318,Bean,4,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,N,N,Transfer Percent,0
ACT,318,Bean,4,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Count,61935
ACT,318,Bean,4,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Preference Percent,62.95
ACT,318,Bean,4,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Count,16215
ACT,318,Bean,4,3,36231,SMITH,David,ALP,Australian Labor Party,Y,Y,Transfer Percent,85.74
ACT,318,Bean,4,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Preference Count,0
ACT,318,Bean,4,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Preference Percent,0
ACT,318,Bean,4,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Transfer Count,0
ACT,318,Bean,4,4,32130,CHRISTIE,Jamie,IND,Independent,N,N,Transfer Percent,0
ACT,318,Bean,4,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Preference Count,0
ACT,318,Bean,4,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Preference Percent,0
ACT,318,Bean,4,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Transfer Count,-18911
ACT,318,Bean,4,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,N,N,Transfer Percent,-100
ACT,318,Bean,4,6,37198,HIATT,Jane,LP,Liberal,N,N,Preference Count,36459
ACT,318,Bean,4,6,37198,HIATT,Jane,LP,Liberal,N,N,Preference Percent,37.05
ACT,318,Bean,4,6,37198,HIATT,Jane,LP,Liberal,N,N,Transfer Count,2696
ACT,318,Bean,4,6,37198,HIATT,Jane,LP,Liberal,N,N,Transfer Percent,14.26
ACT,101,Canberra,0,1,36238,SMITH,Catherine,UAPP,United Australia Party,N,N,Preference Count,1687
