2007 Federal Election House of Representatives Two Party Preferred By Division [Event:13745 Phase:FinalResults Generated:2008-09-03T12:44:27 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Lingiari,306,NT,ALP,18138,38.84,28565,61.16,46703,-3.5
Longman,302,QLD,ALP,38157,46.43,44026,53.57,82183,-10.32
Lowe,129,NSW,ALP,33538,42.63,45136,57.37,78674,-4.34
Lyne,130,NSW,NP,46311,58.58,32751,41.42,79062,-4.83
Lyons,196,TAS,ALP,26152,41.22,37292,58.78,63444,-5.1
Macarthur,131,NSW,LP,38865,50.72,37757,49.28,76622,-10.43
Mackellar,132,NSW,LP,52395,62.42,31538,37.58,83933,-3.04
Macquarie,133,NSW,ALP,37690,42.96,50037,57.04,87727,-6.57
Makin,187,SA,ALP,36909,42.3,50346,57.7,87255,-8.63
Mallee,224,VIC,NP,59328,71.27,23912,28.73,83240,-3.48
Maranoa,170,QLD,NP,50936,64.44,28103,35.56,79039,-6.61
Maribyrnong,225,VIC,ALP,27430,34.68,51657,65.32,79087,-5.85
Mayo,188,SA,LP,51264,57.06,38584,42.94,89848,-6.53
McEwen,226,VIC,LP,48339,50.02,48308,49.98,96647,-6.4
McMillan,227,VIC,LP,44172,54.79,36443,45.21,80615,-0.2
McPherson,171,QLD,LP,49195,58.83,34434,41.17,83629,-5.11
Melbourne,228,VIC,ALP,24284,27.73,63299,72.27,87583,-1.13
Melbourne Ports,230,VIC,ALP,36890,42.85,49191,57.15,86081,-3.41
Menzies,229,VIC,LP,47104,56.02,36984,43.98,84088,-4.65
Mitchell,134,NSW,LP,50058,61.59,31221,38.41,81279,-9.09
Moncrieff,172,QLD,LP,52042,64.01,29259,35.99,81301,-5.52
Moore,242,WA,LP,41576,59.17,28695,40.83,70271,-1.66
Moreton,173,QLD,ALP,36411,45.25,44055,54.75,80466,-7.58
Murray,231,VIC,LP,55015,68.26,25577,31.74,80592,-5.82
New England,135,NSW,NP,55167,64.8,29973,35.2,85140,1.21
Newcastle,136,NSW,ALP,28820,34.09,55725,65.91,84545,-6.82
North Sydney,137,NSW,LP,47222,55.38,38041,44.62,85263,-4.66
O'Connor,243,WA,LP,50625,66.55,25442,33.45,76067,-3.84
Oxley,174,QLD,ALP,28868,35.87,51607,64.13,80475,-7.01
Page,138,NSW,ALP,40740,47.64,44770,52.36,85510,-7.83
Parkes,139,NSW,NP,51985,63.04,30484,36.96,82469,-4.52
Parramatta,140,NSW,ALP,36727,43.12,48453,56.88,85180,-7.71
Paterson,249,NSW,LP,43228,51.51,40688,48.49,83916,-4.81
Pearce,244,WA,LP,50022,59.07,34661,40.93,84683,-3.87
Perth,245,WA,ALP,32205,41.15,46061,58.85,78266,-2.12
Petrie,175,QLD,ALP,39871,47.95,43283,52.05,83154,-9.5
Port Adelaide,189,SA,ALP,27391,30.25,63158,69.75,90549,-6.84
Prospect,142,NSW,ALP,28973,36.54,50327,63.46,79300,-7.06
Rankin,176,QLD,ALP,30643,38.26,49440,61.74,80083,-8.76
Reid,144,NSW,ALP,26373,33.2,53065,66.8,79438,-4.72
Richmond,145,NSW,ALP,33513,41.13,47973,58.87,81486,-7.43
Riverina,250,NSW,NP,55868,66.23,28490,33.77,84358,-4.62
Robertson,146,NSW,ALP,43513,49.89,43697,50.11,87210,-6.98
Ryan,177,QLD,LP,45258,53.82,38840,46.18,84098,-6.6
Scullin,232,VIC,ALP,23791,29.15,57830,70.85,81621,-6.06
Shortland,148,NSW,ALP,30162,35.26,55379,64.74,85541,-5.5
Solomon,307,NT,ALP,25657,49.81,25853,50.19,51510,-3
Stirling,246,WA,LP,41520,51.29,39431,48.71,80951,-0.75
Sturt,190,SA,LP,46153,50.94,44442,49.06,90595,-5.86
Swan,247,WA,LP,36420,50.11,36256,49.89,72676,0.19
Sydney,149,NSW,ALP,23350,30.5,53214,69.5,76564,-2.12
Tangney,248,WA,LP,45480,58.68,32019,41.32,77499,-3.07
Throsby,150,NSW,ALP,21348,26.54,59099,73.46,80447,-9.64
Wakefield,191,SA,ALP,37704,43.41,49142,56.59,86846,-7.26
Wannon,233,VIC,LP,49020,57.47,36282,42.53,85302,-4.9
Warringah,151,NSW,LP,50627,59.5,34464,40.5,85091,-1.79
Watson,251,NSW,ALP,23835,29.67,56499,70.33,80334,-5.77
Wentworth,152,NSW,LP,47538,53.85,40734,46.15,88272,1.34
Werriwa,153,NSW,ALP,27711,34.76,51999,65.24,79710,-8.3
Wide Bay,178,QLD,NP,47149,58.47,33484,41.53,80633,-3.74
Wills,234,VIC,ALP,23785,27.59,62432,72.41,86217,-5.51
