2010 Federal Election House of Representatives Two Party Preferred By Division [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:52 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
DivisionNm,DivisionID,StateAb,PartyAb,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
Richmond,145,NSW,ALP,46071,56.99,34764,43.01,80835,-1.88
Riverina,250,NSW,NP,28009,31.83,59980,68.17,87989,-3.62
Robertson,146,NSW,ALP,43520,51,41821,49,85341,0.91
Ryan,177,QLD,LNQ,38138,42.84,50896,57.16,89034,-5.95
Scullin,232,VIC,ALP,57355,72.25,22025,27.75,79380,1.4
Shortland,148,NSW,ALP,52612,62.85,31101,37.15,83713,-1.89
Solomon,307,NT,CLP,24585,48.25,26371,51.75,50956,-1.94
Stirling,246,WA,LP,35832,44.45,44775,55.55,80607,-4.28
Sturt,190,SA,LP,41113,46.57,47172,53.43,88285,-2.49
Swan,247,WA,LP,37710,47.47,41729,52.53,79439,-2.8
Sydney,149,NSW,ALP,53235,67.07,26142,32.93,79377,-2.25
Tangney,248,WA,LP,31607,37.68,52266,62.32,83873,-2.51
Throsby,150,NSW,ALP,51909,62.11,31662,37.89,83571,-4.65
Wakefield,191,SA,ALP,54528,61.95,33485,38.05,88013,5.36
Wannon,233,VIC,LP,35554,42.71,47697,57.29,83251,0.18
Warringah,151,NSW,LP,31360,36.91,53612,63.09,84972,-4.31
Watson,251,NSW,ALP,45393,59.14,31364,40.86,76757,-9.06
Wentworth,152,NSW,LP,30457,35.14,56219,64.86,86676,-11.01
Werriwa,153,NSW,ALP,42740,56.75,32574,43.25,75314,-8.32
Wide Bay,178,QLD,LNQ,28029,34.39,53484,65.61,81513,-7.22
Wills,234,VIC,ALP,61297,72.64,23091,27.36,84388,0.24
Wright,316,QLD,LNQ,30049,39.85,45358,60.15,75407,-6.36
