House of Representatives: Election 2001 - National,,,,,,,
Two Party Preferred Statistics,,,,,,,
By Division,,,,,,,
,,,,,,,
National Summary,,,,,,,
,,,Coalition,,,,
State,ALP,,(LP/NP/CLP),,Total,Swing,
,Votes,%,Votes,%,,,
Perth,45239,61.21,28674,38.79,73913,-1.33,
Stirling,39740,51.58,37311,48.42,77051,-0.58,
Swan,36844,52.04,33959,47.96,70803,-0.72,
Tangney,31934,42.03,44047,57.97,75981,-0.93,
State Total,524825,48.38,559970,51.62,1084795,-1.08,
,,,,,,,
South Australia,,,,,,,
Division,ALP,,LP/NP,,Total,Swing,
,Votes,%,Votes,%,,,
Adelaide,38585,49.78,38928,50.22,77513,0.43,
Barker,27416,34.31,52491,65.69,79907,-1.65,
Bonython,45688,60.42,29924,39.58,75612,-2.88,
Boothby,34933,42.65,46982,57.35,81915,0.25,
Grey,30532,39.44,46876,60.56,77408,-1.53,
Hindmarsh,36719,48.14,39564,51.86,76283,-0.64,
Kingston,40618,52.42,36872,47.58,77490,0.54,
Makin,37219,46.24,43271,53.76,80490,-2.98,
Mayo,29040,37.13,49162,62.87,78202,-3.32,
Port Adelaide,49379,64.65,27005,35.35,76384,-1.07,
Sturt,32568,41.82,45310,58.18,77878,-0.46,
Wakefield,27861,35.44,50764,64.56,78625,2.08,
State Total,430558,45.92,507149,54.08,937707,-0.97,
,,,,,,,
Tasmania,,,,,,,
Division,ALP,,LP/NP,,Total,Swing,
,Votes,%,Votes,%,,,
Bass,31598,52.06,29093,47.94,60691,1.88,
Braddon,35345,55.96,27819,44.04,63164,1.67,
Denison,40530,64.26,22543,35.74,63073,-0.25,
Franklin,36390,58.04,26307,41.96,62697,1.44,
Lyons,33970,58.17,24423,41.83,58393,-2.94,
State Total,177833,57.73,130185,42.27,308018,0.42,
,,,,,,,
Australian Capital Territory,,,,,,,
Division,ALP,,LP/NP,,Total,Swing,
,Votes,%,Votes,%,,,
Canberra,59632,59.44,40696,40.56,100328,-0.62,
Fraser,64154,62.69,38184,37.31,102338,-2.17,
Territory Total,123786,61.08,78880,38.92,202666,-1.36,
,,,,,,,
Northern Territory,,,,,,,
Division,ALP,,CLP/NP,,Total,Swing,
,Votes,%,Votes,%,,,
Lingiari,24182,55.29,19551,44.71,43733,1.77,
Solomon,23670,49.91,23758,50.09,47428,2.15,
Territory Total,47852,52.49,43309,47.51,91161,1.92,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
