2022 Federal Election House of Representatives Two Party Preferred By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:12 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
McMahon,315,NSW,ALP,34329,40.51,50413,59.49,84742,-2.85
McPherson,171,QLD,LNP,57605,59.34,39478,40.66,97083,-2.86
Melbourne,228,VIC,ALP,21315,22.09,75191,77.91,96506,-10.11
Menzies,229,VIC,LP,51198,50.68,49821,49.32,101019,-6.34
Mitchell,134,NSW,LP,65662,60.69,42531,39.31,108193,-7.94
Monash,323,VIC,LP,51156,52.9,45556,47.1,96712,-3.96
Moncrieff,172,QLD,LNP,60080,61.19,38098,38.81,98178,-4.17
Moore,242,WA,LP,52958,50.66,51573,49.34,104531,-10.96
Moreton,173,QLD,ALP,37866,40.91,54690,59.09,92556,-7.19
New England,135,NSW,NP,64622,66.43,32650,33.57,97272,-1.2
Newcastle,136,NSW,ALP,33820,32.02,71807,67.98,105627,-4.15
Nicholls,324,VIC,NP,63918,67.15,31273,32.85,95191,-2.88
North Sydney,137,NSW,LP,49781,51.26,47337,48.74,97118,-8.01
O'Connor,243,WA,LP,55104,56.97,41614,43.03,96718,-8.44
Oxley,174,QLD,ALP,36644,38.41,58768,61.59,95412,-5.2
Page,138,NSW,NP,63512,60.74,41057,39.26,104569,1.29
Parkes,139,NSW,NP,60433,67.84,28647,32.16,89080,0.93
Parramatta,140,NSW,ALP,38285,45.43,45980,54.57,84265,-1.07
Paterson,249,NSW,ALP,53638,46.69,61247,53.31,114885,1.73
Pearce,244,WA,ALP,38876,40.96,56040,59.04,94916,-14.23
Perth,245,WA,ALP,35930,35.2,66151,64.8,102081,-11.57
Petrie,175,QLD,LNP,57981,54.44,48532,45.56,106513,-3.96
Rankin,176,QLD,ALP,35930,40.91,51892,59.09,87822,-2.65
Reid,144,NSW,ALP,43900,44.81,54076,55.19,97976,-8.37
Richmond,145,NSW,ALP,41680,41.77,58104,58.23,99784,-4.15
Riverina,250,NSW,NP,63979,64.85,34685,35.15,98664,-4.63
Robertson,146,NSW,ALP,45933,47.74,50277,52.26,96210,-6.5
Ryan,177,QLD,ALP,47254,47.58,52062,52.42,99316,-8.45
Scullin,232,VIC,ALP,31361,34.42,59761,65.58,91122,6.08
Shortland,148,NSW,ALP,44314,44.18,55985,55.82,100299,-1.37
Solomon,307,NT,ALP,22399,40.63,32726,59.37,55125,-6.29
Spence,325,SA,ALP,39409,37.1,66818,62.9,106227,1.23
Sturt,190,SA,LP,56813,50.45,55797,49.55,112610,-6.42
Swan,247,WA,ALP,41240,41.23,58796,58.77,100036,-11.99
Sydney,149,NSW,ALP,25192,24.43,77933,75.57,103125,-6.9
Tangney,248,WA,ALP,51217,47.62,56331,52.38,107548,-11.88
Wannon,233,VIC,LP,59722,59.07,41379,40.93,101101,-1.1
Warringah,151,NSW,LP,48001,51.43,45333,48.57,93334,-0.69
Watson,251,NSW,ALP,29917,34.9,55810,65.1,85727,-1.58
Wentworth,152,NSW,LP,49727,55.92,39196,44.08,88923,-3.93
Werriwa,153,NSW,ALP,44458,44.18,56173,55.82,100631,-0.35
Whitlam,150,NSW,ALP,43654,39.93,65683,60.07,109337,0.84
Wide Bay,178,QLD,LNP,58708,61.34,36995,38.66,95703,-1.81
Wills,234,VIC,ALP,22094,24.23,69104,75.77,91198,-0.06
Wright,316,QLD,LNP,64506,60.89,41427,39.11,105933,-3.69
