CED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED394,7108,6127,13234,1003,602,1610,462,658,1119,244,247,492,466,384,851,2172,1892,4069,2898,2883,5780,21.5,20.1,0,30.6,30.9,0,24,24.7,0,171,197,369,66,101,168,494,831,1322,384,577,959,1449,778,2225,71,114,183,96,112,208,1616,1003,2617,1455,1091,2545,4166,4209,8378,948,648,1590,4429,4444,8873
CED397,149,28,183,25,0,26,0,0,0,6,0,8,0,0,3,31,3,35,6,0,11,3.1,33.3,5.7,21.2,9.7,19.2,20.5,6.5,18.1,0,0,0,0,0,0,3,0,4,0,5,4,18,0,14,7,0,7,4,0,4,25,0,25,39,5,47,3,0,4,17,3,20,26,3,30
CED401,83174,85250,168422,35550,23313,58864,14862,22907,37768,2298,2906,5203,3525,2798,6322,56227,51927,108160,23232,29967,53197,6.3,5.4,5.8,67.6,60.9,64.2,63.4,57.6,60.5,8503,8804,17306,1958,3130,5093,18788,21412,40193,6844,7618,14465,11630,7043,18673,686,867,1555,986,1319,2302,13304,9226,22529,75318,77097,152415,17592,17522,35112,44185,46242,90430,44306,44482,88791
CED402,71622,70782,142401,29958,15071,45020,8484,19350,27833,2481,2721,5195,1912,1480,3395,42838,38620,81456,24097,27801,51897,4.5,3.8,4.2,59.8,54.6,57.2,57.1,52.5,54.8,898,1174,2077,531,1398,1923,3999,7616,11615,3763,6340,10108,18640,11189,29834,954,1491,2444,1100,1424,2527,20698,14105,34805,68895,68662,137559,9625,9966,19587,48658,47530,96184,26180,27588,53766
CED403,70462,78062,148524,29895,19296,49185,11583,22153,33741,1985,2731,4714,2412,1846,4261,45879,46022,91902,22201,29669,51869,5.3,4,4.6,65.1,59,61.9,61.7,56.6,59,5967,6388,12362,1801,3247,5051,14556,18711,33263,6565,7990,14553,13174,7024,20201,617,860,1479,1120,1627,2747,14906,9515,24425,69439,75442,144881,11358,12219,23580,45582,49857,95434,31509,34271,65786
CED404,71574,70085,141658,27199,14248,41453,7960,17600,25564,2703,2660,5362,2522,1697,4216,40387,36201,76591,25609,28963,54569,6.3,4.7,5.5,56.4,51.7,54.1,52.9,49.2,51.1,847,1134,1988,435,1264,1700,3421,7134,10559,3374,5977,9346,19341,10344,29684,1007,1431,2440,1038,1227,2263,21381,13007,34387,68591,67358,135953,9582,10080,19659,49709,47965,97671,24443,25592,50036
CED405,70528,75560,146090,30752,19607,50362,10719,20022,30736,1950,2613,4565,2497,1986,4479,45920,44229,90147,21883,28730,50611,5.4,4.5,5,65.1,58.5,61.7,61.6,55.9,58.6,3401,4027,7427,1150,2153,3301,10295,13738,24032,6114,7459,13578,16263,8710,24969,768,958,1730,1071,1570,2640,18106,11231,29338,69572,73410,142985,10392,10999,21388,46790,49412,96199,29325,31382,60706
CED406,66231,70541,136777,28541,16272,44809,9594,20274,29871,2008,2617,4627,2745,1905,4652,42887,41074,83965,20751,27005,47752,6.4,4.6,5.5,64.8,58.2,61.4,60.6,55.5,58,1697,2281,3982,831,1793,2628,6280,10091,16368,5367,7523,12885,19904,11629,31530,1025,1397,2421,1116,1694,2808,22048,14714,36766,69222,71958,141174,8048,8786,16838,48937,50025,98958,24400,26989,51392
CED407,70201,72465,142664,31031,17468,48498,10357,19415,29768,1992,2414,4404,2714,2193,4911,46091,41488,87579,21722,28671,50388,5.9,5.3,5.6,65.7,57.3,61.4,61.8,54.2,57.9,3037,3111,6148,848,1634,2488,7985,10866,18851,5799,7218,13013,17773,9942,27710,855,1207,2069,1061,1521,2578,19685,12669,32357,72600,74247,146848,9342,9282,18618,50970,52325,103294,26659,27167,53822
CED408,69793,74121,143917,27890,15420,43309,10810,21645,32454,2289,2879,5166,1850,1518,3367,42838,41462,84301,23622,29530,53148,4.3,3.7,4,61.4,55.9,58.6,58.7,53.9,56.2,3013,3538,6555,1374,2662,4030,8855,13200,22056,6125,8654,14775,18340,9955,28289,809,1221,2035,1305,1823,3133,20451,13003,33452,70834,73844,144680,9241,10081,19321,48423,49894,98319,27936,30519,58452
