CED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED505,65759,70403,136155,2528,2814,5339,402,454,851,455,527,983,287,327,615,68,78,145,8026,8893,16922,38,44,82,55,61,111,62,53,120,0,0,0,9398,10438,19841,1216,1291,2501,159,152,312,13293,14700,28001,3702,3505,7202,82750,88606,171355
CED506,71372,67536,138908,5149,5397,10549,401,373,772,410,422,832,661,630,1290,172,164,339,7983,8008,15988,53,60,113,230,242,475,29,23,45,3,11,12,9940,9924,19866,554,488,1046,282,247,538,15934,16056,31994,16374,11806,28179,103678,95401,199077
CED507,60253,63032,123283,3241,3465,6706,191,199,390,205,204,412,187,196,380,63,63,124,6373,7044,13418,57,59,120,64,74,133,10,8,22,9,0,11,7156,7851,15012,436,420,858,215,182,398,11045,11924,22971,5694,4398,10096,76991,79356,156348
CED508,64911,68121,133037,1657,1889,3547,324,311,635,315,341,649,195,221,413,73,75,152,7821,8735,16559,44,42,77,57,51,107,40,32,72,0,3,4,8860,9812,18677,608,627,1235,226,219,439,11351,12551,23904,4189,3513,7703,80456,84188,164642
CED509,69820,71474,141297,1497,1648,3145,178,181,362,205,226,425,179,175,356,50,48,100,7374,8078,15452,34,40,70,52,46,95,14,18,29,0,0,0,8085,8809,16894,448,494,946,216,170,385,10257,11118,21366,6140,3683,9820,86215,86273,172488
CED510,68487,70641,139129,1238,1275,2511,213,263,472,230,218,445,167,175,340,29,39,70,6422,6669,13089,19,15,32,25,30,60,19,23,38,10,10,16,7125,7444,14567,542,547,1089,148,135,279,9057,9402,18452,2803,2155,4957,80340,82198,162535
CED511,66702,64885,131588,4013,4180,8196,233,181,419,230,203,434,316,259,583,135,110,238,6349,6445,12800,72,57,128,83,70,149,13,10,20,8,0,8,7436,7346,14781,492,365,852,249,189,440,12192,12084,24272,10394,7907,18301,89291,84875,174165
CED512,70965,74344,145308,1990,2275,4261,205,227,431,196,230,426,185,223,415,69,50,116,7283,7971,15251,39,34,73,49,48,99,17,12,32,3,0,6,8041,8795,16843,504,560,1063,205,188,393,10740,11819,22558,4111,3123,7233,85816,89281,175098
CED513,67810,70040,137852,2213,2345,4558,467,436,897,567,537,1108,408,375,788,136,112,244,10350,10937,21291,43,40,84,79,74,148,40,39,79,0,0,3,12085,12555,24644,1059,1099,2164,253,215,466,15613,16221,31834,5664,4477,10146,89090,90743,179826
CED514,72367,72863,145232,2480,2485,4968,369,276,639,456,392,852,297,250,548,93,92,187,10577,10567,21136,50,50,102,76,78,159,33,46,86,3,8,6,11956,11764,23716,1015,977,1992,312,263,576,15762,15491,31252,5832,5174,11003,93960,93523,187486
