CED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
CED121,767,655,605,566,252,58,3502,46,298,378,330,409,352,128,16,1966,586,3040,2996,2160,1813,1726,670,187,13178,501,1939,2283,2382,2219,1651,667,194,11829,3116,7605,6633,6427,5717,3651,1610,433,35197,476,457,374,351,311,234,65,22,2287,202,334,329,550,665,679,355,101,3207,3794,8401,7338,7329,6683,4558,2028,561,40689,45,73,95,125,150,154,109,36,778,1449,1893,1744,1637,1532,1690,1524,924,12400,6438,16231,15604,14609,13413,10702,5377,1976,84341
CED122,5383,3369,2070,1082,411,91,18682,72,782,876,729,490,379,109,20,3462,3487,14631,9053,5969,3632,2141,827,224,39962,1177,3260,3104,2947,2179,1266,585,200,14714,1319,3630,2848,2658,2427,1408,868,308,15461,202,176,163,203,168,123,54,10,1095,156,325,365,534,611,398,196,56,2655,1680,4133,3376,3401,3206,1927,1119,369,19211,119,343,248,192,214,177,104,31,1433,1555,2931,2096,1538,1275,1227,1071,707,12397,8360,32089,24147,18144,13065,8190,4224,1650,109864
CED123,2362,1068,594,317,94,12,6372,82,471,551,407,292,237,58,3,2096,1395,5257,4940,2762,1692,1142,347,78,17612,856,2969,3237,2673,1876,1072,346,75,13107,3341,7175,6055,5079,4011,2328,918,188,29092,378,420,397,349,261,164,31,3,1998,229,356,509,578,568,432,174,30,2888,3954,7945,6954,6001,4839,2924,1124,223,33978,58,138,202,163,152,138,71,20,949,1733,2518,2291,1744,1349,1266,1087,695,12680,8176,21130,20541,14824,10800,7092,3132,1109,86795
CED124,551,563,670,678,238,37,3089,27,208,285,384,492,539,151,17,2097,315,1835,2270,2277,2370,2445,964,211,12691,300,1026,1660,2246,2655,2485,1035,245,11657,2058,4111,4389,5360,6327,5003,2371,569,30189,277,296,283,323,374,396,130,25,2104,143,170,260,463,800,896,444,125,3305,2482,4582,4934,6146,7507,6295,2941,711,35597,37,41,70,90,172,260,156,53,874,1212,1047,1190,1403,1997,2521,2301,1222,12888,4376,9086,10961,13105,15855,15221,7791,2492,78893
CED125,3249,1354,709,371,108,24,8275,86,544,647,407,273,199,47,3,2195,1496,6925,6561,3154,1947,1200,342,59,21691,981,3675,3987,2884,2074,1189,319,49,15153,2664,6596,5827,4644,3990,2425,901,140,27194,339,426,418,309,278,174,46,4,1994,235,392,597,665,691,527,164,30,3294,3232,7413,6841,5617,4961,3121,1116,173,32479,88,199,254,177,181,164,68,14,1139,1657,2152,2116,1491,1325,1230,888,339,11204,7634,23291,23655,15082,11464,7470,2882,665,92135
CED126,2349,2423,1728,1052,440,98,9365,34,338,593,819,708,543,203,47,3292,1517,5189,6580,6533,4399,2987,1472,427,29097,618,1748,2678,3734,2922,2112,1271,399,15486,1402,2636,2994,3616,3223,2006,1391,452,17724,156,103,178,241,227,204,88,30,1220,130,190,336,656,826,759,536,195,3623,1684,2930,3504,4517,4276,2973,2011,670,22573,46,98,142,198,193,214,199,82,1169,648,758,928,1008,945,1010,1173,935,7403,4582,12294,16788,19236,15178,10881,6766,2665,88393
CED127,1547,1621,1533,1242,381,72,7744,46,338,510,729,786,737,182,25,3354,849,3233,3813,3757,3145,2607,970,223,18598,596,1677,2225,2728,2630,1959,844,220,12882,2241,4533,4369,4634,4207,2573,1116,292,23971,248,225,223,268,278,194,65,11,1516,140,192,276,507,645,650,327,83,2827,2629,4950,4868,5409,5135,3421,1511,390,28313,44,67,99,110,138,170,156,37,816,745,836,906,989,995,1011,1005,618,7105,4963,12393,13973,15347,14355,11153,5049,1583,78809
CED128,1547,668,525,291,65,12,4888,53,331,326,253,217,138,34,6,1364,1642,5496,3998,2539,1879,1123,351,81,17105,910,2564,2899,2453,1758,887,292,68,11823,1732,3618,3606,3463,2988,1768,774,170,18117,226,256,302,277,231,123,29,4,1446,158,309,476,548,587,349,133,33,2600,2120,4182,4388,4289,3807,2238,934,204,22160,67,173,189,137,158,131,53,10,928,1578,2206,2065,1609,1497,1278,936,621,11789,6473,16638,15415,11946,9832,6082,2666,1016,70062
CED129,7399,3903,2157,1119,329,60,18138,71,482,1073,922,598,466,142,21,3775,2320,7835,11430,7765,4519,3047,1092,215,38225,876,1847,3437,3969,2786,1879,773,190,15759,1527,2363,2858,3506,2638,1746,1180,272,16086,215,132,167,233,229,155,75,17,1221,168,192,417,656,694,669,347,86,3228,1905,2689,3450,4390,3562,2572,1601,371,20540,64,131,276,251,219,225,148,32,1351,615,855,1149,842,728,779,704,500,6178,5949,16919,28214,22038,14572,10090,4794,1386,103960
CED130,1000,809,756,575,250,52,4395,38,300,436,462,434,417,123,13,2224,660,3185,2828,2464,1984,1710,687,182,13693,288,1232,1677,2019,2048,1550,697,173,9685,2328,4853,4533,4444,4546,3043,1302,285,25332,426,412,288,310,365,223,89,9,2115,166,234,270,482,592,584,288,69,2687,2913,5495,5092,5232,5500,3857,1690,361,30141,52,88,88,84,121,156,106,31,722,2259,1841,1723,1871,2054,2184,1858,906,14699,6239,13059,12835,12943,12901,10442,5402,1725,75551
CED131,2764,1870,1389,853,285,61,9666,78,670,763,727,631,547,138,29,3591,2065,8519,6280,4485,2931,2147,757,184,27375,709,2285,2365,2659,2241,1414,596,168,12436,2619,5177,4117,3992,3940,2367,1057,360,23622,443,266,217,259,275,171,63,15,1710,169,221,283,459,566,527,250,78,2550,3236,5656,4616,4704,4775,3068,1367,455,27880,83,124,107,122,130,134,104,36,834,1490,1459,1153,1152,1130,1155,1085,1035,9652,7756,21066,18051,15727,13222,9313,4335,1972,91433
CED132,7464,4954,3197,2204,902,186,24144,49,894,1215,1131,869,673,290,55,5171,2778,13020,11865,8505,5803,3930,1922,582,48397,541,1825,2519,2607,2239,1743,992,373,12842,556,1582,1404,1279,1202,848,489,217,7583,91,97,114,118,134,122,56,20,754,66,167,273,427,512,520,277,127,2380,714,1844,1789,1830,1853,1492,826,365,10716,53,182,226,201,171,214,143,66,1256,566,1422,1378,999,836,933,844,837,7808,4853,24270,26457,20222,14965,11189,5913,2464,110336
CED133,762,806,748,696,233,25,3821,36,251,437,547,614,614,127,24,2663,365,2583,3320,3175,2787,2534,743,174,15680,327,1316,1830,2412,2698,2201,820,205,11799,2303,4786,4765,5139,5958,4165,1573,389,29071,385,378,317,328,408,294,78,21,2220,170,256,348,482,768,744,336,93,3180,2857,5421,5429,5949,7128,5199,1988,504,34481,35,82,78,107,167,217,145,39,876,1766,2034,2020,2057,2308,2323,1744,969,15217,5413,12211,13879,15054,16452,13773,5802,1935,84528
CED134,701,428,349,176,59,17,2747,31,326,367,351,348,209,45,7,1679,613,3440,2760,2000,1464,1005,357,87,11728,284,1401,1533,1711,1762,998,410,116,8209,2016,5109,4290,4101,4066,2468,969,211,23231,306,381,250,290,316,160,53,7,1773,150,225,259,389,515,429,211,48,2230,2480,5717,4792,4782,4893,3069,1230,276,27238,39,80,68,85,116,118,74,31,615,2384,2662,2471,2495,2814,2518,1914,938,18196,5871,14612,12697,11848,11749,8086,4089,1460,70408
CED135,8064,2590,1472,676,207,31,22376,108,808,932,555,394,250,73,16,3134,3194,14385,11505,4929,3315,1927,752,196,40204,1642,3372,3487,2660,1997,1083,493,136,14875,1408,2738,2713,2512,2199,1185,585,200,13541,208,219,202,247,202,122,38,10,1242,162,292,393,542,468,389,183,58,2476,1772,3247,3313,3299,2873,1685,804,265,17260,123,451,406,213,233,168,88,39,1715,1920,3663,2917,1611,1519,1123,792,522,14072,9216,34808,30624,15850,11801,6928,3205,1212,113636
CED136,877,667,569,415,153,18,3332,58,336,374,410,394,388,91,15,2068,602,3239,3063,2276,1697,1597,649,145,13262,530,2147,2521,2586,2432,1756,746,135,12856,3012,7489,6525,6113,5589,3809,1782,338,34669,453,496,394,312,316,240,73,10,2305,199,304,349,508,683,665,303,73,3081,3669,8303,7267,6936,6586,4715,2163,421,40053,35,81,93,108,128,206,111,46,806,1073,1314,1189,1200,1360,1659,1506,718,10014,5992,16016,15390,14171,13169,10741,5412,1502,82392
CED137,6448,3213,2145,1232,385,79,23474,153,931,948,765,591,447,156,32,4023,4153,17091,10960,6679,4705,2775,1066,291,47721,2514,3984,3596,3060,2526,1555,619,181,18032,1228,2664,2238,2216,2199,1353,686,229,12812,155,182,192,217,210,110,50,11,1128,154,337,380,553,654,508,223,79,2883,1540,3187,2811,2989,3058,1968,955,321,16825,149,338,287,215,241,227,117,52,1621,1714,3651,2275,1301,1145,1026,832,753,12711,10612,38765,27330,18214,14415,9225,4130,1719,124411
