CED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED121,449,762,1212,15013,17529,32544,0,0,0,1183,1347,2530,109,109,216,14975,16742,31723,15,44,61,293,276,566,313,437,748,119,123,244,114,158,274,42,35,71,362,446,806,663,779,1446,1647,1794,3437,228,322,549,1546,1812,3359,2776,3678,6453,1877,2084,3964,224,245,466,41500,47954,89457,450,396,847,343,286,626,29,31,66,16,20,42,90,77,166,157,247,405,266,344,611,36124,32012,68138,293,210,498,125,199,323,36542,32418,68963,7454,5173,12635,87036,87384,174420
CED122,2442,3468,5909,5737,6830,12566,179,190,373,491,611,1100,4,11,18,23635,26245,49887,18,20,31,5198,5813,11009,127,175,303,105,91,196,117,149,258,251,262,508,284,335,614,532,721,1258,1115,1228,2344,14,23,45,60,71,125,670,771,1440,1623,1941,3565,29,32,61,40187,45514,85707,1583,1334,2917,2627,2308,4939,2706,2955,5660,13,15,24,128,113,242,214,280,492,347,411,754,31721,29917,61638,351,258,612,126,199,327,32203,30375,62577,7432,6033,13467,89527,92410,181933
CED123,898,1245,2141,11433,13656,25098,49,44,91,824,863,1692,215,196,412,24824,26899,51717,86,83,170,1381,1398,2785,232,289,522,349,377,720,155,180,335,416,414,826,439,514,954,1212,1386,2597,1437,1730,3171,98,171,261,180,231,414,1151,1399,2547,2513,2775,5289,57,64,120,47050,52680,99724,3377,3324,6702,2701,2484,5181,32,35,67,21,20,37,1246,1181,2428,253,351,607,1515,1553,3071,29332,26599,55934,269,219,492,88,156,245,29694,26981,56675,7367,6921,14282,92631,95216,187851
CED124,351,584,937,16422,18545,34961,3,0,3,1206,1314,2518,12,8,25,13261,15040,28299,54,75,127,222,203,424,391,504,897,108,144,253,125,152,279,28,24,51,343,391,739,379,474,854,2186,2411,4605,228,311,541,258,328,581,2743,3707,6448,1565,1857,3420,33,53,85,39569,45544,85109,197,192,387,141,138,281,50,51,107,42,32,78,44,36,80,146,231,378,231,302,533,29939,27401,57337,203,175,376,104,196,301,30247,27771,58014,6104,5876,11981,76884,80459,157347
CED125,2168,2813,4978,10254,11997,22249,370,346,719,1265,1392,2648,164,147,305,25981,28299,54280,74,102,172,2301,2348,4645,395,464,861,691,744,1432,130,153,279,716,685,1400,552,557,1107,1360,1633,2999,1170,1297,2467,94,134,228,413,481,900,1092,1319,2413,3251,3611,6863,98,103,203,50366,55807,106170,5773,5624,11391,10180,9884,20059,45,32,73,8,13,24,1203,1115,2317,478,590,1070,1689,1721,3408,24075,21579,45657,203,126,332,109,151,261,24387,21856,46243,6679,6484,13163,101285,104213,205501
CED126,894,1333,2230,10879,12971,23855,19,20,40,731,785,1512,4,3,8,16652,18707,35358,15,20,35,1140,1237,2380,181,242,420,84,98,186,185,235,417,334,370,702,277,312,591,684,795,1476,1185,1419,2610,56,73,126,52,64,112,1576,2045,3623,1553,1800,3353,32,44,74,35637,41231,76875,759,651,1416,402,356,757,241,264,503,0,7,3,212,181,389,196,262,467,413,450,864,33307,30751,64060,264,190,450,138,231,372,33710,31170,64879,3906,3964,7875,75968,79420,155387
CED127,576,937,1520,10823,12758,23582,0,8,9,1272,1478,2749,240,260,503,14730,16186,30917,62,76,140,617,613,1227,253,339,587,145,146,294,167,197,368,32,31,60,185,241,427,689,768,1458,1325,1487,2813,95,121,216,123,149,276,1509,1967,3473,1775,1977,3748,65,78,134,34109,38875,72983,372,324,697,308,299,608,111,124,235,12,17,27,184,166,353,274,412,685,472,591,1068,30630,28392,59020,328,269,599,155,259,411,31112,28919,60031,4266,3931,8194,71325,74011,145330
CED128,4066,5164,9229,4333,5024,9353,2468,2675,5139,841,872,1721,23,17,39,29115,30888,60002,83,100,179,3111,3084,6202,203,296,503,273,297,573,71,69,146,847,869,1716,418,411,827,656,791,1451,633,728,1357,47,71,120,194,231,423,836,1003,1841,2983,3203,6190,83,74,156,47230,50707,97938,2604,2324,4926,12537,11665,24206,22,20,37,4,3,5,459,363,829,601,687,1289,1072,1058,2121,13137,10961,24094,103,79,185,54,76,125,13291,11114,24405,6612,6172,12781,87426,88217,175649
CED129,2524,3287,5819,8969,10349,19324,26,44,64,1465,1703,3168,195,185,384,22537,24831,47366,89,115,201,1778,1870,3649,167,206,375,244,274,511,135,158,293,605,621,1230,486,513,1001,1704,2039,3740,1897,2121,4018,93,99,197,344,406,745,1716,2114,3824,2427,2708,5138,57,68,129,44931,50427,95353,7803,7807,15606,4503,4437,8943,109,104,208,4,0,4,1408,1331,2741,614,686,1300,2024,2018,4040,26318,23717,50036,253,202,454,72,113,185,26639,24026,50669,3848,3724,7575,92376,95838,188212
CED130,417,583,997,17358,19934,37291,3,0,3,602,681,1280,177,177,350,14906,16785,31691,29,52,80,116,111,229,274,354,624,75,75,149,108,157,267,22,22,48,227,176,403,511,614,1127,2521,2767,5290,220,287,510,229,245,474,2355,2979,5337,1549,1766,3318,68,58,127,41354,47237,88592,607,572,1178,453,358,809,42,32,72,54,49,100,149,140,297,420,601,1023,628,795,1417,26052,23559,49606,197,146,345,71,124,201,26320,23834,50150,7942,7487,15425,77752,80894,158649
