CED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED317,505,2269,736,1256,101,5382,466,386,2232,1547,2550,244,7428,7,9,57,57,177,14,317,65,36,195,245,1546,58,2143,32,15,182,198,933,374,1731,1853,1369,8956,6913,24299,2176,45563
CED318,689,2539,836,1254,147,6430,1280,824,4436,2186,3035,357,12118,60,20,228,158,351,39,854,148,60,435,378,1357,60,2438,66,28,303,259,833,390,1879,4060,2368,14974,9836,23309,2258,56806
CED319,715,2935,724,898,88,6663,1635,855,5372,1886,2060,234,12038,72,36,388,155,291,22,965,138,71,498,410,1193,67,2375,192,52,608,373,665,254,2147,7061,3431,23378,10388,17808,1548,63613
CED320,485,1859,782,1415,74,5030,459,492,2492,2434,3809,252,9940,11,13,105,93,297,22,540,36,32,167,375,1810,36,2454,37,27,209,290,1250,376,2196,1736,1572,9310,9507,27675,1824,51620
CED321,409,2166,582,1063,69,4709,360,302,1909,1247,2195,222,6235,14,7,47,51,143,11,268,21,20,113,193,1298,31,1679,32,13,142,173,895,302,1561,1353,1194,8349,6104,20497,1729,39222
CED322,683,3060,931,1037,132,7042,1577,674,4205,2060,2237,316,11064,88,36,480,288,513,35,1451,99,40,369,533,1284,74,2395,175,39,658,448,880,342,2539,5267,2320,17751,10972,20426,1918,58666
CED323,594,2440,793,813,110,5896,1689,627,4332,2006,2208,333,11195,115,39,553,423,734,76,1938,124,48,462,573,1419,100,2724,244,47,804,493,952,428,2974,6236,2351,19604,11964,20670,2424,63247
CED324,840,3306,682,703,87,7982,2343,814,5615,1476,1507,246,12004,132,56,414,174,199,15,992,222,77,611,356,857,53,2183,421,55,922,350,603,381,2732,11840,3515,26704,8660,12625,1734,65082
CED325,624,2476,762,1087,120,6373,1391,662,4288,2140,2439,257,11176,36,22,203,130,217,12,619,155,63,438,475,1416,75,2618,226,57,560,399,985,363,2595,6584,2454,17905,10127,19678,1851,58605
CED326,576,2393,875,1223,101,5982,1204,738,4609,2564,3491,342,12946,36,12,190,155,286,19,698,91,46,302,449,1531,58,2482,130,38,399,373,1005,362,2297,4654,2376,16118,11105,23641,1953,59847
CED327,469,2084,789,1170,93,5495,1010,499,3355,2097,2733,272,9974,32,20,163,125,209,12,556,126,44,341,393,1388,61,2349,212,38,482,322,1114,440,2606,5255,1789,14535,9179,20362,2031,53154
CED328,978,3835,750,728,100,10028,2516,848,5333,1223,1095,214,11224,144,59,529,149,214,25,1116,240,92,573,288,728,45,1966,411,67,778,218,363,167,2000,14206,4222,28752,8160,11075,1303,67726
CED329,450,1852,609,1013,68,4431,573,348,2075,1469,2535,216,7222,44,14,117,97,203,18,496,38,19,172,275,1308,46,1864,69,25,268,247,827,266,1708,1969,1360,8677,6624,19144,1607,39378
CED330,592,2313,942,1402,111,6140,769,535,2535,2014,2628,234,8716,26,9,151,158,369,27,745,47,34,223,428,1994,66,2793,69,37,347,371,1345,390,2552,2829,1839,11240,9969,27517,1987,55381
CED394,9,46,24,20,4,124,35,12,96,58,81,9,295,5,0,10,3,19,0,38,4,0,8,11,47,7,73,6,4,32,12,41,24,119,166,74,627,337,893,107,2209
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,16,5,24
CED401,739,3413,694,653,101,8067,3215,1000,7440,1923,1978,344,15907,185,64,575,199,262,36,1316,252,90,695,468,1215,56,2777,358,58,693,303,450,306,2175,13908,3915,31490,10140,15157,1982,76591
CED402,486,2211,678,1084,79,4948,417,386,2141,1605,3141,245,7933,9,3,80,54,200,15,361,27,25,128,210,1663,50,2114,27,18,159,149,757,279,1383,1608,1413,8935,6922,25024,2014,45923
CED403,820,3744,826,729,75,8380,2707,1094,6597,2004,2153,343,14895,97,33,403,176,279,19,1008,185,91,577,358,1177,51,2438,195,36,499,220,396,209,1559,9601,3661,25212,9425,16020,1610,65535
