CED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
CED512,11,239,5,243,..,448,54,507,4,511,..,66,3,69,0,69,..,1599,688,2290,17,2302,..,5192,640,5829,105,5939,..,27907,3245,31149,283,31434,..,862,106,971,6827,7794,138285,28767,3352,32120,7108,177513
CED513,18,497,5,503,..,608,106,714,8,715,..,140,24,164,0,164,..,2537,862,3402,13,3415,..,5356,594,5949,124,6073,..,38954,5757,44720,467,45189,..,806,106,908,9438,10352,126392,39759,5864,45625,9908,181928
CED514,38,714,11,723,..,690,151,842,9,852,..,447,146,592,4,599,..,1190,292,1478,17,1493,..,7228,1047,8276,196,8468,..,46344,6214,52561,694,53251,..,1105,137,1244,10509,11752,124871,47449,6354,53803,11202,189872
CED515,94,2157,16,2176,..,440,67,507,4,511,..,173,25,200,0,206,..,647,165,809,0,810,..,3897,377,4282,81,4357,..,48059,6657,54712,419,55133,..,812,102,910,6274,7185,121643,48870,6756,55625,6687,183959
CED594,3,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,15,..,97,16,114,3,117,..,432,51,479,9,486,..,70,5,78,3411,3488,4079,497,56,555,3421,8055
CED597,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,61,3,66,0,66,..,0,0,0,219,221,232,59,3,65,218,514
CED601,3,98,0,98,..,112,16,129,0,129,..,16,0,16,0,16,..,208,31,238,6,242,..,1259,360,1617,43,1665,..,7984,1283,9263,113,9380,..,340,57,399,5239,5642,94958,8325,1341,9667,5358,109977
CED602,0,41,0,41,..,82,19,98,0,98,..,3,0,5,0,5,..,74,21,101,0,102,..,710,110,823,22,846,..,3889,395,4286,57,4341,..,243,6,254,5837,6093,99113,4135,411,4539,5893,109556
CED603,15,218,3,216,..,153,23,176,4,180,..,31,5,37,0,37,..,661,86,755,13,763,..,1788,415,2200,74,2276,..,19236,2063,21298,247,21543,..,394,72,466,4563,5025,85174,19626,2134,21760,4806,111750
CED604,4,69,0,69,..,134,17,148,3,153,..,27,5,31,0,34,..,241,27,271,3,267,..,888,114,1006,42,1045,..,8583,829,9411,124,9535,..,281,25,305,4858,5159,97140,8864,853,9714,4979,111833
