CED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4
CED501,1747,1650,3395,6703,6192,12893,1114,1094,2204,1194,1232,2421,9021,8529,17550,4294,4048,8347,994,1078,2072,1361,1318,2675,6665,6455,13114,417,421,837,230,529,764,706,455,1163,612,1189,1802,7,13,24,1980,2608,4584,877,1350,2229,348,752,1105,184,304,489,551,1066,1613,3,7,13,1961,3483,5445,3950,6098,10050,280,293,569,450,736,1187,11,8,18,742,1027,1772,7103,4434,11534,29225,28192,57415
CED502,1908,1773,3683,6530,6112,12640,1134,1079,2213,1547,1520,3064,9236,8727,17968,4293,4019,8312,862,827,1694,1183,1256,2437,6350,6113,12465,499,503,1002,416,740,1159,561,389,948,664,1199,1872,12,13,31,2152,2848,5005,1361,1797,3159,567,851,1416,241,350,592,560,921,1475,6,7,18,2736,3929,6662,4900,6786,11688,360,369,722,507,797,1303,10,9,21,874,1170,2046,5338,4779,10119,28613,29356,57970
CED503,1329,1266,2591,4459,4398,8853,1119,1086,2209,1212,1227,2434,6802,6718,13517,3189,2940,6127,867,939,1806,1289,1299,2596,5346,5183,10534,278,322,601,131,361,487,607,357,963,450,903,1352,6,5,11,1474,1941,3408,572,1122,1692,186,515,702,130,218,346,335,770,1103,6,3,9,1225,2634,3853,2704,4578,7276,164,215,381,310,553,869,8,4,7,478,779,1254,5437,4252,9687,22097,22771,44870
CED504,1525,1437,2959,4872,4371,9246,1586,1537,3123,864,814,1686,7333,6752,14089,3364,3174,6534,1493,1415,2904,892,890,1782,5756,5486,11240,489,487,972,503,765,1267,487,289,777,661,1164,1825,11,11,23,2155,2707,4866,1731,2208,3940,722,836,1555,328,393,720,591,941,1539,13,11,28,3390,4393,7783,5561,7120,12687,343,398,744,497,743,1242,15,3,21,851,1151,2000,4791,4367,9158,25823,26314,52135
CED505,1508,1358,2863,4794,4538,9329,1052,1048,2095,1116,1000,2114,6964,6588,13553,2845,2569,5415,1134,1296,2426,2766,2515,5282,6753,6384,13141,252,246,502,253,393,652,238,141,381,462,736,1198,3,8,12,1204,1531,2734,3567,4114,7680,1195,1386,2582,430,459,884,1072,1608,2675,8,10,22,6271,7579,13852,7487,9113,16603,158,202,359,373,594,963,3,15,14,533,804,1336,3803,3546,7349,27039,27799,54847
CED506,1630,1530,3162,6427,5918,12341,1644,1619,3267,665,629,1298,8744,8182,16934,3857,3597,7456,1225,1304,2530,536,649,1182,5623,5560,11180,226,241,460,140,250,390,557,402,956,635,1323,1959,16,6,21,1567,2231,3793,165,334,504,129,403,531,69,176,241,442,1094,1536,3,0,5,808,2009,2815,2374,4243,6616,164,180,343,286,512,807,11,10,17,462,702,1166,16297,11831,28130,35142,32048,67187
CED507,1330,1283,2614,4759,4265,9024,1259,1197,2454,1076,995,2072,7104,6469,13570,3587,3428,7017,1131,1210,2346,945,996,1942,5671,5637,11306,255,222,475,132,359,489,603,325,931,459,990,1449,12,8,21,1465,1902,3369,178,442,623,138,428,565,52,140,194,313,901,1217,0,3,3,694,1917,2606,2160,3826,5985,155,164,318,285,504,790,6,9,17,451,678,1124,5721,4392,10114,22435,22275,44711
CED508,1590,1440,3032,4861,4769,9627,1197,1282,2483,531,553,1078,6596,6606,13206,2684,2523,5203,1763,1775,3536,857,809,1658,5307,5102,10408,276,286,558,255,397,656,492,276,766,558,922,1482,9,3,12,1588,1886,3480,1502,2248,3751,642,1068,1712,331,430,759,814,1481,2298,8,6,21,3303,5236,8538,4907,7127,12030,164,161,322,430,648,1079,14,0,13,597,815,1411,4267,3539,7801,23265,24629,47892
CED509,1747,1613,3357,5622,5238,10861,1261,1250,2506,1361,1280,2647,8264,7787,16055,3260,3069,6332,1519,1404,2919,1777,1599,3373,6564,6084,12642,336,368,708,226,450,676,598,339,941,593,995,1587,5,3,9,1758,2167,3927,1158,1586,2745,384,675,1056,219,340,554,570,1117,1685,10,4,11,2338,3719,6056,4108,5895,10001,230,274,501,437,704,1140,9,4,13,676,981,1659,6324,3833,10157,27679,26191,53870
CED510,1463,1273,2743,5238,4841,10079,1288,1258,2548,993,999,1990,7530,7120,14647,3622,3256,6877,1308,1345,2647,1633,1625,3258,6568,6228,12796,341,309,647,154,271,432,587,232,821,406,698,1106,0,0,3,1494,1510,3002,1921,2314,4235,527,645,1170,299,379,679,627,1120,1748,11,10,16,3389,4464,7848,4885,5978,10868,149,176,330,387,593,980,4,3,10,543,776,1318,2852,2208,5057,23844,23588,47434
CED511,1356,1352,2712,5395,5060,10454,922,872,1792,620,658,1276,6946,6599,13545,3862,3693,7553,619,677,1292,709,804,1515,5201,5181,10381,259,233,492,122,216,341,606,355,960,482,1115,1599,9,11,19,1476,1931,3402,176,344,516,166,297,460,56,140,195,314,796,1108,5,3,16,714,1586,2297,2193,3513,5706,164,157,319,279,463,748,14,7,17,454,627,1084,10322,7880,18203,26478,25153,51628
CED512,1863,1722,3587,6688,6219,12907,1224,1286,2513,1466,1396,2869,9396,8924,18324,4483,4147,8630,1076,1134,2209,1545,1469,3018,7117,6758,13874,473,429,901,205,488,695,627,361,989,543,1020,1557,8,8,16,1854,2303,4159,1349,1938,3293,432,818,1256,301,412,716,582,1149,1725,5,6,9,2671,4323,6998,4534,6634,11165,274,274,541,451,805,1250,5,8,11,728,1079,1809,4274,3322,7601,27908,28447,56357
CED513,1459,1256,2715,3545,3304,6850,1216,1224,2441,522,641,1162,5287,5179,10464,2075,1896,3972,1291,1118,2405,742,937,1673,4114,3954,8066,444,422,872,623,900,1523,324,255,579,761,1147,1908,10,6,16,2164,2738,4899,2209,2867,5080,1413,1615,3026,385,461,846,1304,1794,3103,18,15,36,5330,6751,12086,7514,9496,17006,341,381,714,555,813,1368,7,11,18,899,1205,2107,5640,4492,10130,24911,25580,50489
CED514,1559,1444,3002,4276,3881,8155,1337,1273,2608,970,974,1947,6591,6135,12728,2463,2378,4843,1638,1237,2874,1105,1106,2213,5219,4727,9941,685,527,1213,632,866,1502,501,314,815,767,1215,1985,13,12,23,2597,2937,5538,2927,3452,6376,1614,1750,3365,447,525,969,1010,1462,2476,15,9,26,6013,7192,13208,8636,10137,18775,482,446,923,522,739,1256,22,16,35,1017,1203,2223,6039,5435,11469,29058,29083,58142
CED515,1545,1457,3004,6420,6182,12602,1092,1120,2208,672,678,1350,8190,7985,16173,5036,4635,9672,1296,1453,2752,1115,1091,2203,7454,7189,14642,413,304,717,299,470,763,522,224,738,498,896,1391,6,6,10,1733,1889,3619,3227,3804,7030,929,983,1909,468,452,916,816,1195,2012,0,21,23,5444,6450,11892,7182,8351,15535,225,267,494,409,556,966,9,13,20,645,840,1480,4082,2889,6975,29091,28714,57809
CED594,22,18,41,94,92,181,13,7,22,23,17,35,121,114,243,39,47,83,4,3,6,9,4,19,51,55,109,13,11,16,9,18,33,11,6,15,7,25,34,0,0,0,44,59,99,14,25,42,13,17,31,0,3,9,15,25,46,3,0,3,52,68,122,96,130,224,16,16,32,7,16,23,0,0,4,23,34,55,2227,1260,3489,2535,1623,4160
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,0,8,13,0,17,0,0,0,0,0,3,0,0,0,0,0,3,193,20,219,209,28,237
CED601,655,652,1308,3397,3179,6583,639,616,1262,580,558,1135,4621,4367,8990,2130,2040,4169,518,561,1085,673,650,1325,3331,3251,6580,167,208,375,310,398,708,384,228,612,512,580,1095,9,10,17,1385,1426,2806,628,797,1429,450,599,1049,102,155,255,393,714,1110,6,3,7,1582,2273,3856,2968,3702,6673,212,208,416,239,353,587,4,3,8,450,565,1012,3096,2913,6012,15124,15448,30568
CED602,570,511,1079,3341,3246,6589,870,788,1661,355,385,739,4573,4419,8997,2263,2213,4475,604,662,1263,293,283,579,3165,3159,6325,208,204,416,164,214,382,397,248,652,372,588,959,8,4,15,1159,1262,2416,188,433,614,143,308,452,50,108,153,304,617,918,0,8,11,685,1464,2150,1849,2728,4577,147,157,306,147,272,414,0,8,12,294,439,729,3431,3303,6729,13880,14560,28441
CED603,672,648,1319,3023,2601,5619,723,841,1563,482,486,969,4237,3926,8168,1717,1608,3332,696,724,1422,823,793,1617,3237,3134,6375,279,227,510,873,868,1737,296,199,489,695,693,1390,11,9,14,2146,1995,4146,1355,1591,2952,1137,1246,2380,161,225,387,694,1168,1859,5,3,11,3362,4233,7596,5514,6241,11757,314,332,651,248,375,625,8,7,15,573,718,1290,2527,2556,5081,16770,17224,33995
CED604,800,737,1537,3239,3074,6307,1014,1063,2082,620,621,1243,4874,4757,9635,1924,1678,3607,883,1003,1884,648,611,1256,3458,3295,6749,197,205,407,339,354,692,435,203,634,606,637,1246,9,9,12,1588,1406,2989,547,717,1268,411,541,951,117,165,285,516,1019,1537,3,0,7,1596,2441,4037,3186,3849,7037,179,192,367,227,363,588,16,0,18,412,559,974,2950,2463,5412,15688,15654,31343
CED605,622,620,1243,3548,3316,6863,933,896,1826,339,345,682,4818,4557,9370,2004,1962,3965,735,720,1452,354,319,674,3099,3001,6100,173,200,378,153,219,374,393,225,617,427,555,976,10,10,22,1158,1211,2368,246,408,654,156,286,441,69,113,180,234,625,859,4,3,8,708,1433,2140,1864,2648,4510,165,187,346,137,295,430,7,7,14,302,485,790,3728,3584,7314,14435,14895,29329
