CED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
CED597,9,33,83,9,10,0,31,98,6,277
CED601,6050,9769,6757,6858,5411,4599,3655,5806,889,49782
CED602,5792,6918,7084,6535,4838,4335,4164,6755,873,47298
CED603,6681,15361,6384,7958,6519,4533,2226,4892,966,55519
CED604,7048,12425,7332,6787,6936,4103,2057,4567,935,52187
CED605,6817,6392,7873,6508,6040,4243,4099,6601,1044,49615
CED694,24,50,48,39,27,21,37,50,11,309
CED697,0,0,0,0,0,0,0,5,0,12
CED701,6306,9623,6932,8164,5921,2684,2697,4506,1249,48087
CED702,7627,13963,7959,8731,8248,4255,2910,4605,1111,59400
CED794,54,107,49,62,46,19,31,107,22,500
CED797,0,18,9,5,0,0,4,26,0,56
CED801,13637,22998,9029,8564,13159,4991,2441,4218,1718,80752
CED802,17279,30866,5208,8384,9819,4445,1106,3314,1722,82142
CED803,13669,24422,9821,10334,13315,5863,2508,4944,1852,86733
CED894,28,51,25,30,27,21,5,19,0,216
CED897,0,0,0,0,0,0,0,0,0,0
CED994,0,4,0,0,0,0,0,0,0,3
CED997,0,0,0,0,0,0,0,0,0,0
