CED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED205,735,504,1241,179,100,283,308,331,640,324,672,997,889,1414,2302,1168,641,1805,2684,569,3250,2726,903,3629,3313,963,4270,3976,713,4687,3152,650,3805,3121,436,3558,6447,636,7080,4561,130,4693,3288,127,3421,2016,50,2066,3827,194,4023,2443,158,2598,681,346,1026,45831,9545,55380
CED206,360,485,840,171,170,337,152,378,530,163,736,901,555,2394,2957,643,1400,2040,2055,960,3013,2024,1223,3246,2500,1226,3728,3068,887,3958,2404,724,3125,2546,543,3085,6115,844,6961,5041,102,5144,4017,201,4220,2576,26,2600,5764,214,5984,2547,151,2698,500,436,941,43202,13107,56307
CED207,983,1128,2111,378,342,716,368,653,1026,329,1108,1435,847,2559,3402,873,1633,2505,2225,1205,3432,2172,1376,3550,2710,1473,4186,3068,1146,4211,2302,1027,3330,2386,833,3221,5324,1448,6774,4151,336,4489,3907,428,4339,2714,157,2869,9697,644,10343,2519,419,2934,440,485,925,47405,18386,65793
CED208,430,806,1240,179,276,452,189,688,874,215,1439,1653,612,3014,3627,603,1671,2281,1928,1298,3225,1669,1553,3218,1888,1867,3755,2304,1870,4177,1951,1740,3693,2054,1413,3468,4490,2436,6924,3829,451,4278,3536,677,4213,2596,236,2829,8298,835,9138,1859,668,2529,379,526,902,39029,23450,62474
CED209,395,441,838,200,146,349,145,364,506,153,746,902,627,2185,2813,690,1653,2338,2261,1085,3345,2137,1163,3302,2653,1231,3886,3091,923,4018,2165,891,3057,2302,662,2965,5505,1042,6545,4524,187,4709,3749,255,4002,2291,87,2377,5579,442,6019,2402,252,2655,455,472,931,41320,14232,55553
CED210,357,597,954,162,237,395,180,641,824,204,1385,1589,709,3533,4244,891,2405,3294,2500,1465,3966,2315,1824,4138,2769,1885,4660,3110,1459,4568,2319,1254,3574,2327,947,3267,5117,1480,6597,3901,238,4132,3350,326,3681,2133,111,2238,5555,461,6014,2234,344,2578,525,750,1276,40643,21351,61989
CED211,574,597,1171,202,215,418,203,490,686,225,946,1171,613,2487,3101,672,1789,2462,1951,1273,3218,2117,1453,3563,2606,1522,4129,3076,1245,4316,2286,1081,3363,2386,826,3203,5562,1280,6842,4784,171,4959,4193,279,4467,2931,65,2996,8081,343,8425,2285,200,2487,412,538,948,45126,16798,61926
CED212,389,570,961,136,201,334,186,468,650,166,1044,1206,620,2858,3473,725,1914,2641,2040,1261,3304,2052,1629,3682,2569,1680,4256,2955,1317,4271,2369,1095,3457,2548,771,3315,5799,1100,6894,4728,122,4856,3608,218,3828,2361,50,2407,5793,277,6072,2321,216,2531,543,624,1164,41888,17408,59295
CED213,439,661,1100,223,241,463,176,539,714,186,1063,1247,752,3223,3974,690,2380,3073,2697,1418,4116,2412,1496,3913,3052,1514,4568,3297,1060,4357,2154,856,3011,2388,639,3026,5005,947,5954,3811,95,3907,3073,230,3303,1896,29,1923,5235,477,5709,2515,127,2646,631,805,1441,40617,17815,58434
CED214,746,854,1595,220,221,438,322,664,994,396,1500,1895,955,2739,3692,897,1468,2369,2560,1149,3713,2409,1541,3951,2625,1709,4332,3247,1566,4820,2459,1353,3815,2400,1174,3573,5065,1933,6995,4002,435,4437,3341,586,3928,2261,186,2445,6011,710,6724,2191,530,2722,554,554,1107,42653,20884,63541
CED215,595,595,1185,204,177,376,217,412,632,226,798,1021,631,1836,2466,703,1076,1781,1876,837,2712,1787,1127,2912,2354,1248,3601,2971,1129,4097,2469,1087,3553,2577,809,3390,6305,1569,7872,5109,202,5312,4810,426,5231,3295,112,3407,10377,560,10936,2522,268,2784,482,411,893,49499,14677,64179
CED216,526,714,1240,219,253,477,252,712,964,275,1595,1872,946,4240,5187,1057,2401,3462,3638,1490,5133,3106,1855,4951,3287,1585,4870,3655,1106,4762,2345,882,3228,2619,639,3257,4859,819,5673,3308,94,3405,2362,200,2563,1296,35,1334,3195,321,3516,2785,200,2990,758,994,1754,40489,20142,60630
CED217,502,645,1149,189,276,462,209,458,671,154,844,1001,435,1864,2297,436,1408,1845,1126,1161,2280,1217,1306,2517,1639,1422,3059,1962,1154,3113,1480,1054,2525,1642,885,2528,3711,1708,5421,3209,155,3364,3334,506,3839,2454,64,2514,15511,997,16512,2332,169,2505,387,461,838,41914,16533,58440
CED218,678,492,1173,182,117,296,239,312,555,259,640,900,723,1556,2281,797,661,1460,2431,556,2983,2142,790,2931,2562,885,3446,3213,741,3959,2685,633,3316,2854,492,3347,6274,725,6997,4938,93,5029,3941,147,4081,2597,51,2645,5777,181,5953,2457,116,2582,581,320,906,45327,9521,54844
CED219,489,516,1005,156,119,280,172,335,514,238,794,1026,685,2043,2729,855,1260,2112,2306,867,3170,2265,1179,3442,2727,1335,4063,3409,1076,4479,2764,871,3635,2892,611,3497,6430,869,7300,4771,117,4883,3444,162,3608,2178,21,2196,4476,181,4656,2359,137,2498,555,441,993,43154,12916,56076
