CED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
CED314,1248,1409,803,455,631,226,105,4878,369,404,253,164,218,40,19,1468,412,422,232,134,203,30,14,1448,5426,5492,3602,2391,2883,531,156,20487,30,31,34,9,5,0,0,112,7493,7757,4908,3147,3944,829,302,28379,139,219,155,109,136,75,44,865,92,159,96,80,95,22,14,555,54,91,80,55,75,10,4,356,1252,1720,1190,955,986,137,48,6296,61,55,35,27,5,4,0,182,1592,2244,1549,1218,1298,249,101,8251,9087,9996,6463,4368,5237,1078,400,36631
CED315,769,869,493,327,472,176,77,3183,488,483,265,164,222,63,14,1694,567,535,298,171,241,59,19,1889,5454,5597,3266,2054,2352,555,169,19453,20,25,21,15,10,0,0,91,7307,7511,4344,2722,3289,858,288,26314,90,155,93,98,124,36,34,630,126,208,126,94,102,29,10,688,71,163,118,71,103,16,7,554,1481,2154,1382,985,1060,202,75,7329,59,74,40,29,13,0,4,212,1823,2755,1756,1276,1397,284,120,9416,9127,10267,6099,4002,4685,1141,406,35727
CED316,445,531,319,220,281,55,17,1872,305,356,213,176,201,25,4,1287,350,425,293,191,203,36,17,1512,3647,4214,2751,2019,2211,301,89,15228,34,37,18,13,6,0,0,113,4787,5566,3591,2626,2906,415,128,20010,28,79,38,42,57,10,0,258,92,169,130,97,100,9,6,600,53,117,81,80,84,9,0,426,1335,1951,1380,954,1001,96,32,6747,72,53,37,20,14,0,0,202,1577,2375,1674,1191,1249,126,46,8237,6363,7939,5266,3818,4155,542,171,28253
CED317,764,734,406,262,336,55,17,2574,338,360,239,152,182,25,4,1302,648,604,332,192,244,31,7,2052,5175,5674,3501,2319,2545,291,85,19592,74,52,35,20,19,0,0,203,7001,7412,4518,2948,3328,394,114,25713,46,90,80,51,78,21,4,357,98,150,118,66,78,9,3,523,83,128,74,64,60,6,3,414,1564,2256,1476,1015,1009,106,29,7451,88,93,73,44,17,3,0,325,1876,2717,1817,1240,1233,137,39,9068,8874,10134,6333,4191,4559,530,158,34784
CED318,1258,1481,810,559,694,180,60,5042,536,598,377,252,291,50,14,2126,841,893,528,345,390,63,16,3081,4165,4544,2788,1831,1978,301,93,15704,39,43,39,15,12,0,0,150,6846,7556,4541,3009,3373,596,191,26108,106,221,195,137,197,63,26,942,136,225,167,111,148,22,12,830,111,251,211,142,170,22,15,929,1565,2069,1330,911,899,135,41,6942,87,101,51,32,8,3,0,285,2002,2875,1963,1336,1424,243,93,9927,8847,10427,6505,4339,4795,839,282,36036
CED319,2030,1839,1047,586,778,386,181,6849,923,842,458,276,360,160,54,3074,969,856,441,229,298,126,38,2958,4298,3973,2323,1517,2033,858,328,15327,17,23,9,3,5,0,0,58,8246,7531,4277,2619,3468,1526,604,28267,145,236,189,131,195,92,55,1039,140,251,149,109,121,32,23,824,70,155,109,75,120,42,22,606,537,861,625,461,651,233,97,3466,53,43,22,15,8,5,0,146,940,1550,1095,795,1095,411,200,6080,9187,9083,5369,3406,4560,1941,808,34354
CED320,853,1113,771,536,696,216,88,4283,744,731,443,304,352,91,31,2688,706,699,452,280,324,98,31,2603,5609,5713,3560,2283,2605,620,228,20617,39,60,35,15,13,3,0,164,7959,8320,5265,3415,3994,1022,383,30359,109,193,142,99,158,59,17,776,283,326,200,146,179,33,17,1170,142,206,154,113,149,40,17,823,1692,2302,1453,1026,1122,202,93,7898,75,80,38,24,17,5,0,244,2293,3110,1991,1414,1627,327,146,10908,10258,11431,7256,4825,5618,1353,528,41269
CED321,313,348,198,113,161,31,7,1168,262,253,140,92,109,9,9,877,361,331,198,95,124,13,0,1132,5179,5597,3602,2172,2384,223,59,19222,34,41,18,17,4,4,0,123,6142,6573,4162,2491,2786,285,73,22515,30,44,28,24,29,8,0,163,57,107,68,54,54,4,0,341,32,70,51,36,45,4,0,238,1342,1914,1230,899,761,74,19,6239,43,67,46,32,13,0,0,193,1510,2201,1421,1033,903,87,20,7176,7656,8772,5582,3526,3691,370,96,29693
CED322,1260,1573,989,597,829,357,164,5768,989,1045,549,338,404,148,67,3546,936,1058,580,346,416,153,59,3545,3926,4058,2477,1577,1981,703,265,14983,33,27,18,6,6,7,0,89,7135,7769,4615,2865,3637,1367,555,27934,79,236,222,184,255,83,53,1115,144,267,212,152,185,59,25,1043,101,204,179,99,165,56,19,821,507,972,731,571,759,220,107,3865,24,32,27,9,14,0,4,104,855,1710,1370,1018,1371,424,207,6949,7991,9479,5984,3879,5006,1781,757,34878
CED323,1657,1711,989,629,820,331,180,6314,784,689,404,292,351,124,60,2699,930,839,505,275,374,140,56,3124,2830,2675,1660,1145,1510,633,204,10655,33,27,24,11,11,0,3,104,6231,5935,3576,2358,3062,1235,506,22896,172,342,271,200,320,135,76,1509,163,268,181,122,176,49,22,983,113,244,166,125,172,62,23,896,513,847,624,493,613,212,86,3391,49,44,35,19,12,0,0,156,1013,1744,1274,958,1287,455,208,6947,7242,7682,4854,3322,4344,1682,719,29840
CED324,3885,4209,1948,1157,1484,953,589,14218,779,780,437,275,370,186,59,2887,1005,844,422,268,320,196,55,3111,2651,2827,1735,1203,1534,797,295,11042,30,29,10,3,11,0,0,90,8351,8686,4545,2902,3722,2135,1008,31349,302,535,373,295,387,265,173,2325,126,199,143,88,101,42,20,721,93,128,111,65,103,38,28,571,394,620,441,310,422,148,75,2416,43,49,17,11,12,3,0,143,957,1530,1085,778,1032,502,295,6176,9311,10219,5634,3680,4754,2637,1301,37527
CED325,4835,5039,2860,1775,2321,1288,659,18778,962,884,490,288,384,142,43,3195,1111,1032,524,285,347,112,52,3456,3724,3592,2095,1298,1506,513,220,12951,64,78,30,23,16,3,0,212,10700,10617,6004,3675,4573,2060,970,38588,607,878,608,489,669,300,176,3730,259,321,208,145,171,46,17,1167,157,259,140,110,124,51,25,870,917,1271,854,559,570,184,64,4429,100,114,67,41,29,8,0,361,2044,2844,1884,1344,1571,594,287,10563,12745,13464,7891,5014,6140,2652,1260,49156
