CED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED406,646,601,1243,594,689,1291,10,6,18,6,29,32,57,49,105,28413,24865,53278,1436,1620,3056,380,6,388,295,23,311,173,21,198,364,94,459,294,328,621,32676,28328,61001,104,65,175,0,0,0,14,19,34,210,225,437,19,44,58,21,5,32,373,358,734,0,0,3,8,6,16,47,57,104,28,55,82,16,9,28,94,128,222,322,206,528,783,694,1484,54,85,140,14,10,20,3,0,10,70,101,168,2973,3733,6704,3528,6185,9709,115,127,241,40140,39169,79312
CED407,17,14,38,1790,2439,4222,8,4,14,0,9,7,108,107,208,31496,24387,55882,1440,2072,3514,376,11,386,311,22,337,213,28,242,356,100,455,359,345,706,36482,29530,66015,31,23,53,0,0,0,0,0,0,15,10,33,0,0,0,0,0,0,49,36,84,0,3,3,14,21,38,235,342,571,54,108,161,30,28,58,334,502,837,284,176,453,664,715,1378,14,18,28,34,47,79,12,3,14,62,70,127,2800,3513,6317,3215,5340,8560,150,128,278,43382,39294,82673
CED408,164,115,279,503,527,1033,14,7,10,0,4,3,27,19,48,27080,24134,51217,1246,1608,2854,539,19,556,229,27,254,192,59,251,392,92,480,1055,831,1881,31446,27432,58871,32,22,55,0,0,0,0,6,8,98,97,192,9,6,11,4,0,8,138,132,270,0,0,0,0,3,4,111,152,264,32,32,67,22,14,34,165,200,368,306,175,481,607,505,1118,20,23,48,15,3,17,8,3,13,47,32,78,4854,5644,10498,3761,6093,9858,273,238,508,40985,39946,80933
CED409,24,26,49,747,934,1677,10,3,15,5,4,12,93,89,177,31210,24396,55604,1852,2076,3930,472,21,493,280,20,301,157,30,184,319,111,427,473,439,918,35645,28136,63784,36,37,73,0,0,0,0,0,0,12,9,24,0,5,5,0,0,0,50,60,108,3,0,3,5,12,16,96,151,245,52,107,157,30,26,59,182,291,472,313,222,529,544,569,1114,39,42,82,23,39,64,18,0,19,75,88,163,1672,2414,4093,2994,4926,7926,268,198,469,41213,36333,77544
CED410,15,20,37,2529,3348,5870,4,0,3,18,21,35,178,159,335,30273,25198,55473,1424,2746,4169,281,4,285,312,26,338,1061,379,1442,331,110,444,834,869,1700,37253,32877,70133,33,26,62,0,0,0,0,0,0,12,8,16,0,7,7,6,0,3,51,39,89,0,0,0,23,39,60,253,338,583,78,183,257,64,54,115,414,605,1026,295,234,526,762,877,1642,11,13,28,42,66,102,14,3,24,73,83,154,5472,5660,11134,3376,5920,9302,155,139,288,47088,45560,92646
CED494,0,5,6,16,11,30,0,0,0,0,0,0,0,3,4,221,115,333,29,30,53,6,0,6,0,0,0,0,0,0,13,3,18,23,21,43,308,184,492,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,7,5,5,0,5,3,4,8,0,4,0,0,0,0,0,0,0,0,4,0,29,38,70,63,80,134,10,3,11,419,311,724
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
CED501,968,1146,2116,1033,456,1485,13,4,15,0,0,3,90,54,144,28143,25039,53182,2035,1904,3933,435,18,449,177,10,188,140,42,186,1418,308,1728,518,474,988,34967,29450,64416,499,634,1132,0,0,5,0,0,0,451,422,871,66,99,166,27,14,46,1050,1176,2221,0,0,0,0,0,0,34,24,58,30,42,76,50,10,62,118,81,196,441,161,604,1603,1418,3020,225,330,551,67,19,87,21,3,28,315,353,668,1694,2905,4605,5489,5844,11331,219,153,369,44284,40124,84405
CED502,877,980,1856,755,444,1204,12,6,21,5,0,5,199,114,311,31839,24846,56687,1918,2150,4069,527,21,551,177,12,186,160,21,181,952,240,1189,331,311,645,37746,29151,66892,526,630,1151,0,0,0,0,0,0,422,359,777,61,86,150,36,18,54,1044,1086,2127,0,0,0,0,0,0,36,57,94,26,68,90,39,20,61,109,142,247,405,170,577,1558,1397,2961,196,299,500,29,14,46,18,5,26,244,326,564,1612,2385,3995,3930,5005,8936,224,152,379,45322,38408,83729
CED503,398,442,837,915,320,1237,3,3,9,0,4,5,64,46,113,21946,21028,42978,1589,1538,3126,648,35,680,116,10,129,102,39,146,1190,338,1526,538,474,1014,27518,24285,51802,130,121,247,0,0,0,0,0,0,287,244,536,36,34,73,13,3,18,468,404,873,0,0,0,0,0,0,45,24,69,23,42,62,53,22,72,120,86,207,394,131,528,978,624,1607,116,125,238,51,22,72,19,3,22,186,147,336,1840,3018,4850,5103,5047,10147,226,169,394,35862,33278,69139
