CED_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED602,13968,27724,184,966,1004,4650,365,1647,5552,21430,7104,28685,446,1820,750,2397,2075,6434,3279,10658,10384,39344,68,318,373,1298,207,708,2237,5871,2881,8193,163,492,429,907,1810,3821,2397,5211,5280,13407,388,806,30014,81279
CED603,12197,24406,153,853,1079,4962,226,1031,6062,22616,7520,29458,461,1906,1006,3342,1763,5601,3227,10852,10748,40309,70,319,360,1169,162,549,1849,4623,2442,6661,181,553,600,1304,1730,3713,2508,5569,4953,12235,536,1123,28429,78069
CED604,13395,26684,215,1194,1149,5229,322,1450,6882,26263,8566,34140,566,2317,951,3132,2230,7019,3749,12470,12318,46610,77,319,382,1243,178,641,1983,5080,2620,7278,176,548,473,1037,1787,3878,2437,5454,5059,12735,416,867,31182,86898
CED605,14458,28788,218,1248,970,4480,470,2161,5920,22683,7585,30569,488,1971,722,2248,2575,8084,3787,12300,11369,42873,64,271,414,1461,231,857,2301,6170,3009,8763,178,526,361,756,1833,3955,2379,5242,5394,14007,353,736,31569,86394
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,8988,18196,316,2028,957,4676,1021,5898,7705,30799,9994,43397,278,1180,492,1531,1711,5925,2480,8634,12474,52029,97,556,284,1092,555,2797,2584,7641,3522,12090,98,329,224,495,1622,4172,1941,4999,5461,17083,619,1565,27541,88872
CED702,10147,19896,211,1201,1102,5041,362,1656,7628,28672,9303,36568,381,1559,792,2532,1652,5230,2822,9319,12124,45893,66,316,306,1089,198,765,2150,5682,2719,7841,152,460,373,800,1413,3093,1932,4353,4650,12191,498,1051,27417,79028
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
