CED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED405,375,111,1142,518,398,280,160,296,31,3306,3,7,9,12,13,4,8,10,3,70,114,147,105,129,129,52,91,79,30,869,123,126,193,163,150,95,118,154,203,1325,8115,17710,8605,7879,7465,3024,2269,3122,913,59112
CED406,331,88,1149,534,416,352,126,360,33,3394,10,12,0,12,14,8,3,7,0,71,95,123,114,127,109,42,82,63,35,788,115,87,196,146,133,78,94,151,188,1186,5879,12929,9676,9067,6875,2912,1997,3090,834,53258
CED407,318,95,1044,490,385,285,173,326,29,3140,8,9,4,6,11,9,10,16,0,65,91,104,113,169,112,44,130,105,28,896,94,98,193,159,137,85,111,142,223,1228,6046,13887,9229,8678,7101,2843,2694,3439,929,54847
CED408,438,84,1051,444,325,256,100,314,45,3064,4,7,3,9,9,3,0,11,0,36,135,153,99,119,99,47,52,61,29,790,185,107,231,154,136,104,96,166,155,1344,9146,16530,8841,7351,6148,2799,1720,3227,791,56544
CED409,251,78,954,435,352,316,210,446,48,3097,3,6,3,21,9,15,4,13,0,76,58,62,109,105,85,46,99,129,33,726,98,54,228,226,126,114,233,268,251,1602,4085,7825,7909,8691,5521,2650,3003,4030,863,44580
CED410,364,76,1078,395,311,226,105,244,26,2830,12,0,5,13,8,7,0,15,3,54,155,218,77,160,147,61,74,92,26,1001,131,140,139,108,136,88,69,97,177,1089,10222,27977,7106,7389,8241,3394,1848,3098,927,70193
CED494,0,3,12,6,0,0,4,3,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,3,0,4,5,0,0,5,8,11,29,47,114,76,58,42,28,33,71,15,489
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CED501,370,113,1190,739,405,354,334,349,50,3910,6,3,11,10,6,17,11,15,3,81,87,98,208,150,83,42,135,83,26,918,121,101,342,234,144,121,242,224,252,1774,5560,11134,12680,9001,6058,2888,3861,3815,878,55868
CED502,296,94,1187,592,424,328,361,432,38,3762,7,3,6,9,12,11,15,18,3,89,76,112,149,138,99,60,157,91,23,900,121,102,299,168,162,106,231,226,320,1741,4885,12531,10694,8264,6543,2974,4335,4198,933,55366
