CED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED238,1043,28,4,9,3,1081,594,20,8,0,0,627,671,14,3,0,0,695,1365,30,6,3,0,1404,1802,60,20,8,0,1894,4158,98,19,13,0,4286,3130,48,14,3,6,3199,2331,34,10,5,4,2382,833,11,0,3,0,849,631,5,0,0,0,644,545,3,0,3,4,555,1123,19,5,5,0,1154,18225,380,83,53,21,18767
CED239,627,185,68,3,0,883,185,59,32,0,0,277,161,46,32,0,0,247,253,108,49,0,0,412,365,157,114,0,0,639,923,528,490,6,3,1943,1134,787,681,0,6,2609,2128,1525,680,12,3,4350,1489,775,190,9,0,2462,1810,587,132,3,5,2544,1323,326,73,4,0,1724,774,295,100,4,0,1178,11164,5384,2654,46,14,19262
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,798,18,6,0,0,815,368,12,0,0,0,379,380,13,6,0,0,396,817,30,7,0,0,860,1401,49,9,0,3,1463,5284,130,27,4,0,5443,5884,55,12,10,4,5970,4979,32,5,7,0,5017,1582,7,0,0,5,1596,961,0,0,3,0,963,488,0,0,0,0,490,1267,23,0,5,0,1297,24213,361,82,29,16,24697
CED302,874,74,30,0,0,976,271,37,13,0,0,319,212,48,13,4,0,274,358,44,24,3,0,429,503,91,42,0,0,637,1523,401,153,3,0,2083,2221,630,185,0,0,3043,4797,475,141,0,0,5416,3327,134,32,0,5,3500,2900,79,22,0,0,3008,1691,39,16,0,0,1753,1087,107,24,0,0,1214,19773,2170,690,14,7,22658
CED303,855,54,29,0,0,937,372,31,11,0,0,415,319,26,12,0,0,356,486,71,22,0,0,578,719,65,25,0,0,814,2068,313,78,5,0,2466,3374,269,86,0,0,3729,6418,177,60,0,0,6663,2915,47,22,0,0,2977,2004,40,20,0,0,2061,1093,20,12,0,0,1127,1243,51,12,0,0,1305,21871,1163,385,8,11,23436
CED304,553,35,293,0,0,880,122,16,62,0,0,199,84,17,96,0,0,192,196,23,196,0,0,417,203,32,334,0,0,567,609,134,1345,0,3,2091,708,212,1617,0,11,2544,1496,326,1624,4,4,3446,1462,169,653,0,0,2284,2173,133,518,0,6,2828,2878,93,416,0,3,3393,654,43,320,0,6,1027,11133,1223,7476,5,27,19873
CED305,778,17,17,8,5,823,384,17,11,0,0,409,382,9,6,0,0,401,802,21,19,4,0,844,1151,29,30,0,5,1218,3761,80,53,4,3,3896,3783,67,36,4,0,3892,3724,41,23,7,5,3796,1385,16,10,4,0,1410,927,13,7,0,0,952,535,12,0,0,3,551,1124,22,13,4,0,1158,18734,331,226,38,25,19349
CED306,756,22,13,3,5,802,320,22,7,0,0,349,304,24,10,4,3,346,647,49,41,4,0,736,1018,54,44,7,0,1113,3521,122,75,8,4,3731,3966,96,50,0,0,4122,4085,45,41,11,5,4186,1550,15,12,6,3,1588,1006,8,8,4,8,1036,590,6,13,9,5,618,1180,25,24,3,7,1239,18949,492,330,63,33,19869
CED307,969,49,4,0,0,1021,325,39,0,0,0,361,319,39,5,0,0,361,515,64,3,0,0,590,785,129,3,0,0,927,2517,408,9,0,0,2934,4242,312,18,0,0,4576,6312,172,8,0,0,6496,2963,39,0,0,0,3011,2248,24,5,0,0,2281,1240,16,6,0,0,1265,1138,51,6,0,0,1198,23582,1353,72,3,14,25014
CED308,665,197,67,6,6,930,232,95,39,0,0,361,188,80,22,0,0,294,360,162,51,5,0,574,512,276,92,3,0,882,1525,1091,293,5,8,2918,2726,1125,314,3,10,4175,5368,706,260,0,12,6347,2581,236,76,0,0,2900,1906,157,78,0,6,2144,1342,99,43,0,3,1489,1217,253,89,0,8,1572,18613,4463,1436,20,47,24585
CED309,788,76,71,6,0,934,324,63,23,0,0,412,253,43,38,0,0,334,492,58,50,4,0,609,711,110,85,0,4,911,2046,353,219,5,0,2627,3136,418,268,0,0,3826,5061,333,215,5,7,5619,2516,97,78,0,3,2691,1786,42,72,0,9,1904,1040,28,30,3,0,1104,1247,86,89,3,0,1425,19404,1703,1244,19,29,22402
CED310,780,75,57,0,3,912,301,62,22,6,0,387,244,31,27,3,0,306,465,52,58,4,4,590,629,57,93,5,0,782,1916,211,239,3,0,2371,3160,279,254,3,5,3700,5457,202,212,5,7,5882,2346,69,68,4,5,2487,1601,39,63,0,0,1700,1057,15,46,0,3,1126,1247,61,84,4,0,1397,19191,1156,1219,37,29,21637
CED311,891,8,14,7,8,931,492,7,11,0,0,516,511,10,15,5,0,544,1009,26,17,6,3,1062,1376,32,19,0,0,1430,3406,41,22,5,8,3478,3256,52,25,6,7,3343,3194,49,17,10,0,3280,1148,18,6,3,0,1173,843,17,6,0,3,872,533,3,3,4,7,543,1121,12,3,13,3,1154,17787,287,155,60,36,18331
CED312,764,33,12,0,5,809,345,24,4,0,0,374,266,31,3,0,0,300,580,96,20,0,6,694,787,145,39,3,0,980,3160,385,91,0,5,3646,5450,351,44,6,4,5851,6440,160,21,0,13,6629,2363,37,12,0,0,2413,1519,20,7,0,0,1545,782,11,3,0,0,796,1473,76,19,4,0,1569,23926,1370,265,17,31,25603
