CED_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
CED111,188,411,264,214,255,107,50,1487,59,93,57,49,50,19,16,343,9,7,5,8,11,0,0,34,357,800,652,575,686,313,159,3546,10,36,22,21,26,6,0,118,11,24,16,13,19,9,0,92,24,57,38,36,44,15,4,208,380,856,692,610,730,326,160,3756,519,559,331,233,253,86,56,2019,4,13,12,5,4,0,0,44,899,1429,1032,841,983,411,217,5820
CED112,378,629,450,313,377,93,39,2278,139,178,91,73,81,17,6,594,35,30,21,21,12,6,0,117,734,1297,1007,727,934,276,124,5106,23,48,40,24,33,8,4,181,52,44,36,25,29,11,4,197,73,98,80,48,59,17,9,384,813,1398,1085,770,998,293,133,5487,1003,980,583,396,370,77,33,3445,20,18,17,19,6,5,0,70,1835,2388,1680,1190,1376,371,167,9003
CED113,226,458,337,208,226,34,15,1503,56,52,34,29,22,3,3,203,11,14,19,14,21,0,0,76,464,1011,832,567,729,152,70,3824,12,22,23,15,17,0,3,94,19,35,20,14,19,0,0,114,31,63,44,34,35,0,0,209,494,1071,874,601,763,154,71,4032,492,466,239,174,148,24,12,1551,8,16,15,9,4,4,0,56,1001,1555,1127,783,916,179,84,5641
CED114,384,659,438,279,327,47,15,2152,67,65,31,21,25,0,0,219,26,42,17,11,13,4,0,112,676,1257,902,677,825,184,45,4566,15,50,38,24,25,0,0,150,61,77,39,20,24,4,0,231,72,129,79,43,52,3,0,380,745,1386,982,724,879,185,46,4949,835,679,403,268,259,40,13,2492,29,33,19,12,5,0,0,104,1613,2095,1399,998,1144,233,58,7547
CED115,176,306,244,166,233,150,90,1370,102,115,81,56,98,75,44,569,14,36,24,10,17,13,9,125,453,784,600,441,643,425,256,3602,27,54,29,28,43,33,24,237,33,77,42,34,43,24,6,268,60,133,72,63,86,56,31,508,512,917,673,508,732,482,289,4108,1057,1341,781,597,758,464,261,5261,37,44,22,12,16,5,0,129,1604,2297,1474,1112,1513,951,549,9493
CED116,321,679,477,331,338,69,15,2223,73,77,52,51,30,6,6,296,24,26,8,8,15,3,0,79,564,1160,909,667,762,179,45,4293,20,31,35,18,20,7,0,131,33,36,17,13,16,4,0,126,53,69,53,36,38,7,0,257,617,1228,961,705,802,183,47,4547,680,586,356,258,234,41,18,2173,16,9,12,11,5,0,0,62,1316,1830,1330,969,1039,225,73,6786
CED117,116,180,142,111,158,82,40,832,26,29,24,26,34,15,16,162,8,4,4,3,3,8,3,26,269,600,526,410,568,322,174,2864,5,21,12,12,23,8,3,85,14,13,13,3,12,8,7,73,18,32,22,18,33,14,11,157,283,636,548,422,604,339,189,3020,131,184,132,87,116,75,46,772,3,0,4,6,0,3,0,15,423,814,686,513,719,420,236,3816
CED118,152,343,238,171,221,113,55,1294,87,98,84,56,67,39,26,460,19,13,12,9,14,12,4,68,438,941,747,577,720,401,231,4064,16,22,27,21,27,14,4,131,30,36,21,22,25,9,8,148,46,60,47,41,51,23,13,281,484,999,802,622,774,422,243,4336,583,621,388,276,289,122,78,2356,16,15,15,13,13,0,0,60,1079,1632,1201,906,1077,551,316,6750
CED119,130,295,203,169,218,125,65,1203,68,74,57,39,42,31,19,333,12,10,9,7,6,0,0,52,328,750,594,477,655,355,191,3343,13,21,14,13,8,7,0,73,13,22,23,10,13,0,0,77,23,42,36,18,23,14,0,155,350,791,626,499,679,359,195,3501,255,341,200,125,134,61,32,1150,3,12,6,6,3,0,0,25,607,1143,831,626,818,426,230,4682
CED120,314,550,381,266,279,70,28,1891,111,93,68,35,50,14,13,372,22,19,18,10,16,4,4,96,662,1164,928,689,802,264,136,4644,18,40,20,24,18,5,0,126,30,37,19,11,14,0,0,116,42,75,36,44,30,6,0,239,709,1240,964,727,839,271,136,4890,650,681,378,223,218,44,23,2217,17,15,10,19,0,4,0,74,1373,1936,1358,970,1055,313,166,7173
CED121,456,797,488,319,369,78,22,2538,106,136,78,51,56,9,0,434,31,51,27,17,12,3,0,138,804,1513,1009,725,839,225,85,5202,36,65,34,21,18,7,0,188,71,101,60,35,23,3,0,294,105,168,93,59,47,13,0,479,911,1680,1103,781,885,232,85,5682,999,1003,572,353,323,44,23,3322,16,27,18,12,6,0,0,78,1924,2702,1696,1149,1214,284,115,9083
CED122,164,264,227,171,223,92,52,1201,56,53,44,24,45,26,20,258,7,10,9,3,16,9,4,56,393,755,644,451,687,374,175,3487,12,28,21,13,17,10,5,103,13,15,16,10,15,15,5,83,28,47,32,22,29,26,10,190,420,798,677,474,719,396,184,3674,291,346,194,148,192,119,81,1376,6,6,9,0,5,0,0,38,718,1152,884,623,921,520,268,5082
CED123,354,561,368,252,289,91,53,1967,144,192,127,78,86,35,18,675,21,43,31,12,9,3,6,125,858,1442,1049,716,938,355,172,5536,35,62,46,27,28,6,4,210,39,82,49,29,14,0,0,224,78,150,100,60,44,3,6,431,936,1595,1147,780,981,363,172,5971,1296,1203,647,384,378,110,48,4069,28,23,23,14,12,0,0,106,2262,2817,1824,1176,1371,470,222,10144
CED124,337,642,476,322,306,74,22,2177,63,58,47,34,31,10,0,244,20,39,22,17,11,0,0,108,553,1095,882,643,732,176,37,4124,25,61,35,22,20,0,0,163,40,60,20,18,18,3,0,159,64,124,52,43,39,3,0,326,617,1217,939,683,770,184,37,4453,721,715,430,307,251,40,20,2486,26,41,30,24,4,0,0,128,1364,1972,1402,1012,1027,225,60,7060
CED125,358,585,403,261,335,104,52,2092,143,184,125,94,81,30,26,684,30,43,34,20,26,7,6,164,792,1427,1044,707,946,349,207,5471,36,79,31,32,44,9,9,245,76,64,34,29,26,4,3,238,114,140,68,60,69,20,13,485,900,1573,1110,767,1017,372,218,5949,1425,1453,775,548,507,169,78,4957,33,43,40,21,10,4,0,152,2370,3062,1926,1335,1531,539,297,11059
CED126,140,288,234,194,245,114,73,1284,26,49,52,41,55,32,16,264,8,8,0,8,7,3,5,33,285,638,608,553,729,363,204,3384,3,13,8,14,10,3,4,63,0,16,13,9,17,7,0,56,7,30,19,22,29,11,5,124,293,670,627,578,752,376,215,3512,133,179,159,98,126,60,53,807,6,5,0,5,5,3,0,25,429,853,784,682,883,437,264,4335
CED127,191,409,318,201,287,75,36,1516,69,94,65,52,48,20,21,366,11,13,5,0,5,0,0,36,373,897,701,527,737,245,129,3606,9,21,11,6,14,5,0,63,20,32,14,12,9,0,0,100,26,49,33,18,23,11,3,162,399,952,729,547,765,250,131,3773,454,513,252,184,199,58,31,1690,9,20,10,6,11,0,0,56,862,1477,990,743,972,316,163,5514
