CED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED605,1797,1139,1085,1143,1253,1417,1196,608,183,9817,19338,11569,13043,12707,14386,17274,15236,7415,2097,113067
CED694,18,41,49,54,42,68,75,6,0,357,129,215,228,198,203,199,163,31,3,1377
CED697,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
CED701,3001,2128,3236,2623,2211,1735,959,293,53,16243,26719,16935,21315,18101,15487,12661,7067,2251,475,121004
CED702,2319,1458,2303,1856,1534,1164,665,281,111,11699,22146,12920,21288,17478,14186,11290,7353,2927,696,110288
CED794,74,97,193,168,213,186,79,12,0,1017,446,276,661,573,591,579,318,49,7,3500
CED797,0,0,6,4,5,3,0,0,0,24,0,15,23,22,19,17,0,0,0,99
CED801,1689,1136,1401,1202,1104,919,747,489,238,8929,28964,17215,22319,21933,19674,18075,14171,7647,2617,152610
CED802,1193,2292,1907,1264,1075,965,749,390,228,10061,20542,24247,27091,20191,17042,14515,11733,6954,3198,145507
CED803,1986,1196,1570,1373,1048,635,462,229,63,8567,33801,19232,28413,27449,19759,13189,10079,4928,1420,158267
CED894,7,21,17,35,22,22,11,0,0,138,50,148,108,104,77,78,34,10,4,605
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
