CED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED212,29685,17782,19993,21835,21967,19405,15113,8681,3550,158012
CED213,23679,15060,13646,15714,19647,20756,21953,14401,5492,150355
CED214,28165,20696,35377,27544,21769,18224,13633,7554,3419,176388
CED215,43743,19382,28701,36362,24236,17137,11831,6068,2518,189984
CED216,25949,15624,17215,16748,18427,22658,22098,11705,3939,154357
CED217,27110,18578,14967,19531,24118,20184,15854,9578,4822,154736
CED218,37432,23066,26143,28195,23619,18609,13241,5950,1848,178100
CED219,36940,19828,24951,24424,20627,17203,13532,5974,1909,165389
CED220,20353,19016,31632,22358,19519,16521,13192,8606,3870,155062
CED221,45654,24097,30666,31300,22019,16563,10430,4887,1644,187255
CED222,31635,25624,34431,27900,23858,20465,16254,10506,4915,195590
CED223,26814,15969,16281,17472,19886,23021,21401,11529,4247,156620
CED224,29401,17588,19743,23851,23399,19002,14574,8841,4126,160526
CED225,28575,17984,18952,22268,21990,19590,16381,9268,3870,158869
CED226,25644,23595,20867,19873,22915,20099,15755,9605,4987,163354
CED227,39637,20678,26068,26702,20885,15597,11444,6381,2079,169469
CED228,48971,24424,35954,36421,21287,16791,11050,4825,1603,201323
CED229,19643,17243,40606,28521,21470,17343,13427,6958,2862,168080
