CED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED208,23,37,130,191,309,656,1775,2949,1747,7824,8,43,94,110,167,267,470,751,485,2396,268,512,1420,1080,868,786,751,734,668,7083,2625,9830,29801,25289,21494,16176,11113,7638,4069,128027
CED209,49,36,103,112,165,329,785,1089,743,3407,11,19,44,42,42,41,43,53,26,332,303,418,743,784,731,812,1137,999,729,6657,3362,8505,18318,19916,18523,18027,18367,9807,3839,118653
CED210,85,91,280,351,463,727,1525,1849,1129,6498,10,37,154,207,217,190,185,192,125,1320,421,599,1364,1145,1034,964,1016,953,597,8087,3526,10351,23763,20498,20122,18972,15902,9107,3776,126021
CED211,30,68,245,295,314,457,808,1300,925,4444,3,30,198,181,195,262,221,155,99,1345,192,268,727,748,661,601,715,869,918,5704,3160,9430,20676,24062,22444,19521,16139,10475,4842,130751
CED212,52,74,179,242,358,520,876,1130,692,4124,17,25,67,63,67,87,86,87,64,559,436,420,1107,1131,1127,927,865,928,729,7665,3537,8563,19991,21821,21957,19401,15095,8680,3545,122587
CED213,63,45,148,161,262,400,1079,1604,983,4738,8,15,34,51,56,83,85,95,68,481,396,364,782,936,1158,1188,1497,1448,974,8736,3344,6823,13645,15713,19629,20749,21952,14394,5492,121738
CED214,56,85,392,676,1032,1593,2514,2549,1217,10117,16,66,442,499,741,1091,1000,739,509,5099,510,897,2720,1866,1376,1225,1134,988,756,11465,3379,12305,35329,27484,21723,18191,13608,7545,3414,142967
CED215,43,51,159,263,346,628,1361,1541,866,5261,7,44,141,183,229,270,363,396,240,1871,465,615,1845,1789,1065,772,706,512,344,8107,3511,9786,28670,36337,24209,17123,11812,6067,2519,140032
CED216,110,75,263,301,426,858,1664,2029,1027,6748,5,28,51,72,77,91,87,92,53,558,587,621,1416,1477,1472,1746,1892,1455,921,11593,3650,7351,17205,16740,18424,22654,22086,11694,3937,123741
CED217,21,16,33,59,93,173,464,792,698,2349,4,16,47,53,68,80,95,121,90,581,232,241,651,693,739,582,707,755,667,5271,3228,8339,14961,19522,24117,20173,15843,9560,4813,120546
CED218,41,65,335,562,743,1327,2492,1909,645,8111,12,45,271,372,516,689,659,474,215,3250,501,627,1708,1462,1110,843,774,508,215,7748,4318,11495,26103,28156,23566,18577,13220,5937,1848,133220
CED219,85,103,349,385,446,675,1434,1233,555,5259,13,35,156,199,215,195,191,167,48,1222,533,536,1503,1354,1100,905,872,620,234,7648,4109,9831,24935,24409,20609,17184,13530,5975,1906,122481
CED220,17,18,56,66,97,176,443,969,635,2472,0,15,83,61,63,91,94,202,130,729,206,472,1544,950,767,662,724,707,570,6601,2559,11689,31625,22352,19511,16505,13180,8593,3866,129884
CED221,91,106,566,798,768,876,1181,1025,453,5857,21,111,618,821,814,604,402,194,83,3673,493,644,1759,1494,1060,866,662,457,231,7669,4380,12494,30617,31242,21984,16536,10410,4885,1641,134192
CED222,54,80,379,627,881,1478,2335,3082,1684,10602,28,164,536,589,765,1204,1080,908,483,5762,374,855,2098,1272,980,937,911,855,632,8917,4023,15358,34377,27852,23807,20431,16223,10504,4905,157485
