CED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED236,21817,984,21,480,31,23337,19051,342,8,46,19,19472,5778,1878,49,26,15,7751,1246,600,15,0,0,1861,199,150,28,15,0,390,2958,328,9,43,15,3354,789,97,3,176,12,1069,95,47,0,6,0,149,11060,3101,109,274,40,14580,1103,143,0,110,6,1367,1120,184,3,67,6,1391,54153,4758,142,977,101,60137
CED237,15961,1241,331,3,6,17540,20307,2187,399,4,12,22905,7847,2622,960,4,6,11436,463,105,38,0,0,608,75,49,35,0,0,161,1597,291,107,0,8,2001,368,48,31,4,0,453,54,21,11,0,0,82,10399,3139,1175,8,12,14735,553,182,57,3,0,800,822,109,40,0,3,977,48044,6862,1999,18,35,56962
CED238,25136,920,130,164,36,26382,18225,380,83,53,21,18767,4667,1311,342,42,8,6374,970,432,102,3,0,1511,133,112,62,0,0,306,3122,319,77,25,17,3564,616,86,30,84,9,828,78,38,7,0,0,121,9591,2290,623,159,39,12702,1554,142,59,21,12,1794,967,122,18,20,5,1133,55477,3864,913,416,109,60779
CED239,14025,2711,1021,40,19,17818,11164,5384,2654,46,14,19262,5485,7116,5875,125,19,18625,340,507,316,0,5,1168,35,75,100,0,0,205,1601,998,700,44,4,3347,197,106,43,3,6,360,39,29,18,0,0,85,7694,8826,7060,171,35,23790,451,171,94,8,0,725,483,210,113,6,3,811,33821,17298,10942,269,71,62402
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,15214,463,118,86,22,15902,24213,361,82,29,16,24697,14030,2864,499,12,17,17416,987,376,195,0,4,1562,141,153,88,0,0,391,2843,287,68,6,9,3214,940,231,54,110,21,1362,97,31,7,0,0,135,19036,3933,909,134,55,24070,531,78,44,6,9,675,843,110,41,11,6,1022,59841,4940,1193,272,114,66361
CED302,15313,1371,746,218,8,17659,19773,2170,690,14,7,22658,6724,2354,1882,16,19,10996,786,454,532,0,0,1782,83,77,95,0,5,259,1613,490,334,16,12,2469,156,444,142,284,24,1046,27,26,23,6,0,80,9393,3843,3011,322,57,16624,423,299,124,3,7,855,427,117,89,16,5,656,45329,7798,4659,578,85,58455
CED303,17274,1708,693,112,19,19810,21871,1163,385,8,11,23436,6442,1560,575,4,9,8591,516,494,345,0,4,1355,78,142,92,0,0,305,1914,401,198,13,12,2542,127,327,78,21,3,551,39,25,15,6,0,81,9123,2941,1297,42,35,13437,464,725,129,0,6,1325,549,140,53,8,3,755,49276,6680,2559,170,73,58756
CED304,8785,829,5287,9,25,14933,11133,1223,7476,5,27,19873,4903,1971,25351,36,128,32389,116,243,1292,0,3,1651,28,29,692,0,10,758,1425,424,4111,14,45,6023,84,81,993,4,17,1169,24,12,122,0,0,161,6581,2759,32557,52,206,42153,299,61,570,0,12,942,220,64,546,0,24,859,27019,4942,46436,71,286,78763
CED305,15915,468,356,198,58,17000,18734,331,226,38,25,19349,6234,1542,895,10,15,8700,757,400,211,0,3,1376,175,162,97,0,0,433,3051,288,195,19,13,3562,1796,379,111,86,24,2398,69,29,14,0,0,110,12089,2791,1522,114,61,16578,1074,128,73,18,29,1328,762,117,53,37,16,984,48568,3835,2232,403,191,55233
CED306,15964,702,389,465,109,17623,18949,492,330,63,33,19869,6572,2513,1464,35,59,10643,899,591,257,0,0,1749,158,212,81,4,0,459,2996,512,314,34,35,3888,576,187,170,157,83,1176,61,53,15,0,0,131,11261,4072,2295,234,178,18044,884,145,33,26,24,1117,766,220,51,100,49,1192,47833,5630,3104,882,394,57840
CED307,14628,1153,85,125,8,16001,23582,1353,72,3,14,25014,5842,2781,360,3,9,8985,531,254,95,0,0,881,40,114,7,0,0,160,1465,519,89,0,6,2078,535,464,9,42,5,1057,33,41,5,0,0,77,8443,4170,558,50,15,13233,238,453,81,3,7,782,393,117,23,6,3,543,47288,7240,818,190,42,55577
CED308,12432,3738,2568,337,66,19137,18613,4463,1436,20,47,24585,9750,5313,2904,6,64,18030,235,495,254,0,5,986,62,154,58,0,3,277,1608,1188,707,25,27,3549,304,827,347,46,10,1525,56,50,34,0,0,136,12008,8028,4293,73,105,24508,373,268,184,14,3,849,568,265,152,14,10,1014,43996,16758,8641,467,234,70091
CED309,16389,2535,1918,230,74,21151,19404,1703,1244,19,29,22402,6128,2682,2628,26,37,11502,313,388,440,0,0,1145,51,84,105,0,0,237,2097,593,738,13,30,3474,221,161,148,183,9,714,57,18,30,4,0,107,8869,3923,4086,224,81,17178,694,878,328,13,6,1919,552,163,166,15,11,906,45912,9204,7739,499,200,63553
CED310,16836,2486,2423,367,47,22157,19191,1156,1219,37,29,21637,7238,1777,3117,17,21,12170,393,256,453,0,3,1111,56,47,87,0,0,183,2242,498,730,31,25,3519,237,135,178,62,7,625,38,26,23,3,0,92,10208,2730,4589,112,59,17707,553,903,255,21,8,1746,538,149,141,12,17,851,47325,7434,8627,558,164,64100
CED311,16950,237,220,394,93,17893,17787,287,155,60,36,18331,7451,1181,1389,13,13,10051,1076,172,287,0,4,1535,191,109,59,0,0,367,3274,124,161,31,22,3611,1391,136,160,123,42,1852,77,26,14,4,0,122,13459,1758,2069,175,80,17541,1477,42,43,62,39,1666,1001,62,35,94,19,1207,50686,2384,2516,789,272,56639
CED312,12970,1221,252,128,14,14582,23926,1370,265,17,31,25603,12078,4023,881,16,33,17029,1046,288,201,0,4,1537,54,72,68,4,0,197,2127,432,123,9,15,2698,359,454,46,125,0,977,60,45,9,3,0,114,15725,5304,1323,152,52,22549,460,219,41,0,6,728,766,178,75,71,7,1090,53844,8288,1953,364,114,64566
CED313,9050,1011,4071,28,12,14175,13127,2499,5699,11,27,21370,5673,3196,16627,27,77,25601,601,454,1509,0,3,2566,46,34,194,0,3,275,1558,524,2837,6,31,4953,118,87,626,0,5,835,20,5,82,0,6,115,8016,4304,21867,35,124,34345,271,60,486,0,6,811,267,66,450,0,25,819,30732,7941,32575,69,199,71519
CED314,16988,1537,290,72,26,18913,18458,775,207,13,21,19483,8303,4000,1358,6,15,13687,638,517,158,0,0,1314,77,143,44,0,0,261,2759,526,196,7,7,3501,521,133,29,40,6,730,66,39,9,0,0,113,12368,5350,1796,59,34,19603,607,465,43,4,15,1136,568,173,35,12,14,799,48994,8297,2372,160,104,59929
CED315,12034,907,679,201,28,13847,19480,691,523,25,16,20734,8632,3539,2185,16,26,14401,1658,736,399,0,14,2811,145,179,75,0,0,397,3012,685,359,12,19,4086,1122,123,141,50,55,1495,76,39,12,0,0,131,14642,5302,3174,79,109,23310,572,275,74,8,11,942,585,177,72,25,22,878,47317,7361,4520,332,183,59711
CED316,22852,1268,822,662,85,25685,15847,409,217,46,33,16549,7083,1799,982,30,23,9912,648,658,207,0,3,1515,107,158,129,0,0,393,3233,354,318,39,18,3957,462,141,118,228,35,987,71,25,34,8,0,140,11595,3143,1795,303,71,16908,797,491,114,22,19,1436,784,184,89,102,37,1197,51866,5496,3034,1132,247,61775
CED317,19572,356,176,672,184,20965,16929,213,83,92,65,17383,5496,1175,851,53,21,7593,1586,459,320,8,6,2382,721,124,206,5,5,1070,4035,355,239,50,37,4710,1277,242,126,179,66,1892,110,26,32,9,0,179,13230,2385,1781,299,137,17829,1596,114,51,81,89,1935,1231,103,104,300,46,1786,52556,3172,2201,1434,527,59892
CED318,13110,1026,1560,353,118,16165,16775,1020,1517,67,46,19425,5469,2626,4273,37,115,12509,2882,662,593,13,22,4168,768,205,143,7,16,1140,2604,805,982,53,42,4488,793,452,418,197,82,1947,113,41,48,13,9,217,12625,4784,6457,319,284,24466,687,302,92,43,42,1167,694,192,209,63,72,1237,43888,7334,9840,848,564,62465
CED319,13641,1373,1215,14,3,16246,17821,2090,1823,3,5,21747,7209,2891,6293,22,27,16437,971,688,999,0,9,2667,68,108,186,0,7,367,1825,474,852,6,6,3169,206,378,202,0,7,791,36,31,46,0,0,109,10308,4569,8578,29,52,23533,451,312,470,0,7,1243,374,149,240,109,3,874,42595,8495,12317,156,74,63639
CED320,17422,1415,304,478,26,19639,23160,647,134,31,24,23998,10350,4155,539,13,22,15077,658,552,85,5,0,1299,102,197,35,3,0,341,2250,476,93,20,19,2847,269,418,28,161,6,880,55,48,19,3,0,129,13680,5849,797,206,49,20576,505,328,127,23,7,984,684,185,47,27,9,956,55452,8424,1405,754,115,66152
CED321,20990,344,51,380,120,21887,14719,141,30,83,52,15029,6170,1339,521,28,11,8071,753,283,113,8,5,1153,212,169,66,3,3,455,3978,198,71,28,36,4316,1499,119,63,107,44,1838,98,37,12,11,0,148,12710,2138,857,188,97,15987,2062,133,15,35,73,2316,1054,90,55,35,34,1263,51536,2853,1003,712,371,56476
CED322,12005,3487,3162,86,30,18767,15051,4700,2273,13,17,22047,3741,3560,4232,10,23,11567,319,346,349,0,0,1017,25,40,105,0,0,177,1372,1160,1231,9,15,3786,163,736,452,11,0,1364,36,40,36,0,0,105,5652,5878,6401,31,41,18003,312,225,201,0,3,738,407,207,207,0,20,847,33422,14491,12240,130,111,60399
CED323,10061,3292,6678,235,72,20332,12760,3424,4655,26,37,20898,3757,3778,11100,33,103,18779,547,407,545,0,0,1502,43,69,352,0,0,464,1358,1144,2746,16,24,5293,156,629,1205,277,51,2320,26,38,130,5,4,201,5891,6069,16073,334,186,28552,299,405,654,9,9,1372,420,251,576,23,30,1298,29432,13433,28644,623,333,72459
CED324,14912,1116,831,13,11,16886,16049,2298,1253,8,6,19615,7359,3109,3356,13,39,13877,745,500,650,0,5,1901,114,79,173,0,0,371,2545,621,625,4,15,3803,316,560,84,62,5,1028,69,37,20,0,0,128,11153,4912,4908,88,68,21115,576,279,274,0,8,1136,531,127,78,5,7,745,43216,8735,7336,114,103,59499
CED325,12436,823,110,32,7,13407,22964,1017,55,3,6,24054,10391,3834,147,6,37,14405,1956,311,118,0,3,2380,89,103,25,0,3,219,2302,411,66,3,7,2802,622,574,37,130,4,1368,76,48,8,5,0,144,15439,5279,400,150,55,21313,432,314,143,4,5,891,686,179,46,7,15,920,51962,7607,754,192,83,60592
CED326,14586,1766,1718,138,20,18233,21617,1447,746,13,22,23843,11484,4048,1830,12,24,17391,988,384,709,0,0,2088,65,110,153,8,0,329,1994,592,413,11,11,3017,350,724,123,280,7,1488,49,54,35,0,0,139,14927,5908,3267,312,42,24453,488,808,231,10,5,1541,600,208,122,28,7,971,52226,10129,6090,498,95,69039
CED327,12327,1023,106,58,3,13515,20872,1983,114,0,13,22983,10019,4557,521,4,20,15127,1697,479,121,0,4,2303,72,125,39,0,3,248,2180,627,76,3,9,2900,252,634,59,50,10,1002,67,62,6,0,0,135,14294,6485,827,52,53,21710,359,219,33,0,7,614,667,232,72,0,10,984,48521,9935,1154,115,82,59807
CED328,14413,881,2513,3,23,17839,17803,751,2417,0,15,20985,5205,943,7003,5,59,13206,450,59,413,0,0,922,38,25,112,0,0,176,1455,174,1432,3,16,3082,565,82,272,0,24,933,34,5,22,0,0,59,7740,1282,9259,7,96,18386,349,241,282,0,11,888,278,49,117,0,5,448,40589,3211,14580,14,152,58538
CED329,23010,1208,663,380,81,25337,17044,496,311,75,46,17971,5046,1189,828,32,53,7143,716,325,226,0,4,1277,92,113,56,0,3,260,3002,364,269,22,27,3676,316,77,72,70,29,569,59,29,14,5,4,99,9223,2089,1464,123,116,13018,828,342,63,14,38,1279,844,128,70,32,9,1084,50948,4259,2571,624,288,58689
CED330,16807,479,84,166,42,17580,27487,263,86,49,25,27906,6756,996,133,18,11,7915,190,104,9,0,0,298,39,51,3,0,0,92,2563,150,51,17,22,2804,341,77,3,72,11,507,70,16,0,0,0,92,9965,1394,201,110,42,11707,701,49,31,8,5,799,790,58,9,21,58,938,55753,2246,410,356,168,58938
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CED401,15067,3519,1883,55,29,20554,16184,4602,2115,20,58,22982,5789,4974,7001,55,106,17923,1396,2084,767,0,12,4265,659,790,617,0,22,2087,3093,1981,1871,46,36,7022,489,225,371,5,19,1109,66,71,50,0,9,198,11495,10122,10674,105,200,32600,589,585,419,10,6,1607,470,261,166,0,43,939,43800,19099,15257,191,325,78685
CED402,23979,760,163,325,74,25309,21754,438,91,73,49,22396,5225,1311,671,13,18,7240,1188,890,196,0,8,2279,318,253,53,0,0,622,3827,332,135,30,29,4361,918,133,39,54,22,1165,93,51,16,0,3,167,11566,2974,1110,112,72,15832,1814,469,41,25,17,2375,998,147,39,32,25,1233,60104,4787,1442,560,235,67134
CED403,18623,3936,1505,37,24,24117,18774,3965,1334,19,36,24130,4227,3240,2810,36,31,10352,911,1283,526,0,12,2729,385,681,323,5,9,1395,2458,1392,1025,20,22,4926,175,94,105,10,12,398,39,48,36,0,0,117,8198,6738,4816,76,81,19916,560,993,528,14,15,2107,399,268,111,3,0,795,46556,15898,8302,147,166,71061
CED404,24056,1202,146,321,114,25835,18636,1102,65,68,37,19913,4814,1365,439,17,18,6654,1895,1958,493,6,19,4364,389,204,64,5,6,665,4032,540,120,49,32,4768,1325,127,74,83,25,1644,110,49,15,4,0,180,12575,4246,1204,155,99,18276,1704,231,42,38,35,2049,1044,224,52,62,25,1411,58016,7009,1506,647,311,67491
CED405,18934,3152,974,52,36,23147,18673,3961,1070,21,43,23776,4578,2976,2544,21,37,10155,1150,1958,714,0,11,3838,330,483,189,0,0,1004,2752,1217,966,15,21,4979,269,157,172,8,6,607,63,52,45,0,0,153,9140,6844,4627,44,75,20728,570,670,309,5,11,1567,458,245,102,17,6,823,47774,14874,7083,138,166,70040
CED406,18196,944,171,120,7,19433,27274,976,203,4,28,28490,5963,1048,271,0,7,7297,1424,799,206,0,3,2428,405,162,41,0,3,615,3083,390,87,5,7,3576,147,88,14,100,0,347,55,40,9,0,0,105,11085,2522,624,106,21,14357,566,835,122,10,4,1532,505,172,30,10,6,722,57625,5444,1151,251,68,64539
CED407,19167,1109,305,9,9,20599,25319,1297,436,4,28,27080,5287,1246,816,4,21,7373,1511,645,240,0,6,2396,241,143,48,0,3,429,2921,404,198,0,16,3545,470,93,40,0,7,610,61,21,10,0,0,89,10483,2552,1354,5,55,14446,505,1080,154,3,0,1745,588,135,55,0,9,786,56072,6169,2296,26,93,64660
CED408,24761,721,113,258,65,25914,26075,372,49,23,39,26561,5248,574,212,12,9,6057,429,148,16,0,0,597,265,165,33,0,0,476,3139,230,79,19,25,3486,356,56,7,70,17,505,51,13,9,5,0,76,9486,1195,362,103,58,11199,1197,595,52,15,12,1871,694,69,17,15,7,797,62212,2952,587,412,179,66339
CED409,14241,1317,68,167,32,15823,25773,1542,99,18,45,27481,8341,2514,491,0,15,11362,1728,2281,215,0,7,4228,413,505,79,0,3,994,3615,711,142,6,11,4490,842,146,68,72,16,1143,103,69,28,3,4,204,15036,6223,1027,81,49,22414,564,312,28,6,18,923,773,277,39,10,13,1121,56386,9677,1261,283,156,67764
CED410,21196,3743,1153,47,34,26172,18749,3643,1108,9,34,23542,5464,3485,2850,13,36,11841,700,816,609,0,0,2128,341,441,299,0,5,1087,2489,1313,1035,15,32,4881,297,108,168,21,10,611,49,44,48,0,0,141,9337,6210,5011,44,81,20686,708,962,753,3,16,2448,457,171,133,0,4,760,50443,14726,8149,103,175,73606
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
