CED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED604,15871,358,95,131,23,16484,15459,268,73,23,20,15830,3589,427,153,18,0,4183,1002,346,57,0,0,1405,202,150,18,0,0,369,2409,210,85,18,16,2730,239,34,3,33,0,305,61,24,5,0,0,83,7496,1180,323,67,16,9082,628,135,17,13,11,801,413,43,4,9,6,480,39869,1993,513,239,71,42677
CED605,16746,295,329,168,40,17574,15263,163,242,31,23,15729,2912,223,381,18,7,3544,1135,151,203,0,0,1482,280,105,83,0,0,473,2658,97,230,28,8,3016,495,15,36,60,16,619,65,11,12,0,4,88,7541,601,942,106,36,9223,803,23,29,17,12,889,615,37,38,7,5,711,40970,1124,1578,336,115,44115
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,4089,247,53,447,116,4949,8173,688,76,70,44,9051,1856,1252,445,10,30,3592,3876,859,199,10,21,4963,1644,230,72,13,24,1992,1431,364,83,55,42,1974,1739,469,180,148,113,2643,111,20,4,0,0,143,10653,3194,979,238,226,15303,1961,258,106,130,105,2554,544,136,44,87,79,887,25420,4526,1262,975,566,32742
CED702,4706,528,997,115,11,6352,9469,936,1963,6,0,12378,3545,1497,5873,8,20,10953,1115,717,669,0,10,2504,122,30,71,0,7,232,1552,540,1222,15,19,3349,966,97,346,28,13,1443,42,18,49,0,0,108,7335,2901,8234,55,64,18586,284,77,113,13,9,491,314,99,207,16,18,657,22107,4536,11514,205,102,38465
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CED801,14518,2033,880,51,11,17494,19489,3252,2239,0,11,24994,2886,1654,1841,0,3,6386,1699,1132,293,18,4,3149,85,117,22,0,0,227,1636,658,520,4,7,2829,275,117,61,4,13,471,29,16,3,0,0,45,6624,3693,2739,23,27,13114,451,241,238,0,6,939,340,91,78,0,12,519,41425,9315,6171,84,72,57064
CED802,10968,2242,2530,42,12,15800,9758,2824,4905,0,7,17501,2591,2268,7786,0,24,12671,1127,754,889,0,6,2770,108,98,176,0,6,388,1551,896,2011,4,15,4475,375,176,344,29,13,937,34,18,35,0,0,90,5778,4216,11240,29,61,21329,320,294,376,5,7,1003,224,88,134,0,0,456,27051,9671,19183,81,89,56079
CED803,9756,1561,588,0,4,11909,19843,3762,1860,0,19,25475,4035,2333,3308,0,20,9688,1580,822,251,0,11,2664,222,102,95,0,3,427,1741,801,804,5,10,3356,1042,172,140,0,10,1357,40,16,9,0,0,72,8658,4242,4615,0,40,17556,282,291,198,0,4,774,372,92,70,0,0,528,38905,9952,7321,9,70,56249
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
