region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED323,504,694,1198,462,522,984,265,1510,1775,527,3217,3744,3053,2818,5871,3266,2549,5815,3194,2041,5235,3102,1790,4892,3208,1285,4493,4817,1533,6350,3626,438,4064,2498,936,3434,1712,113,1825,712,72,784,1187,66,1253,3359,904,4263,766,1061,1827,36258,21549,57807
CED324,447,590,1037,397,374,771,231,906,1137,433,2029,2462,2118,1698,3816,2465,1415,3880,2553,1258,3811,2717,1291,4008,2778,1031,3809,4682,1289,5971,4162,411,4573,3628,703,4331,2769,168,2937,1208,51,1259,1959,67,2026,3247,677,3924,456,463,919,36250,14421,50671
CED325,231,224,455,333,234,567,240,589,829,465,1761,2226,2379,1161,3540,2621,1028,3649,2491,978,3469,3110,1004,4114,2998,712,3710,5441,796,6237,4786,211,4997,3370,356,3726,2275,59,2334,1004,30,1034,1294,23,1317,3390,269,3659,605,378,983,37033,9813,46846
CED326,210,225,435,274,272,546,231,1045,1276,477,3127,3604,3045,2431,5476,3168,1572,4740,2998,1136,4134,3088,1151,4239,3065,789,3854,5453,849,6302,4580,160,4740,3107,465,3572,1990,50,2040,797,18,815,944,19,963,3361,264,3625,710,751,1461,37498,14324,51822
CED327,351,262,613,407,252,659,320,741,1061,575,1824,2399,2902,1307,4209,3371,1367,4738,3153,1170,4323,4034,1192,5226,3951,803,4754,6516,798,7314,5416,236,5652,3228,309,3537,1912,50,1962,904,26,930,1022,17,1039,4108,358,4466,936,574,1510,43106,11286,54392
CED328,344,599,943,256,378,634,118,625,743,263,1369,1632,1354,1608,2962,1644,1319,2963,1938,1159,3097,2009,1356,3365,2251,1142,3393,4159,1676,5835,4142,485,4627,5128,1250,6378,3984,189,4173,1972,95,2067,3660,143,3803,3680,811,4491,354,331,685,37256,14535,51791
CED329,354,343,697,569,406,975,318,1486,1804,738,3793,4531,4962,2439,7401,4375,1636,6011,4115,1140,5255,3419,903,4322,3186,550,3736,4239,513,4752,2746,106,2852,1578,263,1841,932,21,953,296,11,307,454,9,463,4003,316,4319,860,833,1693,37144,14768,51912
CED330,290,225,515,399,256,655,230,679,909,457,1839,2296,2933,1291,4224,2806,1040,3846,3034,763,3797,3137,660,3797,3294,411,3705,5346,452,5798,4210,102,4312,2701,219,2920,1750,23,1773,647,12,659,815,12,827,3812,226,4038,812,509,1321,36673,8719,45392
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
