region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
CED319,1387,1034,3631,29765,33703,14064,10659,22091,9274,119556
CED320,870,533,2046,22338,28564,14667,13403,21563,10025,110560
CED321,1320,519,2665,20694,27707,15200,15859,24669,11186,115315
CED322,1235,898,3083,26729,30567,13658,10503,23037,10569,115063
CED323,1421,938,3439,29930,31127,12942,9401,26963,15487,125850
CED324,1102,706,2681,29544,30811,13608,10439,26569,9205,120176
CED325,735,315,1492,25207,29241,12688,10322,23282,10037,110777
CED326,1451,647,3021,24931,29549,13869,11295,22538,8871,111053
CED327,737,332,1454,29094,32761,14374,12399,28968,10953,128549
CED328,953,588,2500,34296,35222,15100,10722,19401,6621,121362
CED329,1074,847,2801,19226,28097,15746,15224,20805,10367,109465
CED330,734,292,1544,21445,28159,15052,13612,19584,8441,106293
CED394,27,14,51,2233,2171,944,756,3389,1991,11484
CED397,0,3,9,53,64,36,24,187,91,455
CED401,1868,848,4019,32166,34610,13610,9073,27812,10589,127860
CED402,1545,653,3321,22875,30995,16906,14882,24144,9594,119396
CED403,2268,680,4679,26377,32214,15468,10652,20992,6423,112126
CED404,1473,567,2971,20697,28557,15365,14889,26551,10694,116753
CED405,2198,1131,5129,27541,32092,14177,10093,25523,8539,117965
CED406,1365,459,2578,26188,34046,16138,12574,23491,7539,119976
CED407,1145,400,2248,23875,29845,14207,10876,22848,7154,108805
CED408,1331,514,2886,23670,32898,17801,14085,18340,6593,113387
CED409,1584,719,3424,27641,32921,14546,11531,32908,11009,130556
CED410,1909,799,4236,26907,31949,15212,10977,25070,7294,117409
CED411,1282,522,2586,24022,30885,15274,13949,28595,9910,122635
CED494,56,11,76,537,512,175,122,938,480,2764
CED497,0,0,0,0,0,0,0,6,0,6
CED501,905,455,1995,24050,30427,14604,14250,25861,11433,120625
CED502,842,563,2084,22835,29336,15029,14848,24468,11103,117619
CED503,788,388,1656,25486,29117,13069,11072,24921,7451,111116
CED504,1305,745,3436,30692,30979,13368,10317,20256,9332,114944
CED505,549,255,1169,27538,31287,13415,12947,32226,22116,139529
CED506,972,440,2139,21649,28378,15122,14287,20527,9714,109677
CED507,1101,446,2318,27272,31502,13623,11413,24106,8848,116764
CED508,876,504,2087,25536,30215,14345,12867,25934,10568,119465
CED509,622,224,1369,27881,31343,14534,11556,22177,7061,114552
CED510,999,432,2184,22736,29597,15031,15145,23282,12138,117929
CED511,650,424,1682,23794,30315,15495,14764,22339,11743,118450
CED512,1335,463,2708,30182,32039,12231,9723,27496,11629,123300
CED513,1371,714,3098,27778,30231,12270,10484,25770,10905,117438
CED514,1583,868,3602,32450,33641,12777,10342,32001,13510,134721
CED515,1117,499,2673,28673,30163,14483,11947,23118,7485,115869
CED594,8,8,16,1369,1163,512,339,1981,1327,6691
CED597,0,0,0,34,28,3,9,273,66,413
CED601,1162,431,2284,16654,21329,10478,8947,17248,5763,80419
CED602,855,535,2074,14481,19791,10953,10050,17239,6427,78941
CED603,1032,526,2438,19184,23510,10469,7285,15804,5987,82239
CED604,929,296,1964,16372,22212,11570,9111,14114,5137,78516
CED605,714,265,1486,14055,19914,11261,11173,17372,6508,80283
CED694,0,0,0,213,185,64,64,298,151,975
CED697,0,0,0,18,17,3,6,55,10,109
CED701,120,76,312,18964,20863,8455,5887,16141,11245,81555
CED702,207,78,385,18788,21936,8142,5409,15653,11714,81642
CED794,0,0,0,325,355,125,107,529,283,1724
CED797,0,0,0,14,11,6,3,62,10,106
CED801,1190,361,2670,35178,43245,18715,11142,21193,7448,136921
CED802,748,476,2156,40385,47831,18606,11419,25307,10111,153659
CED894,3,3,6,169,134,35,23,145,67,573
CED897,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,7,3,0,3,6,0,19
CED997,0,0,0,0,0,0,0,3,0,3
