region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED133,58783,64658,123441,32474,22675,55149,6827,13379,20206,1648,2175,3823,1691,1650,3341,42640,39879,82519,12627,21335,33962,4.0,4.1,4.0,72.5,61.7,66.8,69.7,59.1,64.1,7789,6902,14691,1431,2262,3693,18099,19476,37575,4994,7435,12429,5827,4218,10045,54065,58429,112494,12593,13362,25955,31373,34946,66319,31240,32836,64076
CED134,51978,55972,107950,18677,10514,29191,6400,12655,19055,1692,1691,3383,2529,2007,4536,29298,26867,56165,20095,26655,46750,8.6,7.5,8.1,56.4,48.0,52.0,51.5,44.4,47.8,772,695,1467,491,888,1379,3625,5504,9129,2621,4336,6957,14684,8818,23502,51900,54810,106710,9006,9941,18947,34989,36698,71687,22136,24360,46496
CED135,58675,59303,117978,27967,14885,42852,5051,13130,18181,2204,2066,4270,2238,1727,3965,37460,31808,69268,17163,24020,41183,6.0,5.4,5.7,63.8,53.6,58.7,60.0,50.7,55.4,542,627,1169,318,815,1133,3004,5876,8880,2385,4181,6566,14973,9015,23988,59306,59618,118924,10200,10722,20922,40968,40512,81480,23227,24855,48082
CED136,66827,66995,133822,31056,18639,49695,8069,11398,19467,2188,2049,4237,2922,2814,5736,44235,34900,79135,17535,27552,45087,6.6,8.1,7.2,66.2,52.1,59.1,61.8,47.9,54.8,6084,4787,10871,816,991,1807,11494,12597,24091,5769,6355,12124,10259,6149,16408,62658,63268,125926,12801,12345,25146,37092,38358,75450,32859,32097,64956
CED137,50278,53578,103856,20042,9774,29816,5385,12398,17783,1712,1644,3356,1841,1555,3396,28980,25371,54351,18448,25409,43857,6.4,6.1,6.2,57.6,47.4,52.3,54.0,44.5,49.1,789,683,1472,387,677,1064,3189,4687,7876,3274,4568,7842,16571,8709,25280,50402,52386,102788,8479,9221,17700,33610,35112,68722,21597,22984,44581
CED138,68922,68945,137867,31256,19981,51237,8856,12633,21489,2298,2251,4549,2677,2388,5065,45087,37253,82340,18351,27132,45483,5.9,6.4,6.2,65.4,54.0,59.7,61.5,50.6,56.1,5818,4821,10639,962,1290,2252,13267,14511,27778,5910,6807,12717,8901,5383,14284,61835,63540,125375,13320,13066,26386,36587,38520,75107,33558,33325,66883
CED139,52521,56767,109288,18036,10165,28201,7876,14728,22604,1816,1770,3586,2663,2103,4766,30391,28766,59157,18988,24922,43910,8.8,7.3,8.1,57.9,50.7,54.1,52.8,47.0,49.8,1104,1170,2274,604,1135,1739,4929,7225,12154,3398,5650,9048,14998,8057,23055,51808,54696,106504,9253,10433,19686,34196,35425,69621,23208,26096,49304
CED140,56499,57457,113956,28771,14235,43006,5264,13935,19199,2201,2158,4359,1720,1653,3373,37956,31981,69937,15630,22734,38364,4.5,5.2,4.8,67.2,55.7,61.4,64.1,52.8,58.4,884,775,1659,413,776,1189,3573,5980,9553,2573,3943,6516,15039,9000,24039,56945,58169,115114,10352,10535,20887,38883,39238,78121,23803,24993,48796
CED141,52484,57800,110284,22640,12226,34866,6092,13745,19837,1773,1966,3739,2072,1810,3882,32577,29747,62324,16650,24690,41340,6.4,6.1,6.2,62.1,51.5,56.5,58.1,48.3,53.0,1385,1194,2579,567,973,1540,4927,6575,11502,3922,5662,9584,15350,8796,24146,52433,56718,109151,8376,9247,17623,35169,38059,73228,22016,24338,46354
CED142,49935,53973,103908,21515,10733,32248,5115,13075,18190,1700,1776,3476,1923,1570,3493,30253,27154,57407,17419,24510,41929,6.4,5.8,6.1,60.6,50.3,55.2,56.7,47.4,51.9,905,811,1716,446,721,1167,3750,5352,9102,3230,4407,7637,16342,8207,24549,51822,54794,106616,7353,7901,15254,36795,38769,75564,18802,20457,39259
