region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
CED507,1882,417,2316,24297,8464,1298,34059,74659,8047,116765
CED508,1589,478,2088,23803,9472,1306,34581,75145,9738,119464
CED509,1123,227,1371,26170,8980,1392,36542,71491,6519,114552
CED510,1752,417,2184,24740,7818,1489,34047,72602,11275,117924
CED511,1259,405,1687,28014,8605,1486,38105,69333,11013,118451
CED512,2234,443,2705,19744,7559,906,28209,84197,10893,123299
CED513,2407,660,3100,20965,8186,843,29994,77269,10178,117441
CED514,2761,816,3600,21027,7683,923,29633,92444,12645,134722
CED515,2178,466,2673,23165,8688,1077,32930,75922,7017,115869
CED594,9,7,16,561,250,29,840,4552,1298,6690
CED597,0,0,0,33,7,0,40,310,66,416
CED601,1881,395,2285,15617,5891,736,22244,53026,5149,80419
CED602,1557,507,2075,15227,5917,783,21927,51213,5798,78938
CED603,1921,492,2438,14433,6178,861,21472,55247,5519,82238
CED604,1672,269,1964,16204,6844,924,23972,49840,4703,78515
CED605,1234,244,1485,15729,5514,777,22020,52488,5777,80285
CED694,0,0,0,112,58,3,173,653,149,975
CED697,0,0,0,6,6,3,15,85,12,112
CED701,208,75,313,16497,9286,2592,28375,42375,10802,81552
CED702,305,75,385,15585,4921,857,21363,49057,11221,81641
CED794,0,0,0,127,79,0,206,1254,265,1725
CED797,0,0,0,3,0,0,3,88,18,109
CED801,2330,309,2668,27452,10651,1451,39554,90429,6939,136922
CED802,1660,463,2157,30408,10548,1608,42564,101476,9619,153659
CED894,3,3,6,62,33,3,98,403,68,569
CED897,0,0,3,3,0,0,3,0,0,3
CED994,0,0,0,0,3,0,3,21,0,24
CED997,0,0,0,0,0,0,0,0,0,0
