region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED233,35197,101700,2288,4358,2213,5692,4501,10050,1688,3486,240,412,343,639,34,69,2305,4606,15,23,0,0,30,62,45,85,5,5,42053,116446,3197,0,45250,116446
CED234,42550,109927,1366,2280,93,208,1459,2488,3523,5328,41,62,4,3,22,38,3590,5431,645,971,16,36,125,306,786,1313,49,111,48434,119270,6873,0,55307,119270
CED235,39137,117154,926,2313,953,2614,1879,4927,1889,3812,146,268,33,47,22,33,2090,4160,0,0,3,3,16,57,19,60,4,20,43129,126321,2511,0,45640,126321
CED236,44326,109198,1211,1973,219,463,1430,2436,2391,3452,73,100,17,29,19,21,2500,3602,276,400,44,90,161,363,481,853,18,58,48755,116147,8954,0,57709,116147
CED237,38037,103369,5359,11113,3557,8506,8916,19619,6774,12521,1060,1920,1342,2442,41,76,9217,16959,6,12,3,4,220,525,229,541,36,103,56435,140591,4685,0,61120,140591
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,43245,119757,1198,2041,659,1223,1857,3264,1343,1938,73,122,34,54,24,46,1474,2160,434,635,26,72,39,97,499,804,54,134,47129,126119,4755,0,51884,126119
CED302,40955,115828,2341,4347,3263,7594,5604,11941,1907,2921,543,985,264,467,64,105,2778,4478,765,1129,0,0,34,68,799,1197,11,26,50147,133470,3165,0,53312,133470
CED303,42569,120494,2622,3983,2122,4124,4744,8107,1220,1920,185,342,120,215,43,84,1568,2561,232,341,6,20,42,90,280,451,11,25,49172,131638,4888,0,54060,131638
