region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
CED410,7904,18366,7595,6384,10438,6410,2418,5042,1045,65602
CED411,7150,6986,10231,7244,8695,6260,6928,10261,1224,64979
CED494,69,130,126,89,92,51,83,239,33,912
CED497,0,4,0,0,0,0,0,3,0,7
CED501,6315,8743,14749,8085,9548,6625,6868,7924,1063,69920
CED502,6492,8470,13185,6511,9234,6077,7261,7429,1045,65704
CED503,7489,11804,13286,7337,12044,7168,5039,7298,1020,72485
CED504,11059,28078,5840,5719,8846,5488,1363,3243,849,70485
CED505,11794,11799,17283,6899,9890,4792,11078,10411,1536,85482
CED506,7904,9087,12883,5794,7653,6102,6054,9005,879,65361
CED507,8605,17186,12094,6822,10996,6231,4394,6257,1085,73670
CED508,6834,10289,13283,6911,12134,6682,7526,7716,1187,72562
CED509,9407,16144,13332,7771,12562,7814,3476,5855,956,77317
CED510,13554,8960,11829,6157,7605,5010,7986,8774,1091,70966
CED511,8971,10634,13284,7219,10970,6490,6186,7388,1010,72152
CED512,8757,19510,11127,7378,11616,6321,4319,6302,1116,76446
CED513,8121,17266,10045,6418,10754,6398,3753,6251,1097,70103
CED514,8547,19882,11357,7636,12008,6483,5174,7146,1220,79453
CED515,9769,19989,9110,6480,12073,6763,3005,4676,980,72845
CED594,178,462,535,233,240,150,333,417,49,2597
CED597,6,52,77,15,5,0,40,132,4,331
CED601,5145,8145,6519,4969,5815,4779,3152,4915,609,44048
CED602,5056,5592,6806,4480,4771,3944,3844,5957,645,41095
CED603,5140,12422,5698,5347,7125,4399,1840,3751,648,46370
CED604,5711,9196,6467,4714,7375,4338,2000,4059,647,44507
CED605,5901,4722,6688,4675,4937,3673,3714,5879,711,40900
CED694,14,58,51,27,28,15,28,74,6,301
CED697,3,9,28,8,0,4,0,19,3,74
CED701,5148,8552,6624,5832,5728,2577,2940,5649,1465,44515
CED702,6759,11114,8362,7368,8825,4091,3070,3818,922,54329
CED794,41,107,98,96,44,27,51,102,12,578
CED797,0,20,9,8,18,3,0,18,6,82
CED801,14736,26383,9733,8437,18368,6502,2465,4353,1877,92854
CED802,16314,31644,10157,9768,19115,6842,2204,4903,1945,102892
CED894,30,85,26,45,32,17,11,19,3,268
CED897,0,0,0,0,0,3,0,0,0,3
CED994,3,3,3,0,11,0,0,3,0,23
CED997,0,0,0,0,0,0,0,0,0,0
