region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
CED231,18910,37160,63,368,773,3513,94,428,7264,26545,8194,30854,358,1467,1102,3659,1528,4809,2988,9935,11182,40789,36,163,332,1164,97,343,1896,4974,2361,6644,201,657,919,2004,1801,3795,2921,6456,5282,13100,2402,5065,37776,96114
CED232,18453,36210,119,730,925,4371,92,381,7719,28664,8855,34146,515,2084,1303,4413,1558,4782,3376,11279,12231,45425,15,64,201,658,62,197,1380,3190,1658,4109,151,454,713,1541,1474,3012,2338,5007,3996,9116,1308,2749,35988,93500
CED233,12115,24191,233,1254,1910,8596,275,1218,7840,30498,10258,41566,1421,6018,2226,7911,4200,13488,7847,27417,18105,68983,44,197,339,1145,81,295,1052,2713,1516,4350,272,884,579,1369,1818,3952,2669,6205,4185,10555,498,1056,34903,104785
CED234,14572,28880,300,1697,1687,8097,449,2071,7504,30562,9940,42427,627,2573,1114,3527,2342,7236,4083,13336,14023,55763,89,425,429,1546,209,733,2541,7136,3268,9840,159,509,479,1027,1544,3245,2182,4781,5450,14621,408,830,34453,100094
CED235,11090,22414,339,1962,1948,9130,518,2415,8354,32964,11159,46471,1337,5692,1500,5374,4955,16375,7792,27441,18951,73912,83,393,420,1535,223,789,1914,5284,2640,8001,330,1093,568,1349,2486,5663,3384,8105,6024,16106,591,1287,36656,113719
CED236,14588,28766,290,1555,1667,7720,357,1647,7360,29891,9674,40813,578,2319,1187,3720,2239,6910,4004,12949,13678,53762,61,257,397,1426,162,571,2152,5766,2772,8020,158,481,533,1116,1535,3173,2226,4770,4998,12790,409,843,33673,96161
CED237,14158,28308,267,1567,1442,6778,324,1546,9565,36725,11598,46616,908,3969,1326,4667,3224,10640,5458,19276,17056,65892,59,292,325,1168,144,522,1660,4316,2188,6298,239,788,623,1397,2756,6005,3618,8190,5806,14488,1070,2259,38090,110947
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,12988,25822,317,1856,1501,7132,652,3087,8666,34373,11136,46448,712,2962,1031,3426,2776,8714,4519,15102,15655,61550,118,582,488,1820,318,1179,3415,9692,4339,13273,176,569,451,972,1956,4213,2583,5754,6922,19027,563,1180,36128,107579
