region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED311,14585,108,89,900,25,15707,16838,168,222,169,14,17411,5041,341,951,9,3,6345,1228,124,319,8,0,1679,3143,68,213,92,12,3528,137,37,109,3,0,286,2446,118,250,266,11,3091,597,21,38,57,0,713,12592,709,1880,435,26,15642,405,3,8,42,3,461,1179,30,87,142,4,1442,45599,1018,2286,1688,72,50663
CED312,10240,531,76,191,3,11041,18901,987,107,12,4,20011,7528,2137,350,3,3,10021,1266,205,195,0,0,1666,2340,566,94,14,4,3018,55,51,12,0,0,118,257,129,15,164,0,565,154,50,14,7,0,225,11600,3138,680,188,7,15613,198,73,14,3,0,288,794,118,45,26,0,983,41733,4847,922,420,14,47936
CED313,9543,713,2019,37,3,12315,12220,1425,3031,14,3,16693,5337,2652,7689,31,12,15721,795,584,1709,0,0,3088,2364,764,2823,19,10,5980,75,31,175,0,0,281,129,52,194,4,3,382,148,38,122,0,0,308,8848,4121,12712,54,25,25760,103,17,101,0,0,221,605,117,414,9,0,1145,31319,6393,18277,114,31,56134
CED314,14907,410,860,84,8,16269,16372,346,446,19,7,17190,6147,821,2277,9,7,9261,728,168,496,0,0,1392,2873,236,572,23,8,3712,117,37,142,0,0,296,540,22,88,46,0,696,236,24,63,3,0,326,10641,1308,3638,81,15,15683,296,75,160,0,3,534,862,51,199,20,3,1135,43078,2190,5303,204,36,50811
CED315,9831,424,793,316,8,11372,16914,542,878,37,10,18381,6821,1485,3287,8,12,11613,1733,288,908,4,3,2936,2783,348,835,26,3,3995,160,33,139,4,0,336,1286,52,212,61,9,1620,178,27,61,14,0,280,12961,2233,5442,117,27,20780,380,20,82,11,0,493,858,117,283,28,3,1289,40944,3336,7478,509,48,52315
CED316,17381,805,465,721,4,19376,13465,166,257,60,0,13948,6730,659,1606,13,5,9013,743,279,670,10,0,1702,3103,271,473,49,3,3899,112,58,101,0,0,271,402,96,129,233,5,865,262,45,59,15,0,381,11352,1408,3038,320,13,16131,522,299,35,12,3,871,1001,152,186,57,0,1396,43721,2830,3981,1170,20,51722
CED317,17469,112,230,825,41,18677,14650,110,170,157,11,15098,4135,354,1387,50,5,5931,1957,207,568,16,0,2748,3981,160,617,113,3,4874,417,46,115,4,0,582,1717,96,283,312,13,2421,784,23,60,68,7,942,12991,886,3030,563,28,17498,407,19,17,38,6,487,1446,57,206,200,10,1919,46963,1184,3653,1783,96,53679
CED318,10343,690,994,414,27,12468,15162,928,1542,75,22,17729,5660,1403,5369,32,15,12479,2605,372,966,9,5,3957,2866,518,1406,66,15,4871,1071,71,261,23,5,1431,1056,210,552,164,11,1993,301,66,133,21,0,521,13559,2640,8687,315,51,25252,259,74,65,27,3,428,861,180,404,62,3,1510,40184,4512,11692,893,106,57387
CED319,15072,831,805,99,0,16807,16526,1158,1136,10,7,18837,5639,1699,3262,10,13,10623,1253,606,1008,0,0,2867,2523,580,924,18,0,4045,98,50,137,3,0,288,267,96,94,90,0,547,175,37,51,0,0,263,9955,3068,5476,121,13,18633,174,95,155,0,0,424,955,182,241,18,0,1396,42682,5334,7813,248,20,56097
CED320,12549,596,329,409,7,13890,17677,382,195,26,5,18285,8328,1019,850,42,5,10244,728,208,339,3,0,1278,2262,315,213,29,5,2824,68,73,46,3,0,190,249,66,36,112,0,463,203,41,37,4,0,285,11838,1722,1521,193,10,15284,180,185,38,6,0,409,858,117,82,34,0,1091,43102,3002,2165,668,22,48959
CED321,19429,181,189,419,58,20276,14736,95,101,121,22,15075,5272,247,988,21,6,6534,1001,89,443,3,3,1539,4030,64,246,52,15,4407,177,25,138,0,0,340,2134,73,171,137,22,2537,991,18,39,33,13,1094,13605,516,2025,246,59,16451,538,35,35,20,3,631,1383,37,104,109,0,1633,49691,864,2454,915,142,54066
CED322,10983,2171,2035,169,12,15370,13691,2664,1457,21,6,17839,4354,2895,3391,24,16,10680,381,302,399,0,0,1082,1893,1523,1411,31,11,4869,34,58,54,0,0,146,129,207,168,25,0,529,139,81,89,6,5,320,6930,5066,5512,86,32,17626,199,96,71,7,3,376,612,242,308,21,3,1186,32415,10239,9383,304,56,52397
CED323,8879,2353,3750,325,9,15316,11299,2522,2987,6,13,16827,3334,3257,7373,11,18,13993,502,312,597,0,3,1414,1734,1534,2770,21,10,6069,26,103,194,3,0,326,123,191,348,301,7,970,140,104,190,8,0,442,5859,5501,11472,344,38,23214,113,233,277,6,0,629,630,392,764,26,9,1821,26780,11001,19250,707,69,57807
CED324,14623,761,423,30,4,15841,14488,1400,651,10,0,16549,5280,2173,1700,14,6,9173,899,269,578,0,4,1750,2970,918,649,13,6,4556,162,122,71,0,0,355,246,171,82,86,0,585,188,54,36,3,0,281,9745,3707,3116,116,16,16700,170,92,112,0,0,374,844,165,180,18,0,1207,39870,6125,4482,174,20,50671
CED325,9731,473,177,167,5,10553,18242,578,71,7,3,18901,8107,1029,275,3,0,9414,2248,268,168,5,0,2689,2316,340,81,5,7,2749,88,71,20,0,4,183,516,59,19,163,0,757,176,25,12,3,0,216,13451,1792,575,179,11,16008,145,240,29,3,0,417,790,115,46,19,0,970,42359,3198,898,375,19,46849
CED326,12499,1118,827,185,7,14636,16497,675,506,13,0,17691,7417,1605,1501,18,3,10544,1184,295,751,0,0,2230,2362,563,431,18,3,3377,62,101,95,0,0,258,337,130,41,340,0,848,172,55,34,15,0,276,11534,2749,2853,391,6,17533,211,442,148,3,0,804,753,162,169,73,0,1157,41494,5146,4503,665,13,51821
CED327,11004,559,191,47,0,11801,20889,1290,279,4,8,22470,8108,2265,832,3,7,11215,1942,287,377,0,0,2606,2679,803,201,18,0,3701,71,120,59,3,0,253,236,170,49,51,0,506,158,68,12,3,0,241,13194,3713,1530,78,7,18522,175,60,38,3,0,276,1002,180,107,36,0,1325,46264,5802,2145,168,15,54394
CED328,13795,1004,1610,4,0,16413,15880,839,1534,5,3,18261,4423,949,4750,9,12,10143,543,20,277,0,0,840,1947,412,1518,13,3,3893,52,40,63,0,0,155,540,71,127,0,0,738,123,21,93,0,0,237,7628,1513,6828,22,15,16006,134,145,102,0,0,381,477,76,174,0,3,730,37914,3577,10248,31,21,51791
CED329,17919,657,513,442,9,19540,15474,283,321,128,9,16215,5526,635,1172,48,4,7385,587,148,457,5,4,1201,3248,278,510,101,6,4143,280,25,100,3,0,408,372,48,81,151,5,657,357,15,65,28,0,465,10370,1149,2385,336,19,14259,227,174,55,21,0,477,1054,103,193,57,15,1422,45044,2366,3467,984,52,51913
CED330,13272,132,84,157,7,13652,21008,92,57,43,11,21211,4396,178,338,13,0,4925,192,43,86,4,0,325,2579,66,124,46,0,2815,61,17,35,0,0,113,422,8,24,134,0,588,340,9,16,19,0,384,7990,321,623,216,0,9150,249,21,12,6,0,288,964,25,53,47,3,1092,43483,591,829,469,21,45393
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,13341,2338,1560,17,5,17261,12176,2802,1771,10,15,16774,3373,2818,4248,16,7,10462,1079,2098,1227,3,0,4407,2902,1720,2264,32,5,6923,254,374,611,3,0,1242,332,162,308,9,3,814,178,109,113,0,0,400,8118,7281,8771,63,15,24248,203,218,232,0,0,653,813,347,391,3,4,1558,34651,12986,12725,93,39,60494
CED402,19704,467,344,282,13,20810,18544,264,172,53,15,19048,4287,587,997,10,0,5881,1952,719,370,0,0,3041,3478,189,311,47,9,4034,269,90,181,0,0,540,1144,54,108,93,6,1405,534,24,40,12,0,610,11664,1663,2007,162,15,15511,691,126,105,8,8,938,1275,130,140,52,5,1602,51878,2650,2768,557,56,57909
CED403,16925,1601,955,66,0,19547,16439,1370,829,11,3,18652,2577,918,1300,7,0,4802,755,922,698,0,0,2375,2317,606,905,8,0,3836,144,208,236,0,0,588,161,48,70,59,0,338,139,38,64,4,3,248,6093,2740,3273,78,3,12187,238,487,289,0,0,1014,763,216,190,13,0,1182,40458,6414,5536,168,6,52582
CED404,19344,690,197,333,28,20592,14822,914,84,102,10,15932,3501,859,502,20,3,4885,2702,1734,614,4,0,5054,3469,312,204,75,4,4064,441,81,88,9,0,619,1642,183,180,97,5,2107,526,41,46,20,3,636,12281,3210,1634,225,15,17365,394,86,54,18,4,556,1244,171,113,64,7,1599,48085,5071,2082,742,64,56044
CED405,16519,2161,1753,23,5,20461,12261,2200,1766,7,0,16234,2808,1487,3260,12,6,7573,753,1712,1155,0,0,3620,2771,989,2058,18,6,5842,138,268,319,0,0,725,195,84,230,10,3,522,167,69,122,3,0,361,6832,4609,7144,43,15,18643,284,368,320,0,0,972,899,339,510,4,0,1752,36795,9677,11493,77,20,58062
CED406,14950,596,364,174,6,16090,24341,451,371,12,12,25187,4767,404,458,4,0,5633,1799,771,479,0,0,3049,3266,216,275,9,3,3769,342,142,60,0,5,549,254,35,26,52,0,367,162,26,22,0,0,210,10590,1594,1320,65,8,13577,374,330,83,4,0,791,937,148,78,4,0,1167,51192,3119,2216,259,26,56812
CED407,15432,853,288,0,0,16573,20677,598,326,0,5,21606,2792,571,348,0,0,3711,1523,383,343,0,5,2254,2417,255,201,0,0,2873,158,123,69,3,0,353,292,43,27,0,0,362,136,48,17,3,0,204,7318,1423,1005,6,5,9757,228,634,94,3,0,959,825,149,78,0,0,1052,44480,3657,1791,9,10,49947
