region_id,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED329,697,630,1327,4543,4277,8820,735,725,1460,887,759,1646,6165,5761,11926,2889,2784,5673,680,701,1381,642,678,1320,4211,4163,8374,130,143,273,78,219,297,323,263,586,315,723,1038,6,11,17,852,1359,2211,180,396,576,112,326,438,52,112,164,246,674,920,9,7,16,599,1515,2114,86,107,193,166,407,573,5,6,11,257,520,777,5323,4764,10087,18104,18712,36816
CED330,882,751,1633,5213,4783,9996,1098,1077,2175,1116,1058,2174,7427,6918,14345,3235,3142,6377,554,621,1175,1105,1087,2192,4894,4850,9744,144,189,333,58,152,210,352,242,594,307,679,986,13,13,26,874,1275,2149,591,1254,1845,187,421,608,82,170,252,269,678,947,4,15,19,1133,2538,3671,90,116,206,162,409,571,7,9,16,259,534,793,4669,4215,8884,20138,21081,41219
CED394,16,25,41,122,126,248,10,17,27,25,29,54,157,172,329,51,48,99,4,11,15,10,16,26,65,75,140,7,21,28,16,16,32,20,13,33,23,26,49,0,0,0,66,76,142,43,72,115,37,34,71,11,11,22,19,42,61,0,6,6,110,165,275,24,20,44,15,28,43,0,0,0,39,48,87,1297,650,1947,1750,1211,2961
CED397,0,0,0,5,0,5,3,0,3,0,0,0,8,0,8,4,7,11,3,3,6,0,0,0,7,10,17,0,0,0,3,0,3,0,0,0,0,4,4,0,0,0,3,4,7,3,3,6,0,0,0,3,0,3,0,0,0,0,0,0,6,3,9,3,0,3,0,0,0,0,0,0,3,0,3,53,35,88,80,52,132
CED401,839,884,1723,2702,2609,5311,1274,1309,2583,1193,1124,2317,5169,5042,10211,1408,1262,2670,874,1034,1908,1260,1181,2441,3542,3477,7019,430,392,822,419,510,929,266,197,463,570,720,1290,13,12,25,1698,1831,3529,4212,4820,9032,1648,1528,3176,244,316,560,1008,1373,2381,35,33,68,7147,8070,15217,301,320,621,304,486,790,21,17,38,626,823,1449,5744,4824,10568,24765,24951,49716
CED402,1059,947,2006,5342,5102,10444,891,819,1710,1029,1011,2040,7262,6932,14194,3440,3369,6809,337,364,701,610,653,1263,4387,4386,8773,140,194,334,94,265,359,519,387,906,512,975,1487,18,22,40,1283,1843,3126,152,335,487,76,240,316,51,107,158,221,550,771,4,6,10,504,1238,1742,83,113,196,193,334,527,8,11,19,284,458,742,5262,4501,9763,20041,20305,40346
CED403,885,819,1704,3563,3355,6918,995,939,1934,1060,975,2035,5618,5269,10887,1916,1884,3800,875,832,1707,1161,1104,2265,3952,3820,7772,275,235,510,154,207,361,334,214,548,477,679,1156,18,6,24,1258,1341,2599,2015,2697,4712,875,1022,1897,162,276,438,738,1090,1828,20,22,42,3810,5107,8917,124,135,259,256,444,700,8,12,20,388,591,979,3063,3256,6319,18974,20203,39177
CED404,1010,979,1989,5229,4766,9995,1097,1099,2196,462,534,996,6788,6399,13187,3049,2935,5984,764,785,1549,273,321,594,4086,4041,8127,169,188,357,73,241,314,368,323,691,353,805,1158,16,23,39,979,1580,2559,75,198,273,37,151,188,50,91,141,246,492,738,8,6,14,416,938,1354,76,92,168,125,335,460,9,14,23,210,441,651,6065,5090,11155,19554,19468,39022
CED405,732,708,1440,2655,2382,5037,1456,1465,2921,729,678,1407,4840,4525,9365,1572,1441,3013,1065,1148,2213,673,741,1414,3310,3330,6640,301,272,573,225,319,544,382,247,629,494,731,1225,27,13,40,1429,1582,3011,1801,2358,4159,701,794,1495,185,255,440,614,883,1497,21,24,45,3322,4314,7636,186,177,363,291,457,748,10,16,26,487,650,1137,3939,4154,8093,18059,19263,37322
CED406,1080,974,2054,5009,4700,9709,983,956,1939,1046,1057,2103,7038,6713,13751,3019,2942,5961,629,643,1272,879,882,1761,4527,4467,8994,290,296,586,142,311,453,500,334,834,595,864,1459,23,22,45,1550,1827,3377,725,1107,1832,253,517,770,90,198,288,407,830,1237,10,11,21,1485,2663,4148,82,129,211,254,494,748,11,6,17,347,629,976,4068,4091,8159,20095,21364,41459
