region_id,Sme_Usl_ad_1_yr_ago_as_2011_M,Sme_Usl_ad_1_yr_ago_as_2011_F,Sme_Usl_ad_1_yr_ago_as_2011_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED111,52358,54971,107329,3315,3733,7048,4679,5131,9810,172,180,352,636,673,1309,38,45,83,83,71,154,29,37,66,50,58,108,57,57,114,0,0,0,5744,6252,11996,314,362,676,172,160,332,9545,10507,20052,3263,2696,5959,65166,68174,133340
CED112,58082,59767,117849,2452,2551,5003,5594,5774,11368,102,100,202,191,184,375,29,42,71,58,58,116,16,14,30,23,26,49,78,83,161,0,0,0,6091,6281,12372,1001,965,1966,88,75,163,9632,9872,19504,3040,2684,5724,70754,72323,143077
CED113,54051,57864,111915,2019,2331,4350,5961,6447,12408,67,78,145,211,211,422,17,28,45,46,53,99,14,18,32,15,14,29,25,20,45,0,0,0,6356,6869,13225,280,285,565,181,179,360,8836,9664,18500,2950,2948,5898,65837,70476,136313
CED114,53371,54161,107532,3010,3262,6272,3814,3934,7748,382,376,758,363,364,727,62,71,133,107,90,197,30,26,56,56,64,120,1104,1187,2291,4,0,4,5922,6112,12034,413,444,857,112,98,210,9457,9916,19373,3823,3140,6963,66651,67217,133868
CED115,54069,55017,109086,2835,3273,6108,2853,3076,5929,1594,1809,3403,295,317,612,198,188,386,69,71,140,35,45,80,87,80,167,51,59,110,0,0,0,5182,5645,10827,311,360,671,142,111,253,8470,9389,17859,3490,3022,6512,66029,67428,133457
CED116,61603,64013,125616,1505,1576,3081,4397,4649,9046,63,71,134,71,62,133,15,14,29,17,22,39,4,8,12,7,6,13,10,11,21,0,0,0,4584,4843,9427,674,803,1477,138,123,261,6901,7345,14246,3727,3555,7282,72231,74913,147144
CED117,52594,54732,107326,2995,3339,6334,4496,4780,9276,111,124,235,292,306,598,22,29,51,77,65,142,20,19,39,34,30,64,168,183,351,5,3,8,5225,5539,10764,264,300,564,109,80,189,8593,9258,17851,3669,2978,6647,64856,66968,131824
CED118,54802,57688,112490,1711,1790,3501,7388,8208,15596,208,211,419,185,205,390,67,56,123,64,72,136,17,36,53,25,31,56,94,88,182,0,0,0,8048,8907,16955,1277,1566,2843,124,108,232,11160,12371,23531,4876,4202,9078,70838,74261,145099
CED119,62652,63702,126354,1782,1720,3502,6802,6647,13449,85,78,163,139,146,285,44,36,80,27,30,57,7,11,18,16,11,27,30,26,56,6,0,6,7156,6985,14141,898,1083,1981,85,74,159,9921,9862,19783,3383,2558,5941,75956,76122,152078
CED120,59050,60378,119428,1863,1901,3764,4580,4581,9161,145,79,224,207,188,395,25,23,48,39,28,67,7,7,14,46,24,70,45,35,80,0,0,0,5094,4965,10059,554,629,1183,57,64,121,7568,7559,15127,2645,2587,5232,69263,70524,139787
CED121,56611,57467,114078,3035,3309,6344,3719,3915,7634,88,90,178,234,270,504,22,35,57,54,52,106,29,28,57,34,31,65,643,678,1321,4,4,8,4827,5103,9930,208,225,433,105,98,203,8175,8735,16910,3704,2821,6525,68490,69023,137513
CED122,54425,55282,109707,3492,3779,7271,4808,4961,9769,151,123,274,615,509,1124,62,52,114,176,166,342,34,21,55,79,61,140,35,30,65,0,0,0,5960,5923,11883,338,303,641,135,119,254,9925,10124,20049,3857,2785,6642,68207,68191,136398
CED123,57379,60539,117918,2469,2601,5070,6640,6976,13616,218,233,451,241,309,550,45,58,103,86,85,171,13,26,39,31,33,64,126,122,248,0,5,5,7400,7847,15247,2494,2545,5039,121,114,235,12484,13107,25591,6801,5200,12001,76664,78846,155510
CED124,60035,62230,122265,1874,1939,3813,5751,6250,12001,78,92,170,143,155,298,24,23,47,41,33,74,12,12,24,15,10,25,26,37,63,0,0,0,6090,6612,12702,356,425,781,109,91,200,8429,9067,17496,3732,3258,6990,72196,74555,146751
CED125,49297,52598,101895,3359,3666,7025,4531,4968,9499,119,138,257,438,414,852,31,42,73,68,63,131,29,37,66,38,38,76,46,53,99,0,0,0,5300,5753,11053,197,218,415,114,117,231,8970,9754,18724,2800,2687,5487,61067,65039,126106
CED126,56774,58819,115593,1621,1873,3494,5848,6151,11999,51,35,86,168,197,365,14,14,28,25,28,53,10,7,17,9,7,16,22,15,37,0,0,0,6147,6454,12601,323,336,659,106,92,198,8197,8755,16952,3043,2915,5958,68014,70489,138503
CED127,55851,58703,114554,2206,2259,4465,5356,5523,10879,84,109,193,145,149,294,23,23,46,41,46,87,17,16,33,12,12,24,26,26,52,0,0,0,5704,5904,11608,907,956,1863,155,199,354,8972,9318,18290,2665,2407,5072,67488,70428,137916
CED128,56075,58531,114606,2233,2341,4574,4496,4860,9356,92,81,173,183,173,356,35,27,62,52,54,106,21,15,36,36,21,57,46,39,85,0,0,0,4961,5270,10231,250,310,560,95,86,181,7539,8007,15546,3276,3074,6350,66890,69612,136502
CED129,60715,62268,122983,1370,1431,2801,4463,4540,9003,38,42,80,94,96,190,18,13,31,26,25,51,3,6,9,3,3,6,15,6,21,0,4,4,4660,4735,9395,622,787,1409,102,90,192,6754,7043,13797,2470,2316,4786,69939,71627,141566
CED130,57547,59949,117496,1087,1168,2255,5123,5318,10441,115,142,257,126,124,250,29,31,60,48,57,105,12,12,24,17,9,26,24,24,48,0,0,0,5494,5717,11211,815,857,1672,57,60,117,7453,7802,15255,1765,1762,3527,66765,69513,136278
CED131,56028,58140,114168,4146,4575,8721,4744,5233,9977,100,91,191,720,774,1494,42,39,81,56,39,95,21,38,59,42,50,92,47,37,84,0,0,0,5772,6301,12073,376,400,776,149,130,279,10443,11406,21849,3693,3342,7035,70164,72888,143052
CED132,50387,51993,102380,1782,1838,3620,7205,7447,14652,176,147,323,305,272,577,43,43,86,92,72,164,29,29,58,72,62,134,58,57,115,0,0,0,7980,8129,16109,806,869,1675,154,134,288,10722,10970,21692,3532,2965,6497,64641,65928,130569
CED133,54065,58428,112493,2107,2211,4318,7218,7596,14814,229,247,476,247,257,504,68,73,141,116,122,238,19,31,50,15,16,31,85,63,148,3,0,3,8000,8405,16405,2407,2655,5062,78,90,168,12592,13361,25953,3886,3744,7630,70543,75533,146076
CED134,51898,54810,106708,3599,4019,7618,3923,4308,8231,122,126,248,759,874,1633,31,32,63,57,62,119,34,28,62,42,40,82,33,30,63,0,0,0,5001,5500,10501,233,271,504,171,152,323,9004,9942,18946,3063,2667,5730,63965,67419,131384
CED135,59307,59617,118924,3947,4208,8155,4802,5094,9896,147,129,276,656,651,1307,46,47,93,69,71,140,21,39,60,57,37,94,29,41,70,0,0,0,5827,6109,11936,246,252,498,182,152,334,10202,10721,20923,5021,3887,8908,74530,74225,148755
CED136,62657,63270,125927,2401,2140,4541,7641,7134,14775,178,154,332,179,155,334,65,68,133,60,49,109,13,13,26,5,11,16,54,44,98,5,3,8,8200,7631,15831,2072,2469,4541,127,106,233,12800,12346,25146,5925,4847,10772,81382,80463,161845
CED137,50402,52388,102790,2941,3341,6282,4402,4733,9135,140,147,287,412,388,800,53,54,107,69,73,142,19,22,41,70,64,134,45,57,102,3,3,6,5213,5541,10754,228,262,490,98,78,176,8480,9222,17702,3139,2997,6136,62021,64607,126628
CED138,61835,63542,125377,2943,2763,5706,7270,7143,14413,285,211,496,224,193,417,80,55,135,86,83,169,19,14,33,10,8,18,53,51,104,8,0,8,8035,7758,15793,2189,2424,4613,154,121,275,13321,13066,26387,7161,5075,12236,82317,81683,164000
CED139,51808,54696,106504,2839,3196,6035,3684,4205,7889,313,341,654,1519,1715,3234,47,69,116,87,83,170,50,48,98,51,61,112,32,25,57,0,0,0,5783,6547,12330,498,560,1058,134,130,264,9254,10433,19687,3346,3098,6444,64408,68227,132635
CED140,56945,58169,115114,3678,3875,7553,4592,4922,9514,449,405,854,594,423,1017,98,68,166,89,56,145,43,31,74,98,86,184,129,142,271,4,0,4,6096,6133,12229,432,427,859,143,102,245,10349,10537,20886,4121,2997,7118,71415,71703,143118
CED141,52432,56719,109151,2082,2368,4450,5316,5808,11124,99,103,202,189,226,415,23,19,42,48,57,105,15,21,36,6,22,28,34,27,61,0,0,0,5730,6283,12013,430,450,880,134,146,280,8376,9247,17623,3385,3213,6598,64193,69179,133372
CED142,51824,54795,106619,1778,1982,3760,4803,5122,9925,72,66,138,233,266,499,16,18,34,46,40,86,12,14,26,22,30,52,37,24,61,0,0,0,5241,5580,10821,233,244,477,101,95,196,7353,7901,15254,2281,2260,4541,61458,64956,126414
CED143,56004,52822,108826,3260,3196,6456,10545,10484,21029,505,507,1012,455,513,968,133,140,273,213,233,446,40,33,73,43,42,85,196,187,383,3,0,3,12133,12139,24272,4469,4682,9151,160,173,333,20022,20190,40212,11035,8641,19676,87061,81653,168714
CED144,54472,57376,111848,2208,2352,4560,4320,4751,9071,60,60,120,169,171,340,28,31,59,36,26,62,17,12,29,19,20,39,39,55,94,0,0,0,4688,5126,9814,232,290,522,115,111,226,7243,7879,15122,2483,2428,4911,64198,67683,131881
CED145,53373,57682,111055,2823,2974,5797,6425,7036,13461,240,224,464,216,223,439,31,30,61,85,88,173,16,26,42,10,19,29,50,57,107,5,0,5,7078,7703,14781,2121,2362,4483,89,96,185,12111,13135,25246,4247,4088,8335,69731,74905,144636
CED146,65190,66153,131343,2221,1984,4205,5468,5185,10653,77,80,157,83,76,159,38,22,60,28,19,47,7,5,12,20,6,26,17,22,39,3,4,7,5741,5419,11160,1428,1628,3056,98,92,190,9488,9123,18611,4957,4396,9353,79635,79672,159307
CED147,52906,55080,107986,2447,2511,4958,7866,8485,16351,453,408,861,316,366,682,81,77,158,129,147,276,20,10,30,31,17,48,130,120,250,11,7,18,9037,9637,18674,2890,2959,5849,110,102,212,14484,15209,29693,9042,8213,17255,76432,78502,154934
CED148,60453,62322,122775,1681,1719,3400,5140,5369,10509,80,74,154,128,129,257,22,17,39,29,22,51,4,6,10,9,7,16,21,21,42,3,0,3,5436,5645,11081,583,724,1307,122,108,230,7822,8196,16018,3557,3746,7303,71832,74264,146096
CED194,1332,812,2144,533,308,841,2325,2136,4461,167,129,296,275,258,533,54,49,103,91,70,161,31,25,56,40,34,74,42,46,88,0,0,0,3025,2747,5772,514,487,1001,88,39,127,4160,3581,7741,2031,878,2909,7523,5271,12794
CED197,45,46,91,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,3,0,3,0,0,0,7,8,15,4,3,7,56,57,113
CED201,56135,58337,114472,697,733,1430,91,84,175,3998,4211,8209,97,97,194,36,39,75,41,35,76,12,10,22,10,11,21,6,10,16,0,0,0,4291,4497,8788,592,649,1241,40,39,79,5620,5918,11538,1554,1470,3024,63309,65725,129034
CED202,54669,57692,112361,2396,2632,5028,172,205,377,6533,7465,13998,231,225,456,71,84,155,94,92,186,48,49,97,51,39,90,28,20,48,0,0,0,7228,8179,15407,311,328,639,99,95,194,10034,11234,21268,3004,2940,5944,67707,71866,139573
CED203,52149,55279,107428,1328,1363,2691,222,308,530,6026,6463,12489,189,211,400,71,76,147,87,98,185,40,46,86,29,41,70,51,68,119,0,0,0,6715,7311,14026,1223,1504,2727,96,100,196,9362,10278,19640,3985,3534,7519,65496,69091,134587
CED204,55114,58107,113221,2127,2421,4548,259,255,514,6003,6651,12654,213,248,461,98,83,181,108,110,218,50,57,107,67,84,151,14,26,40,0,0,0,6812,7514,14326,238,262,500,91,74,165,9268,10271,19539,3345,2857,6202,67727,71235,138962
CED205,54834,55563,110397,1821,1544,3365,191,168,359,5121,4694,9815,124,120,244,64,53,117,97,76,173,27,23,50,20,10,30,14,17,31,12,0,12,5670,5161,10831,1654,1732,3386,130,94,224,9275,8531,17806,2937,2552,5489,67046,66646,133692
CED206,68844,70141,138985,2226,2432,4658,171,166,337,5304,5427,10731,142,146,288,52,51,103,67,65,132,24,17,41,13,14,27,10,8,18,3,5,8,5786,5899,11685,964,1071,2035,106,77,183,9082,9479,18561,3867,3794,7661,81793,83414,165207
CED207,55161,57613,112774,1008,1018,2026,95,102,197,4890,5259,10149,95,114,209,21,27,48,47,39,86,11,16,27,28,18,46,12,7,19,0,0,0,5199,5582,10781,333,333,666,57,62,119,6597,6995,13592,1889,1684,3573,63647,66292,129939
CED208,53198,57087,110285,1597,1528,3125,223,218,441,6450,6317,12767,162,168,330,58,73,131,86,72,158,38,49,87,27,24,51,54,41,95,0,0,0,7098,6962,14060,2287,2539,4826,117,125,242,11099,11154,22253,3101,2594,5695,67398,70835,138233
CED209,56136,58723,114859,2966,3233,6199,185,173,358,5364,5828,11192,249,246,495,73,65,138,104,101,205,28,30,58,56,66,122,36,32,68,0,0,0,6095,6541,12636,431,482,913,76,91,167,9568,10347,19915,2540,2298,4838,68244,71368,139612
CED210,51578,54806,106384,2260,2574,4834,172,180,352,5083,5662,10745,187,200,387,56,66,122,80,71,151,19,25,44,51,32,83,13,12,25,3,0,3,5664,6248,11912,483,486,969,96,72,168,8503,9380,17883,3396,2544,5940,63477,66730,130207
CED211,51004,54768,105772,864,965,1829,116,140,256,5135,5268,10403,124,133,257,53,45,98,50,49,99,18,13,31,12,9,21,20,15,35,3,0,3,5531,5672,11203,918,950,1868,102,128,230,7415,7715,15130,2026,2040,4066,60445,64523,124968
CED212,54566,58176,112742,1958,2164,4122,178,151,329,5687,6077,11764,168,162,330,37,44,81,69,60,129,27,29,56,33,30,63,9,8,17,0,0,0,6208,6561,12769,561,627,1188,97,95,192,8824,9447,18271,3045,3269,6314,66435,70892,137327
CED213,55736,57948,113684,2809,3038,5847,378,258,636,5086,5514,10600,394,283,677,62,53,115,126,103,229,64,49,113,51,38,89,22,16,38,0,0,0,6183,6314,12497,292,323,615,103,80,183,9387,9755,19142,3301,3268,6569,68424,70971,139395
CED214,57351,58487,115838,1993,1938,3931,290,287,577,6725,6367,13092,243,230,473,85,74,159,110,116,226,35,39,74,33,29,62,62,45,107,9,0,9,7592,7187,14779,1307,1437,2744,131,106,237,11023,10668,21691,5062,3998,9060,73436,73153,146589
CED215,54580,56379,110959,3688,4204,7892,267,285,552,3851,4222,8073,246,263,509,53,50,103,138,121,259,41,41,82,83,71,154,37,30,67,3,0,3,4719,5083,9802,313,329,642,100,99,199,8820,9715,18535,4022,2931,6953,67422,69025,136447
CED216,52922,57487,110409,1390,1484,2874,236,265,501,5067,5475,10542,139,168,307,49,45,94,69,71,140,28,30,58,11,16,27,33,27,60,0,0,0,5632,6097,11729,1307,1389,2696,70,66,136,8399,9036,17435,2674,2715,5389,63995,69238,133233
CED217,77668,78947,156615,1809,1761,3570,160,150,310,6545,6543,13088,154,156,310,54,50,104,67,55,122,26,23,49,26,24,50,12,18,30,7,0,7,7051,7019,14070,1129,1267,2396,111,79,190,10100,10126,20226,5244,4598,9842,93012,93671,186683
CED218,48488,52347,100835,1375,1466,2841,418,469,887,6615,7183,13798,298,351,649,93,121,214,158,188,346,62,49,111,14,19,33,57,73,130,3,0,3,7718,8453,16171,1726,1977,3703,63,73,136,10882,11969,22851,3752,3367,7119,63122,67683,130805
CED219,77793,78318,156111,1814,1903,3717,177,194,371,8421,8490,16911,184,183,367,52,38,90,75,63,138,26,38,64,19,12,31,22,26,48,10,4,14,8986,9048,18034,1179,1376,2555,149,134,283,12128,12461,24589,3386,3190,6576,93307,93969,187276
CED220,54620,56499,111119,1300,1269,2569,129,114,243,5191,5013,10204,137,127,264,38,32,70,51,35,86,14,23,37,10,4,14,31,23,54,0,0,0,5601,5371,10972,1004,1188,2192,87,78,165,7992,7906,15898,2667,2345,5012,65279,66750,132029
CED221,51360,53052,104412,3061,3299,6360,922,908,1830,3416,3754,7170,438,388,826,112,107,219,119,98,217,42,45,87,82,85,167,42,39,81,0,0,0,5173,5424,10597,304,306,610,87,72,159,8625,9101,17726,2480,2091,4571,62465,64244,126709
CED222,62280,65323,127603,1711,1800,3511,141,144,285,6384,6640,13024,177,174,351,52,51,103,89,69,158,24,21,45,24,22,46,24,24,48,3,0,3,6918,7145,14063,875,976,1851,119,96,215,9623,10017,19640,3379,3209,6588,75282,78549,153831
CED223,52848,56342,109190,1082,1117,2199,207,167,374,4502,4840,9342,191,156,347,41,37,78,78,74,152,20,19,39,32,31,63,29,34,63,0,0,0,5100,5358,10458,726,798,1524,82,96,178,6990,7369,14359,2193,2157,4350,62031,65868,127899
CED224,49752,54279,104031,1300,1411,2711,303,308,611,5624,6047,11671,220,242,462,90,90,180,82,86,168,41,52,93,14,23,37,34,56,90,0,3,3,6408,6907,13315,1437,1720,3157,64,77,141,9209,10115,19324,2588,2367,4955,61549,66761,128310
CED225,60267,62071,122338,1541,1684,3225,110,139,249,5425,5737,11162,157,146,303,37,39,76,69,52,121,25,30,55,22,17,39,5,16,21,0,0,0,5850,6176,12026,526,578,1104,73,63,136,7990,8501,16491,2743,2492,5235,71000,73064,144064
CED226,81958,82889,164847,3405,3662,7067,448,450,898,12123,12366,24489,420,443,863,106,111,217,126,108,234,57,61,118,59,48,107,51,51,102,0,0,0,13390,13638,27028,1583,1869,3452,147,156,303,18525,19325,37850,5997,4931,10928,106480,107145,213625
CED227,51692,52786,104478,3418,3748,7166,429,455,884,2916,3033,5949,207,227,434,301,358,659,84,80,164,36,47,83,65,76,141,12,16,28,3,0,3,4053,4292,8345,382,329,711,108,89,197,7961,8458,16419,2970,2761,5731,62623,64005,126628
CED228,51451,53880,105331,1372,1392,2764,142,162,304,4766,4760,9526,145,152,297,55,52,107,68,69,137,24,26,50,21,21,42,27,26,53,12,8,20,5260,5276,10536,869,996,1865,88,77,165,7589,7741,15330,3531,3298,6829,62571,64919,127490
CED229,72976,73813,146789,3300,3540,6840,270,218,488,7739,8036,15775,308,255,563,70,79,149,86,85,171,32,38,70,92,88,180,53,44,97,0,0,0,8650,8843,17493,488,528,1016,101,102,203,12539,13013,25552,3491,3287,6778,89006,90113,179119
CED230,53970,56234,110204,3375,3737,7112,151,163,314,5772,6213,11985,226,216,442,50,39,89,101,103,204,48,49,97,35,29,64,7,14,21,0,0,0,6390,6826,13216,270,274,544,105,82,187,10140,10919,21059,2620,2503,5123,66730,69656,136386
CED231,56615,59372,115987,2666,2904,5570,738,834,1572,11056,11979,23035,524,642,1166,212,261,473,364,416,780,133,149,282,67,71,138,172,217,389,0,0,0,13266,14569,27835,4723,5120,9843,164,189,353,20819,22782,43601,8747,7273,16020,86181,89427,175608
CED232,52666,54752,107418,2163,2323,4486,679,676,1355,8556,9077,17633,437,497,934,151,163,314,241,286,527,80,78,158,43,39,82,86,92,178,0,0,0,10273,10908,21181,2993,3218,6211,137,114,251,15566,16563,32129,6355,5396,11751,74587,76711,151298
CED233,51507,54439,105946,746,799,1545,102,110,212,3789,4029,7818,94,97,191,38,45,83,28,39,67,19,22,41,6,8,14,18,10,28,0,0,0,4094,4360,8454,789,832,1621,41,47,88,5670,6038,11708,1715,1754,3469,58892,62231,121123
CED234,52262,53325,105587,3195,3380,6575,484,553,1037,3444,3675,7119,237,257,494,65,62,127,102,106,208,33,38,71,30,32,62,18,17,35,0,0,0,4413,4740,9153,328,345,673,114,82,196,8050,8547,16597,3342,2997,6339,63654,64869,128523
CED235,55111,56563,111674,1040,1023,2063,119,136,255,4637,4670,9307,97,90,187,26,38,64,45,39,84,16,20,36,17,16,33,12,11,23,5,0,5,4974,5020,9994,666,803,1469,62,59,121,6742,6905,13647,2738,2473,5211,64591,65941,130532
CED236,51537,52726,104263,2979,3196,6175,143,149,292,3454,3709,7163,238,247,485,165,186,351,104,92,196,45,47,92,37,32,69,6,4,10,3,0,3,4195,4466,8661,302,291,593,89,115,204,7565,8068,15633,3093,2477,5570,62195,63271,125466
CED237,57909,60993,118902,1685,1594,3279,283,296,579,6576,6707,13283,230,252,482,93,95,188,125,127,252,46,45,91,23,31,54,51,69,120,0,0,0,7427,7622,15049,1433,1581,3014,125,114,239,10670,10911,21581,4199,3591,7790,72778,75495,148273
CED294,759,517,1276,356,233,589,123,110,233,1422,1349,2771,112,114,226,42,41,83,88,66,154,17,22,39,23,23,46,14,4,18,0,0,0,1841,1729,3570,388,412,800,50,32,82,2635,2406,5041,1218,660,1878,4612,3583,8195
CED297,23,0,23,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4,0,0,0,9,0,9,4,0,4,36,0,36
