region_id,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_199_cpl_fam_no_child,FI_1_199_cpl_fam_with_child,FI_1_199_One_parent_fam,FI_1_199_Other_fam,FI_1_199_Tot,FI_200_299_cpl_fam_no_child,FI_200_299_cpl_fam_with_child,FI_200_299_One_parent_fam,FI_200_299_Other_fam,FI_200_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_599_cpl_fam_no_child,FI_400_599_cpl_fam_with_child,FI_400_599_One_parent_fam,FI_400_599_Other_fam,FI_400_599_Tot,FI_600_799_cpl_fam_no_child,FI_600_799_cpl_fam_with_child,FI_600_799_One_parent_fam,FI_600_799_Other_fam,FI_600_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_with_child,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1999_cpl_fam_no_child,FI_1500_1999_cpl_fam_wth_chld,FI_1500_1999_One_parent_fam,FI_1500_1999_Other_fam,FI_1500_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cple_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cple_fam_no_child,All_inc_ns_cple_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cple_fam_no_child,Tot_cple_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
CED142,121,40,44,7,212,234,51,90,10,385,57,13,220,6,296,129,39,410,20,598,2951,226,1105,33,4315,1969,512,1140,94,3715,1721,668,764,74,3227,1031,1091,657,77,2856,982,1205,470,39,2696,1379,2447,517,45,4388,1114,2038,200,25,3377,644,1670,143,11,2468,571,1221,42,3,1837,173,531,10,3,717,222,651,17,3,893,803,1863,631,28,3325,321,228,216,11,776,14422,14494,6676,489,36081
CED143,368,58,147,165,738,196,36,114,63,409,63,28,164,34,289,123,60,237,40,460,900,145,474,111,1630,724,280,508,164,1676,856,304,375,137,1672,830,416,351,163,1760,1007,440,275,105,1827,1923,871,364,185,3343,2630,825,155,175,3785,2232,1545,400,105,4282,2518,1202,94,80,3894,1550,721,48,38,2357,3189,1773,21,57,5040,1548,1063,381,49,3041,197,91,111,22,421,20854,9858,4219,1693,36624
CED144,159,58,58,4,279,280,58,128,10,476,65,38,235,5,343,119,59,509,22,709,2895,260,1250,56,4461,1751,608,1139,82,3580,1614,871,777,70,3332,1017,1405,680,55,3157,1016,1512,432,34,2994,1481,2804,483,56,4824,1157,2206,189,25,3577,594,1598,119,10,2321,450,1015,52,8,1525,118,440,12,3,573,211,475,10,5,701,794,1975,634,30,3433,387,221,224,24,856,14108,15603,6931,499,37141
CED145,144,92,71,6,313,121,55,78,10,264,30,27,85,5,147,69,31,132,6,238,670,115,383,31,1199,670,220,424,49,1363,978,360,365,52,1755,740,503,439,55,1737,959,632,343,58,1992,1565,1467,539,77,3648,1841,1425,245,96,3607,1615,3709,527,45,5896,1741,2312,103,37,4193,988,1309,53,20,2370,2173,3272,37,26,5508,1134,2225,448,22,3829,223,144,78,15,460,15661,17898,4350,610,38519
CED146,405,228,234,41,908,340,251,189,23,803,136,202,299,17,654,240,318,510,29,1097,2323,1223,1035,51,4632,1247,1903,975,142,4267,1100,1876,698,112,3786,828,2112,691,94,3725,731,1815,499,84,3129,1048,2775,591,111,4525,775,2094,310,69,3248,384,1586,202,35,2207,305,1122,82,26,1535,125,572,26,4,727,195,1009,44,12,1260,631,2493,608,44,3776,322,416,248,43,1029,11135,21995,7241,937,41308
CED147,180,86,111,30,407,111,40,78,24,253,27,16,82,10,135,61,35,134,17,247,556,112,328,34,1030,557,176,345,63,1141,763,268,327,68,1426,623,367,402,74,1466,787,440,298,57,1582,1549,980,433,118,3080,2013,1029,166,134,3342,1770,2485,517,46,4818,2024,1690,111,58,3883,1249,1049,51,24,2373,3082,2902,60,62,6106,1354,1770,509,29,3662,293,170,76,15,554,16999,13615,4028,863,35505
CED148,197,124,86,6,413,218,154,157,13,542,63,78,322,8,471,97,129,579,13,818,1457,620,1199,43,3319,917,1190,995,70,3172,841,1283,750,57,2931,730,1903,815,73,3521,758,1939,469,41,3207,1216,3504,672,61,5453,1214,3027,337,59,4637,478,1994,185,25,2682,367,1286,71,4,1728,136,652,41,5,834,120,792,34,4,950,542,2351,643,34,3570,262,323,251,21,857,9613,21349,7606,537,39105
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,228,66,68,9,371,236,71,90,9,406,51,50,118,4,223,85,73,242,14,414,1431,276,520,30,2257,1160,538,622,42,2362,1282,750,505,45,2582,882,1365,537,54,2838,870,1581,395,40,2886,1336,3314,522,75,5247,1274,2674,283,67,4298,790,2524,185,27,3526,583,1741,83,18,2425,212,893,33,4,1142,236,1230,20,12,1498,569,2422,545,10,3546,248,259,117,8,632,11473,19827,4885,468,36653
CED202,125,52,51,4,232,234,51,93,12,390,57,28,232,3,320,139,50,532,12,733,2227,286,1212,59,3784,1757,715,1085,79,3636,1659,992,703,72,3426,1150,1600,698,73,3521,1217,1639,400,51,3307,1719,2822,411,64,5016,1379,2134,150,32,3695,628,1524,90,7,2249,500,889,24,6,1419,159,359,12,0,530,212,433,7,0,652,884,1854,603,14,3355,359,220,201,6,786,14405,15648,6504,494,37051
CED203,247,93,76,22,438,358,115,120,36,629,55,75,198,11,339,136,100,339,33,608,2172,419,671,65,3327,1125,718,779,123,2745,1086,851,600,110,2647,762,1232,616,133,2743,743,1219,392,100,2454,1234,2206,525,115,4080,1452,1815,247,109,3623,748,1700,192,39,2679,690,1345,55,28,2118,326,606,21,10,963,436,804,19,12,1271,713,1612,494,37,2856,333,231,190,31,785,12616,15141,5534,1014,34305
CED204,122,44,57,5,228,278,75,108,16,477,49,28,258,5,340,139,70,486,15,710,2668,314,1274,45,4301,1961,799,1160,102,4022,1983,999,771,94,3847,1255,1602,702,63,3622,1295,1614,383,59,3351,1680,2698,423,44,4845,1285,1941,138,27,3391,541,1229,86,10,1866,422,747,22,5,1196,141,230,5,3,379,192,362,8,0,562,934,1897,575,23,3429,376,204,190,24,794,15321,14853,6646,540,37360
CED205,343,153,164,34,694,329,142,136,28,635,89,113,214,14,430,164,155,344,19,682,2234,683,674,28,3619,1572,1050,753,105,3480,1439,1133,599,117,3288,895,1647,647,98,3287,970,1547,422,81,3020,1219,2575,522,93,4409,998,1912,275,58,3243,578,1627,182,26,2413,405,1084,68,18,1575,135,557,24,3,719,234,869,28,0,1131,670,2136,576,32,3414,338,300,196,19,853,12612,17683,5824,773,36892
CED206,221,176,128,13,538,284,276,185,18,763,72,150,304,8,534,130,238,545,20,933,1983,1012,1168,40,4203,1212,1559,1147,92,4010,1069,1642,830,59,3600,871,2200,890,89,4050,919,2241,572,69,3801,1398,3968,680,90,6136,1283,2914,316,71,4584,604,1980,164,27,2775,365,1160,82,11,1618,123,550,23,3,699,126,664,17,12,819,604,2812,706,35,4157,352,504,270,27,1153,11616,24046,8027,684,44373
CED207,121,56,40,5,222,181,55,75,7,318,41,24,148,4,217,100,35,257,6,398,1459,216,749,29,2453,1326,466,820,61,2673,1391,795,669,59,2914,927,1463,687,58,3135,1013,1712,412,39,3176,1602,3279,544,63,5488,1626,2562,261,53,4502,757,2129,155,20,3061,518,1226,65,4,1813,189,613,20,6,828,218,724,12,0,954,671,2207,590,34,3502,281,329,137,14,761,12421,17891,5641,462,36415
