region_id,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED507,677,58,34,0,0,769,362,36,27,0,0,425,338,29,19,0,0,386,646,73,30,0,0,749,754,63,47,0,0,864,2327,207,79,0,0,2613,2396,205,147,3,0,2751,3678,389,190,7,0,4264,2939,263,86,4,3,3295,2832,183,63,0,0,3078,1513,149,52,7,0,1721,892,78,28,0,3,1001,19354,1733,802,21,6,21916
CED508,754,31,13,0,0,798,497,12,9,0,0,518,445,13,14,0,0,472,944,15,26,5,0,990,1274,28,29,4,0,1335,3340,87,47,4,0,3478,3402,117,73,4,0,3596,4758,138,104,11,0,5011,3025,50,29,0,0,3104,2006,35,11,0,0,2052,907,26,4,0,0,937,1053,29,13,0,0,1095,22405,581,372,28,0,23386
CED509,874,35,10,0,0,919,417,20,7,0,0,444,402,11,4,3,0,420,832,22,8,0,0,862,941,38,12,0,0,991,2597,66,30,0,0,2693,2857,90,38,0,4,2989,4259,164,42,3,0,4468,3305,117,33,0,0,3455,3187,64,16,0,0,3267,2012,28,15,0,0,2055,1104,37,11,0,0,1152,22787,692,226,6,4,23715
CED510,1046,10,9,11,0,1076,528,7,4,4,0,543,537,6,4,7,0,554,971,20,13,6,3,1013,1125,16,11,4,0,1156,2571,63,29,22,3,2688,2228,73,29,7,0,2337,2717,80,26,4,3,2830,1284,33,22,3,0,1342,987,17,8,4,0,1016,552,18,3,6,4,583,860,14,8,11,0,893,15406,357,166,89,13,16031
CED511,836,10,5,4,0,855,491,11,0,3,3,508,442,7,0,6,0,455,843,12,4,0,0,859,1064,15,4,4,0,1087,2943,45,8,3,0,2999,3352,66,6,7,0,3431,5033,141,9,8,3,5194,3951,82,3,5,0,4041,3111,28,5,5,0,3149,1405,19,0,3,0,1427,1196,11,5,4,3,1219,24667,447,49,52,9,25224
CED512,653,112,74,0,0,839,303,55,40,0,3,401,288,44,42,7,0,381,636,96,76,0,0,808,696,122,111,0,0,929,1679,340,317,3,3,2342,1691,393,385,4,0,2473,2603,541,620,8,0,3772,1685,381,370,3,0,2439,1719,325,309,4,0,2357,1144,216,191,3,0,1554,653,100,84,3,0,840,13750,2725,2619,35,6,19135
CED513,664,163,28,0,0,855,279,78,24,0,0,381,236,95,23,0,0,354,457,140,44,3,0,644,572,206,61,0,0,839,1431,534,165,0,0,2130,1395,645,208,0,0,2248,2116,1182,229,0,0,3527,1376,799,133,0,0,2308,1634,609,77,4,4,2328,1429,306,54,0,0,1789,607,183,33,0,3,826,12196,4940,1079,7,7,18229
CED514,624,119,67,0,3,813,282,56,17,0,0,355,253,53,26,0,0,332,499,87,48,0,0,634,641,124,60,0,0,825,1659,386,247,0,3,2295,1698,406,285,0,3,2392,2595,668,397,4,4,3668,1893,404,230,0,0,2527,1695,367,153,0,0,2215,1257,223,148,4,0,1632,662,128,56,0,0,846,13758,3021,1734,8,13,18534
CED515,880,50,19,0,0,949,333,19,9,0,0,361,334,16,9,0,0,359,544,36,12,0,0,592,689,33,18,0,0,740,1917,100,34,0,0,2051,2039,104,32,0,0,2175,3144,175,58,0,3,3380,2295,120,42,0,0,2457,2649,95,30,0,0,2774,1862,90,19,0,3,1974,795,35,3,0,0,833,17481,873,285,0,6,18645
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,588,11,16,3,0,618,514,15,16,5,0,550,478,8,17,0,0,503,966,19,22,4,0,1011,1199,38,33,0,0,1270,2800,48,70,4,0,2922,2389,56,57,5,0,2507,1771,31,19,3,0,1824,572,8,8,3,0,591,359,3,8,0,0,370,199,8,4,0,0,211,547,9,10,0,0,566,12382,254,280,27,0,12943
CED602,651,8,13,8,0,680,588,10,8,0,0,606,622,3,7,5,0,637,1142,13,8,5,0,1168,1301,22,18,4,3,1348,2985,22,29,7,0,3043,2113,11,6,5,0,2135,1343,7,9,7,3,1369,368,3,4,0,0,375,256,3,0,7,0,266,157,3,3,3,0,166,514,7,10,0,0,531,12040,112,115,51,6,12324
CED603,531,40,38,3,0,612,381,21,21,0,0,423,391,24,18,0,0,433,700,38,57,4,3,802,847,48,58,0,0,953,2082,118,163,5,0,2368,2241,103,116,3,3,2466,2016,94,83,8,3,2204,732,48,31,4,0,815,558,33,25,0,0,616,395,7,13,3,0,418,461,19,28,0,0,508,11335,593,651,30,9,12618
CED604,683,23,13,5,0,724,543,8,11,0,0,562,505,15,8,0,0,528,950,22,8,0,0,980,1086,25,21,4,0,1136,2594,73,53,10,0,2730,2418,73,68,3,0,2562,2579,60,53,3,0,2695,963,11,8,5,0,987,612,10,4,0,0,626,295,5,0,5,0,305,518,5,5,10,0,538,13746,330,252,45,0,14373
CED605,754,11,8,5,0,778,741,5,6,12,3,767,690,4,6,3,0,703,1204,16,5,5,3,1233,1355,20,5,17,0,1397,2980,54,41,10,0,3085,2151,38,30,5,0,2224,1726,22,11,4,3,1766,516,0,0,3,0,519,296,4,0,8,3,311,174,0,0,3,0,177,687,5,6,4,0,702,13274,179,118,79,12,13662
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
CED701,185,10,6,9,5,215,101,7,8,11,0,127,106,10,10,5,0,131,192,10,14,8,0,224,263,19,29,13,0,324,860,83,67,23,3,1036,889,81,59,30,3,1062,1320,105,76,31,4,1536,770,45,27,15,0,857,796,34,13,16,0,859,404,17,6,15,3,445,361,18,17,17,7,420,6247,439,332,193,25,7236
CED702,236,28,40,0,0,304,99,26,17,0,0,142,94,15,14,3,0,126,213,41,40,5,0,299,278,59,59,3,0,399,931,169,193,7,7,1307,1036,212,269,8,5,1530,1692,288,373,3,10,2366,1371,173,235,7,4,1790,1438,125,164,3,0,1730,735,76,98,3,0,912,414,71,55,4,0,544,8537,1283,1557,46,26,11449
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,819,64,35,0,0,918,386,36,17,5,0,444,342,31,10,3,0,386,651,44,40,0,0,735,855,87,45,0,0,987,2262,210,139,0,3,2614,2570,263,173,0,0,3006,4444,520,358,0,3,5325,3143,294,181,0,0,3618,3012,188,167,0,0,3367,1789,105,84,0,0,1978,754,63,32,0,0,849,21027,1905,1281,8,6,24227
CED802,758,124,38,0,3,923,355,53,16,0,0,424,338,29,20,0,0,387,574,107,34,0,0,715,756,142,42,0,0,940,1991,300,153,0,0,2444,2329,499,295,0,0,3123,4595,1131,641,0,0,6367,3615,579,282,0,0,4476,3246,394,159,0,3,3802,1524,155,94,3,0,1776,656,92,38,0,0,786,20737,3605,1812,3,6,26163
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
