State;Division;Enrolment;Formal Vote;Informal Vote;Total Vote;Formal Pc;Formal Swing;Informal Pc;Informal Swing;Turnout;Turnout Swing;ALP TPP Vote;Coalition TPP Vote;TPP Exhausted;ALP TPP Pc;ALP Swing
QLD;Fadden;86004;76800;4501;81301;94.46;-2.15;5.54;2.15;94.53;0.90;28962;47838;0;37.71;-4.70
QLD;Fairfax;84217;76230;3399;79629;95.73;-0.51;4.27;0.51;94.55;0.85;31095;45135;0;40.79;-4.85
QLD;Fisher;85315;77323;3554;80877;95.61;-1.34;4.39;1.34;94.80;0.77;29335;47988;0;37.94;-1.07
QLD;Forde;86672;77042;4825;81867;94.11;-1.89;5.89;1.89;94.46;1.22;32835;44207;0;42.62;-2.13
QLD;Griffith;92367;83814;3660;87474;95.82;-1.75;4.18;1.75;94.70;0.25;46654;37160;0;55.66;3.24
QLD;Groom;84838;78048;2776;80824;96.57;-0.69;3.43;0.69;95.27;0.00;27246;50802;0;34.91;-2.05
QLD;Herbert;90904;82245;4266;86511;95.07;-1.07;4.93;1.07;95.17;0.49;39790;42455;0;48.38;-1.52
QLD;Hinkler;81566;74720;3476;78196;95.55;-1.26;4.45;1.26;95.87;0.47;37328;37392;0;49.96;0.30
QLD;Kennedy;84739;75483;3685;79168;95.35;-0.87;4.65;0.87;93.43;0.27;30982;44501;0;41.05;2.23
QLD;Leichhardt;85689;74269;4672;78941;94.08;-1.96;5.92;1.96;92.13;0.15;32385;41884;0;43.61;-2.34
QLD;Lilley;87642;80058;3083;83141;96.29;-0.95;3.71;0.95;94.86;0.49;43899;36159;0;54.83;1.70
QLD;Longman;83408;75442;4195;79637;94.73;-2.38;5.27;2.38;95.48;0.82;35668;39774;0;47.28;-1.80
QLD;McPherson;94653;84478;4754;89232;94.67;-1.13;5.33;1.13;94.27;0.46;31639;52839;0;37.45;-4.21
QLD;Maranoa;84022;75899;3732;79631;95.31;-0.93;4.69;0.93;94.77;0.19;25796;50103;0;33.99;-1.59
QLD;Moncrieff;89483;77764;5958;83722;92.88;-2.63;7.12;2.63;93.56;0.89;26888;50876;0;34.58;-2.59
QLD;Moreton;89254;80312;3606;83918;95.70;-1.27;4.30;1.27;94.02;-0.24;36777;43535;0;45.79;-3.63
QLD;Oxley;84787;76415;4278;80693;94.70;-0.87;5.30;0.87;95.17;0.57;44427;31988;0;58.14;-0.07
QLD;Petrie;89711;81775;3640;85415;95.74;-1.67;4.26;1.67;95.21;0.53;38093;43682;0;46.58;-2.66
QLD;Rankin;85204;74570;5269;79839;93.40;-2.15;6.60;2.15;93.70;0.63;42267;32303;0;56.68;-2.01
QLD;Ryan;88171;81756;2404;84160;97.14;-0.54;2.86;0.54;95.45;1.06;33828;47928;0;41.38;0.90
QLD;Wide Bay;81391;73359;4329;77688;94.43;-2.30;5.57;2.30;95.45;0.38;28811;44548;0;39.27;-7.86
WA;Brand;78366;71390;3214;74604;95.69;1.17;4.31;-1.17;95.20;-0.15;42869;28521;0;60.05;-3.32
WA;Canning;76632;69190;3746;72936;94.86;-0.51;5.14;0.51;95.18;-0.08;34330;34860;0;49.62;-0.42
WA;Cowan;79648;72672;3564;76236;95.33;-0.84;4.67;0.84;95.72;-0.42;40341;32331;0;55.51;2.40
WA;Curtin;82561;75887;2590;78477;96.70;-0.57;3.30;0.57;95.05;0.63;27385;48502;0;36.09;-0.43
WA;Forrest;82248;74721;3976;78697;94.95;0.08;5.05;-0.08;95.68;-0.16;31672;43049;0;42.39;-3.01
WA;Fremantle;80927;72443;4392;76835;94.28;-1.50;5.72;1.50;94.94;0.06;43952;28491;0;60.67;-1.62
WA;Hasluck;78418;70331;4334;74665;94.20;-1.43;5.80;1.43;95.21;;36420;33911;0;51.78;-0.77
WA;Kalgoorlie;82534;67635;4010;71645;94.40;-0.95;5.60;0.95;86.81;-0.17;30880;36755;0;45.66;-2.24
WA;Moore;74103;67982;2802;70784;96.04;-0.97;3.96;0.97;95.52;-0.19;29886;38096;0;43.96;-0.42
