region_id,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED207,592,829,1421,9013,10747,19760,0,0,0,1841,2112,3953,141,143,284,14017,15204,29221,349,473,822,640,678,1318,188,235,423,168,186,354,825,917,1742,18,25,43,171,198,369,909,1022,1931,1875,2097,3972,199,265,464,336,400,736,2719,3650,6369,2276,2622,4898,203,215,418,35888,41189,77077,218,217,435,234,176,410,71,55,126,5,5,10,352,430,782,357,435,792,20879,18689,39568,823,430,1253,5465,5038,10503,64527,67058,131585
CED208,4161,4609,8770,5586,6985,12571,3,3,6,1408,1775,3183,23,33,56,14228,16137,30365,163,212,375,4262,4538,8800,84,134,218,75,80,155,386,465,851,151,175,326,210,257,467,545,719,1264,1499,1873,3372,124,180,304,95,120,215,2815,3843,6658,1273,1489,2762,103,117,220,33033,39135,72168,2450,1969,4419,1473,1129,2602,265,279,544,0,3,3,921,688,1609,921,691,1612,19666,18209,37875,623,368,991,5548,5140,10688,68140,71529,139669
CED209,513,660,1173,9870,11705,21575,3,0,3,1341,1587,2928,17,21,38,17015,18578,35593,134,195,329,638,581,1219,180,223,403,37,55,92,753,919,1672,12,9,21,121,138,259,377,458,835,2813,3145,5958,176,239,415,77,85,162,5388,6961,12349,1265,1502,2767,51,62,113,40268,46463,86731,248,203,451,303,247,550,38,51,89,0,11,11,255,304,559,255,315,570,20653,18109,38762,799,479,1278,6074,5602,11676,69151,72129,141280
CED210,629,755,1384,8018,9764,17782,0,0,0,1221,1537,2758,64,64,128,18636,20696,39332,133,172,305,1791,1845,3636,219,269,488,103,118,221,728,830,1558,8,14,22,115,120,235,334,418,752,2420,2746,5166,181,238,419,100,127,227,3335,4432,7767,1239,1415,2654,61,89,150,38706,44894,83600,223,166,389,631,515,1146,23,28,51,4,3,7,263,315,578,267,318,585,16803,15047,31850,703,407,1110,6273,5386,11659,64258,67516,131774
CED211,2123,2502,4625,6668,8408,15076,0,0,0,2109,2456,4565,30,56,86,13146,14651,27797,418,526,944,2156,2274,4430,116,153,269,136,161,297,522,668,1190,88,92,180,191,259,450,787,945,1732,1466,1741,3207,240,329,569,239,317,556,2729,3848,6577,1621,2023,3644,216,275,491,32878,39182,72060,1165,980,2145,569,541,1110,80,89,169,5,6,11,799,677,1476,804,683,1487,18251,16248,34499,772,437,1209,4688,4679,9367,61330,65341,126671
CED212,581,796,1377,12126,14353,26479,0,0,0,919,1166,2085,17,14,31,14903,16875,31778,129,178,307,1227,1192,2419,191,258,449,237,240,477,393,454,847,86,63,149,138,173,311,501,604,1105,2117,2503,4620,116,153,269,69,71,140,2499,3453,5952,1309,1569,2878,79,106,185,37056,43425,80481,260,277,537,348,299,647,136,134,270,3,0,3,314,420,734,317,420,737,21115,19137,40252,963,560,1523,6477,6641,13118,67253,71689,138942
CED213,508,656,1164,13316,15431,28747,0,0,0,960,1210,2170,6,6,12,14684,15694,30378,134,172,306,921,876,1797,231,306,537,135,153,288,368,383,751,29,25,54,91,104,195,415,446,861,2459,2821,5280,136,190,326,53,67,120,3103,3960,7063,1272,1396,2668,63,75,138,38376,43315,81691,71,71,142,146,103,249,93,101,194,3,0,3,189,313,502,192,313,505,22004,19687,41691,822,573,1395,6988,6871,13859,69200,71690,140890
CED214,4313,4904,9217,5338,6446,11784,3,3,6,905,985,1890,6,7,13,19714,21520,41234,130,161,291,4969,5016,9985,140,166,306,94,118,212,427,476,903,221,197,418,279,281,560,324,342,666,1202,1477,2679,89,110,199,83,95,178,1501,2027,3528,946,1032,1978,78,92,170,36449,40551,77000,2003,1320,3323,3854,3181,7035,68,80,148,7,5,12,928,643,1571,935,648,1583,18851,16943,35794,910,523,1433,7209,6081,13290,74592,74231,148823
CED215,449,521,970,13201,15133,28334,0,0,0,768,863,1631,121,131,252,14908,16353,31261,47,72,119,436,389,825,238,318,556,102,115,217,408,444,852,34,26,60,86,96,182,499,623,1122,2733,2869,5602,199,287,486,131,174,305,3713,4742,8455,1232,1378,2610,53,65,118,38909,44078,82987,177,160,337,202,150,352,18,32,50,10,5,15,230,295,525,240,300,540,20072,17956,38028,752,475,1227,7429,6172,13601,68248,69844,138092
CED216,909,1231,2140,9567,11579,21146,0,0,0,452,572,1024,0,0,0,14781,17456,32237,74,110,184,3158,3350,6508,70,102,172,67,68,135,399,479,878,86,87,173,87,112,199,226,276,502,1401,1625,3026,38,68,106,22,26,48,2429,3358,5787,588,775,1363,66,68,134,33511,40111,73622,1189,872,2061,415,382,797,4285,4486,8771,0,0,0,378,320,698,378,320,698,18177,16881,35058,713,445,1158,5146,5265,10411,64723,69993,134716
