region_id,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
CED121,94,65,877,603,224,1139,88,835,94,4019,272,374,1324,738,545,614,255,733,68,4923,1140,1557,1777,1101,1221,764,778,1093,151,9582,2308,2414,2221,1609,2148,985,1162,1395,237,14479,2876,2705,1990,1588,2268,998,1325,1633,297,15680,2409,2121,1205,871,1531,660,973,1123,213,11106,1022,433,225,109,290,154,200,223,74,2730,311,47,20,9,24,17,10,35,35,508,40,3,3,6,3,0,0,3,8,66,10472,9719,9642,6634,8254,5331,4791,7073,1177,63093
CED122,66,54,969,528,255,1379,116,1014,96,4477,266,468,1843,851,680,746,519,819,95,6287,1040,1842,2793,1095,1409,914,2093,1417,172,12775,1591,1892,2531,1279,1872,944,2361,1503,276,14249,1692,1954,2189,1248,1795,845,2286,1652,254,13915,1299,1282,1178,652,1054,503,1551,995,117,8631,424,247,163,78,178,98,192,152,45,1577,123,23,14,6,21,9,5,13,31,245,16,0,0,0,7,0,0,0,0,23,6517,7762,11680,5737,7271,5438,9123,7565,1086,62179
CED123,36,139,251,498,265,861,50,287,52,2439,379,1657,883,1404,1197,1313,198,460,136,7627,2588,8197,2297,1932,3072,1566,584,867,387,21490,3289,6099,1810,1424,2810,1170,700,818,317,18437,2242,4051,1531,1262,2604,908,867,941,261,14667,1053,2156,950,722,1748,589,670,741,150,8779,201,467,219,156,402,166,165,228,62,2066,36,59,15,15,45,20,10,17,29,246,3,0,6,0,3,3,0,3,12,30,9827,22825,7962,7413,12146,6596,3244,4362,1406,75781
CED124,71,100,863,519,394,1453,137,839,80,4456,399,793,1581,1046,1368,1065,529,742,134,7657,1590,2991,2734,1650,3115,1329,1634,1322,273,16638,2006,2541,2228,1560,3155,1233,1944,1377,309,16353,1842,2166,1861,1380,2993,1090,1764,1454,316,14866,1096,1381,1196,814,2098,753,1322,975,199,9834,165,245,206,83,266,120,196,169,38,1488,12,22,7,0,16,0,5,17,7,86,3,0,3,0,0,0,0,3,4,13,7184,10239,10679,7052,13405,7043,7531,6898,1360,71391
CED125,57,36,502,450,137,1303,59,661,55,3260,158,315,762,461,275,548,148,444,30,3141,571,1269,1311,797,845,708,382,709,67,6659,1360,2070,1532,1276,1552,888,640,989,126,10433,1628,2535,1671,1615,1922,1094,853,1420,150,12888,1355,1793,1103,820,1269,710,644,1007,136,8837,514,299,167,88,243,108,142,191,53,1805,131,42,14,5,26,8,0,21,26,273,16,0,3,0,3,0,0,3,4,29,5790,8359,7065,5512,6272,5367,2868,5445,647,47325
CED126,76,82,820,545,329,1352,147,772,96,4219,370,825,1480,930,1036,950,465,707,122,6885,1431,2845,2522,1464,2409,1115,1341,1039,250,14416,2226,2755,2238,1493,2803,1179,1569,1232,290,15785,2055,2184,1877,1338,2856,1127,1572,1332,247,14588,1256,1520,1232,718,1894,688,1105,895,159,9467,200,248,183,86,253,120,178,147,34,1449,27,17,15,7,8,8,5,12,10,109,3,0,0,0,0,3,4,0,0,10,7644,10476,10367,6581,11588,6542,6386,6136,1208,66928
CED127,36,114,497,722,232,1228,103,529,71,3532,320,797,1023,1072,787,925,154,367,79,5524,1760,3371,2122,1134,1593,1013,341,576,166,12076,3688,4937,2300,1263,2645,1206,418,712,262,17431,3392,4654,1920,1206,2914,1221,570,860,260,16997,1921,3036,1153,766,2117,934,533,659,188,11307,470,850,273,150,644,297,144,208,88,3124,66,106,24,17,51,33,15,17,22,351,7,5,3,0,4,4,4,0,10,37,11660,17870,9315,6330,10987,6861,2282,3928,1146,70379
CED128,67,105,835,717,295,1162,127,760,71,4139,282,617,1503,1038,760,830,319,573,80,6002,1096,2401,2196,1219,1457,798,747,812,167,10893,2171,3642,2346,1490,2405,876,953,1005,213,15101,2575,4264,2135,1558,2697,957,1052,1189,235,16662,1636,3255,1274,873,1896,691,795,839,175,11434,324,636,224,147,348,179,186,171,53,2268,47,62,19,7,34,14,5,10,35,233,3,6,3,3,0,0,0,0,6,21,8201,14988,10535,7052,9892,5507,4184,5359,1035,66753
CED129,56,79,585,424,361,1230,123,527,98,3483,345,1001,1293,871,1342,1097,467,563,178,7157,1311,2952,2109,988,2635,1072,1242,1000,380,13689,1467,1958,2115,1002,2575,964,1556,1347,284,13268,1572,1718,2100,1214,2773,1034,1744,1708,294,14157,829,1041,1395,664,1623,554,1212,1212,166,8696,122,154,179,79,183,87,170,198,40,1212,17,15,6,6,10,6,3,15,8,86,0,0,3,0,0,3,0,0,3,9,5719,8918,9785,5248,11502,6047,6517,6570,1451,61757
CED130,52,178,472,666,358,1393,66,497,52,3734,387,1277,942,915,1075,1237,160,334,98,6425,1755,4506,1531,820,1973,920,331,363,208,12407,3775,5629,1959,1074,3160,1197,475,608,236,18113,3575,4521,1686,970,3110,1157,588,706,232,16545,1938,2985,1022,589,2312,895,470,489,154,10854,372,608,223,107,483,241,144,138,43,2359,24,52,9,7,23,20,15,6,10,166,4,3,0,0,0,0,0,0,0,7,11882,19759,7844,5148,12494,7060,2249,3141,1033,70610
