CED_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED313,315,595,911,132,234,367,188,867,1057,170,1231,1401,550,2195,2744,570,1350,1918,1292,1336,2631,1360,1625,2987,1960,2046,4008,2058,1734,3789,1939,1625,3568,2018,1310,3333,4757,2217,6975,3971,568,4543,2969,335,3305,2710,1019,3730,6880,379,7250,3342,1236,4573,288,599,881,37466,22494,59957
CED314,249,299,548,191,167,355,232,672,911,250,1174,1418,930,2992,3920,1093,1664,2758,3221,1378,4601,2597,1566,4155,3306,1535,4837,3324,913,4235,2643,736,3383,2634,506,3147,4956,662,5622,3215,130,3342,1890,69,1954,1138,240,1382,2038,51,2084,3469,345,3816,495,765,1263,37859,15872,53736
CED315,298,412,709,158,209,365,278,870,1143,297,1227,1527,984,2440,3417,1175,1407,2583,2569,1335,3902,2398,1594,3988,3121,1620,4742,3227,1292,4518,2761,961,3722,2704,671,3371,5302,868,6176,3699,184,3885,2140,82,2225,1308,257,1566,1984,88,2073,4560,604,5164,539,682,1219,39508,16788,56302
CED316,351,349,695,235,221,450,367,1012,1380,351,1697,2052,1693,4160,5850,1656,1909,3566,5679,1302,6987,3550,1342,4889,4080,1194,5272,3552,640,4188,2304,463,2765,2140,298,2436,3451,355,3807,1858,63,1923,1042,21,1068,599,142,738,1040,25,1061,3327,270,3600,807,1071,1872,38071,16532,54602
CED317,389,399,780,276,228,503,335,1040,1376,355,1571,1926,1361,3111,4468,1192,1320,2512,3488,1315,4801,2633,1422,4055,3420,1308,4728,3238,816,4055,2383,607,2988,2376,446,2824,4202,727,4928,2737,95,2825,1677,60,1734,950,251,1198,1785,82,1867,4374,323,4698,855,1039,1891,38008,16146,54158
CED318,353,486,838,196,229,424,356,1077,1432,386,1443,1832,1158,2703,3858,1421,1634,3057,2711,1718,4428,2694,1832,4526,3432,1764,5195,3526,1224,4750,2815,986,3797,2727,724,3452,5360,1002,6368,3353,196,3549,2015,111,2131,1316,305,1627,2243,112,2351,4733,614,5349,691,899,1592,41495,19064,60555
CED319,245,367,610,134,197,336,207,692,895,197,1337,1536,688,2853,3541,797,1615,2410,2134,1335,3473,2072,1566,3639,2900,1794,4696,2883,1341,4227,2440,1288,3725,2599,880,3482,5581,1270,6853,4355,312,4663,2971,162,3132,2084,391,2479,4173,116,4289,3494,602,4094,462,764,1222,40415,18885,59299
CED320,297,298,599,204,153,358,271,627,898,290,1147,1442,1231,2726,3960,1437,1532,2964,4033,1050,5086,3102,1213,4317,3968,1204,5168,3875,709,4587,3027,475,3499,3009,350,3363,5208,385,5595,3088,82,3174,1910,36,1940,1023,142,1167,1663,39,1698,3657,273,3938,637,683,1322,41943,13125,55062
CED321,439,421,862,259,253,508,323,1012,1335,326,1581,1904,1489,3739,5230,1360,1558,2918,4041,1420,5456,2829,1557,4384,3641,1306,4946,3523,811,4334,2382,524,2912,2483,403,2888,4041,573,4614,2381,84,2466,1304,40,1344,753,247,997,1327,48,1367,4058,255,4311,818,1041,1861,37775,16857,54631
CED322,340,470,808,171,209,379,237,646,886,218,1095,1310,911,2628,3539,1031,1508,2539,2845,1272,4120,2481,1439,3913,3349,1393,4737,3335,936,4265,2634,816,3452,2801,558,3362,5083,745,5829,3487,212,3699,2120,99,2223,1390,306,1692,2603,86,2689,3755,559,4312,509,713,1221,39293,15680,54977
