CED_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
CED221,307,271,178,90,133,43,11,1031,263,325,172,114,170,32,7,1078,324,350,154,87,152,31,12,1112,4996,5369,3114,1997,2669,565,129,18842,36,33,34,12,13,5,0,132,5925,6350,3651,2302,3135,671,159,22192,27,49,42,23,36,9,6,192,72,109,61,67,84,26,3,414,28,55,41,37,39,12,5,214,974,1531,933,638,849,191,47,5162,68,54,38,27,14,3,0,213,1172,1789,1117,783,1026,241,59,6195,7104,8135,4769,3083,4159,913,221,28387
CED222,3190,2925,1631,1027,1517,1061,589,11941,846,793,401,250,291,156,68,2803,894,777,381,219,302,170,77,2818,4020,3759,2012,1235,1525,741,333,13617,46,53,23,27,9,3,0,175,8990,8310,4450,2761,3648,2128,1067,31353,291,431,263,200,350,243,146,1931,119,188,128,108,119,55,19,743,91,128,96,56,80,43,33,536,510,707,446,327,503,242,109,2829,60,49,26,24,22,11,3,194,1062,1506,963,717,1069,600,316,6236,10053,9823,5415,3471,4719,2724,1384,37586
CED223,1514,1304,637,385,603,406,242,5089,854,860,444,250,301,241,136,3084,778,656,323,212,270,166,108,2515,4512,4687,2637,1684,2327,1455,730,18039,26,18,12,0,11,3,0,76,7689,7526,4052,2536,3518,2276,1208,28797,118,161,129,95,147,111,72,830,65,149,103,60,88,55,30,551,56,66,66,44,72,49,35,379,316,656,463,371,513,302,159,2776,18,32,16,19,14,8,3,108,575,1063,774,587,830,531,296,4644,8262,8585,4824,3116,4344,2802,1505,33447
CED224,1871,2010,1201,797,1147,890,510,8421,577,660,417,286,397,276,164,2780,658,765,467,277,400,288,159,3017,2606,3592,2545,1725,2332,1673,1003,15468,16,19,7,5,10,5,6,72,5735,7041,4637,3088,4286,3139,1848,29761,150,331,267,199,385,259,144,1747,44,95,75,65,90,67,48,477,24,93,48,48,64,48,36,350,113,291,276,222,357,209,148,1611,9,13,7,10,6,0,4,49,345,821,672,538,904,589,369,4233,6080,7867,5303,3623,5186,3722,2218,34002
CED225,2258,2581,1385,901,1318,882,417,9752,865,958,588,377,523,280,125,3716,781,784,425,256,388,190,100,2922,4988,5305,3138,1938,2752,1199,526,19846,47,32,21,5,12,11,4,129,8939,9664,5560,3478,4991,2559,1177,36365,109,184,139,100,188,116,73,902,116,177,134,69,132,82,31,736,52,96,86,66,113,53,16,476,620,858,602,507,688,269,120,3664,34,29,23,18,19,0,0,127,937,1343,975,760,1145,508,236,5904,9874,11003,6536,4241,6135,3067,1407,42271
CED226,11577,8782,3758,2037,2635,1484,702,30967,1259,1017,539,294,406,187,101,3809,1163,939,465,264,343,160,70,3417,4708,4539,2238,1381,1894,867,364,15986,87,95,42,22,27,12,3,287,18796,15374,7046,4001,5306,2709,1240,54466,798,970,603,404,583,344,171,3869,240,313,186,120,172,67,34,1116,145,214,123,80,132,74,27,799,1032,1367,847,563,716,276,121,4913,124,100,55,34,27,11,11,361,2340,2962,1808,1201,1623,764,363,11063,21132,18330,8853,5207,6930,3477,1599,65527
CED227,508,472,291,147,242,64,16,1734,170,171,100,72,117,21,4,652,262,228,115,62,96,20,8,780,4926,5225,3039,1987,2873,573,112,18736,52,46,18,26,14,0,0,163,5911,6142,3564,2291,3340,686,134,22069,51,87,39,45,64,11,4,296,67,91,51,42,60,9,0,333,45,60,31,34,40,8,0,223,1107,1452,878,635,830,185,38,5129,60,60,43,30,22,4,3,228,1323,1755,1052,783,1020,225,50,6203,7235,7890,4610,3079,4357,903,183,28268
CED228,3520,2759,1498,986,1494,1137,610,11998,607,559,355,215,304,203,110,2353,748,541,266,179,230,147,86,2201,2989,3154,1804,1142,1570,978,503,12135,70,66,30,16,13,11,0,208,7931,7069,3963,2539,3611,2469,1318,28903,540,769,502,421,578,379,250,3436,107,132,83,48,76,55,39,542,81,113,80,32,65,31,21,427,340,509,343,283,392,202,128,2199,74,69,42,32,40,27,11,285,1140,1592,1046,820,1146,693,445,6888,9068,8664,5009,3359,4760,3165,1759,35789
CED229,3704,3135,1512,868,1199,683,345,11448,1090,1023,579,317,462,206,82,3750,954,778,375,268,322,157,52,2903,8946,8265,4404,2653,3518,1374,503,29662,78,64,31,33,28,9,4,252,14767,13270,6902,4137,5529,2418,984,48011,203,263,171,123,161,120,64,1104,180,237,150,125,163,69,22,955,74,137,94,71,85,44,19,530,1405,1709,1133,814,1073,369,162,6662,63,76,48,39,31,15,0,270,1920,2424,1595,1177,1512,615,263,9517,16687,15692,8499,5317,7040,3038,1252,57525
CED230,1114,979,506,339,403,191,76,3613,609,592,300,178,259,65,28,2038,475,502,290,166,256,76,26,1794,6712,6438,3464,2192,2812,891,298,22802,41,43,28,15,15,3,0,147,8955,8553,4591,2895,3750,1228,425,30405,127,160,100,78,135,57,40,700,125,188,82,61,92,35,6,591,73,103,64,57,82,36,8,427,1394,1752,1083,740,1013,290,67,6338,72,56,39,23,24,7,4,221,1797,2261,1365,957,1350,421,123,8267,10745,10813,5962,3856,5096,1648,554,38669
CED231,2466,1433,647,416,465,383,197,6010,597,429,175,102,141,73,44,1565,773,420,164,97,140,75,58,1730,2627,1861,911,545,674,430,226,7280,71,55,35,10,7,0,0,170,6537,4202,1937,1165,1427,962,521,16758,572,629,380,324,439,374,254,2972,85,100,54,36,60,42,26,398,81,92,47,26,50,29,21,342,217,270,160,105,181,124,83,1138,108,104,41,32,20,14,6,329,1058,1189,691,514,752,581,397,5181,7601,5393,2624,1681,2178,1540,916,21939
CED232,1861,1094,449,261,363,250,155,4427,974,770,335,226,263,135,80,2781,896,670,333,189,223,115,70,2490,2781,2408,1317,760,992,550,315,9116,22,24,17,8,3,4,3,74,6534,4957,2445,1442,1842,1060,615,18894,118,187,110,92,170,135,86,898,84,136,82,65,88,74,30,559,82,88,62,31,61,43,29,389,195,330,206,156,232,153,104,1382,22,23,5,6,5,0,0,64,493,759,475,355,546,400,255,3295,7025,5716,2917,1800,2392,1462,871,22188
CED233,2420,2302,1203,792,1346,1153,713,9937,413,488,354,225,336,247,138,2210,506,555,302,226,342,206,131,2257,2626,3397,2231,1422,1994,1289,658,13621,18,25,13,3,9,0,7,68,5988,6769,4105,2664,4031,2894,1646,28100,152,287,171,173,281,244,160,1477,42,84,76,45,77,62,31,423,33,72,42,33,55,41,29,303,191,360,315,231,341,214,116,1763,9,19,9,3,6,4,3,61,432,822,612,484,768,572,338,4030,6418,7594,4719,3156,4795,3466,1983,32128
CED234,910,833,439,262,398,128,39,3016,235,203,115,81,130,33,10,795,259,230,128,76,108,34,11,843,4891,5334,3112,2043,2866,677,115,19029,36,51,23,30,16,6,0,154,6325,6645,3816,2491,3517,869,177,23838,78,78,79,58,81,35,16,429,82,104,75,47,63,21,7,393,43,67,43,17,48,10,0,228,1185,1509,968,666,917,191,37,5472,59,63,41,30,17,4,0,211,1449,1818,1201,821,1130,258,56,6733,7774,8460,5017,3308,4646,1130,230,30572
