ASGS_Structure,Census_Code_2016,ASGS_Code_2016,Census_Name_2016,Area_sqkm
CED,CED312,312,Forde,426.5838
CED,CED313,313,Griffith,55.4296
CED,CED314,314,Groom,5665.755
CED,CED315,315,Herbert,1128.1617
CED,CED316,316,Hinkler,3489.9734
CED,CED317,317,Kennedy,582413.7622
CED,CED318,318,Leichhardt,133076.0265
CED,CED319,319,Lilley,142.7086
CED,CED320,320,Longman,1247.5
CED,CED321,321,Maranoa,729809.7766
CED,CED322,322,McPherson,230.9998
CED,CED323,323,Moncrieff,91.9129
CED,CED324,324,Moreton,109.6342
CED,CED325,325,Oxley,153.0437
CED,CED326,326,Petrie,147.4284
CED,CED327,327,Rankin,130.9693
CED,CED328,328,Ryan,428.0442
CED,CED329,329,Wide Bay,14527.2915
CED,CED330,330,Wright,7574.7826
CED,CED394,394,No usual address (Qld),0
CED,CED397,397,Migratory - Offshore - Shipping (Qld),0
CED,CED401,401,Adelaide,76.0361
CED,CED402,402,Barker,58548.5473
CED,CED403,403,Boothby,134.7288
CED,CED404,404,Grey,908519.0441
CED,CED405,405,Hindmarsh,77.4456
CED,CED406,406,Kingston,176.5828
CED,CED407,407,Makin,130.6741
CED,CED408,408,Mayo,9358.1257
CED,CED409,409,Port Adelaide,176.7684
CED,CED410,410,Sturt,85.3414
CED,CED411,411,Wakefield,6991.6137
CED,CED494,494,No usual address (SA),0
CED,CED497,497,Migratory - Offshore - Shipping (SA),0
CED,CED501,501,Brand,377.7019
CED,CED502,502,Burt,173.8312
CED,CED503,503,Canning,6172.0892
CED,CED504,504,Cowan,178.8653
CED,CED505,505,Curtin,86.7006
CED,CED506,506,Durack,1626549.828
CED,CED507,507,Forrest,11066.9407
CED,CED508,508,Fremantle,194.2373
CED,CED509,509,Hasluck,1201.4022
CED,CED510,510,Moore,89.8495
CED,CED511,511,O'Connor,866981.3533
CED,CED512,512,Pearce,13227.6436
CED,CED513,513,Perth,75.4167
CED,CED514,514,Stirling,74.1177
CED,CED515,515,Swan,123.707
CED,CED516,516,Tangney,72.5547
CED,CED594,594,No usual address (WA),0
CED,CED597,597,Migratory - Offshore - Shipping (WA),0
CED,CED601,601,Bass,7452.8871
CED,CED602,602,Braddon,20869.6931
CED,CED603,603,Denison,295.3677
CED,CED604,604,Franklin,2769.1276
CED,CED605,605,Lyons,36630.7852
CED,CED694,694,No usual address (Tas.),0
CED,CED697,697,Migratory - Offshore - Shipping (Tas.),0
CED,CED701,701,Lingiari,1348012.764
CED,CED702,702,Solomon,231.4156
CED,CED794,794,No usual address (NT),0
CED,CED797,797,Migratory - Offshore - Shipping (NT),0
CED,CED801,801,Canberra,2004.273
CED,CED802,802,Fenner,460.3633
CED,CED894,894,No usual address (ACT),0
CED,CED897,897,Migratory - Offshore - Shipping (ACT),0
CED,CED994,994,No usual address (OT),0
CED,CED997,997,Migratory - Offshore - Shipping (OT),0
