CED_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
CED324,1773,833,885,1720,761,840,1609,751,865,1612,769,858,1618,4000,4332,8334,726,800,1527,697,749,1449,737,756,1492,659,717,1376,668,732,1404,3488,3759,7246,601,694,1295,635,694,1332,621,634,1261,575,636,1208,632,678,1311,3065,3334,6403,522,488,1010,493,579,1077,435,496,930,378,419,794,408,464,875,2238,2448,4683,363,407,772,344,366,711,308,364,669,323,352,675,281,350,626,1618,1833,3451,1042,1439,2476,721,1153,1867,271,638,909,64,170,234,5,21,29,78365,79706,158071
CED325,1967,940,917,1859,898,882,1779,838,896,1729,754,816,1570,4440,4454,8900,849,768,1616,724,739,1462,681,711,1388,666,723,1390,628,724,1356,3547,3664,7215,645,710,1358,604,547,1152,534,644,1180,532,562,1093,606,614,1214,2921,3076,5996,427,439,868,419,473,895,444,502,942,376,409,785,355,370,728,2021,2189,4213,322,333,659,290,317,612,300,296,601,214,271,483,203,298,493,1333,1519,2850,761,1068,1827,428,682,1110,169,353,521,27,94,126,0,15,14,81369,81842,163208
CED326,2010,895,990,1887,890,982,1868,805,925,1730,800,941,1740,4372,4870,9236,833,924,1759,810,945,1754,774,877,1653,781,950,1732,790,919,1704,3989,4616,8605,768,877,1641,753,934,1691,823,943,1766,799,919,1716,855,950,1808,3998,4626,8625,687,778,1467,667,781,1445,630,707,1335,540,662,1202,534,618,1148,3054,3546,6599,468,586,1052,498,569,1065,407,561,966,418,493,910,383,512,896,2177,2718,4894,1505,2100,3599,930,1546,2471,345,783,1129,72,210,282,4,13,23,78562,84709,163268
CED327,2082,962,1091,2053,957,962,1917,904,987,1895,906,960,1867,4715,5095,9809,879,975,1851,850,886,1734,812,861,1674,799,847,1645,752,867,1622,4086,4438,8524,788,823,1609,757,757,1515,696,725,1420,649,754,1407,684,729,1410,3569,3786,7359,606,590,1191,532,478,1003,504,478,982,438,390,831,358,377,731,2435,2312,4741,392,356,748,311,322,629,269,294,562,243,264,505,195,235,433,1401,1476,2876,777,974,1746,426,654,1080,166,366,535,25,86,109,0,13,15,88626,90544,179170
CED328,1791,827,833,1658,749,889,1638,728,846,1578,755,786,1545,3903,4304,8214,742,824,1567,693,767,1459,649,756,1409,683,789,1474,719,781,1504,3497,3909,7404,632,720,1350,702,741,1439,640,685,1326,606,686,1294,656,753,1408,3232,3591,6822,533,622,1156,537,558,1101,505,560,1065,438,472,910,437,453,888,2459,2660,5118,378,411,784,352,403,753,364,357,721,330,344,668,258,344,597,1674,1856,3532,987,1328,2313,647,1063,1712,272,627,898,48,180,228,5,23,30,75924,79422,155349
CED329,2284,1150,1238,2383,1084,1138,2228,1056,1173,2230,1101,1143,2245,5519,5855,11373,1122,1195,2314,1112,1131,2245,1102,1175,2283,1095,1154,2253,1114,1161,2275,5550,5819,11368,1213,1166,2377,1138,1183,2321,1170,1138,2311,1156,1056,2214,1286,1170,2448,5957,5709,11667,1048,987,2037,1010,956,1967,866,833,1701,780,783,1559,847,802,1652,4549,4366,8912,713,649,1355,666,619,1287,629,573,1207,527,525,1050,474,465,938,3006,2825,5829,1742,1919,3664,934,1247,2175,336,621,955,74,152,232,7,30,34,71334,72763,144098
CED330,2152,1066,1065,2135,1054,1013,2070,1024,1021,2052,970,995,1963,5213,5159,10368,942,945,1893,925,961,1889,883,881,1758,910,878,1789,960,901,1865,4622,4569,9191,923,865,1789,811,912,1722,861,855,1716,892,787,1681,885,832,1716,4368,4253,8622,725,645,1373,774,649,1421,625,584,1206,554,519,1064,507,503,1017,3185,2893,6083,462,439,904,460,404,859,371,362,739,338,313,653,286,317,610,1923,1842,3761,1092,1152,2249,551,719,1266,209,383,589,52,95,144,0,15,15,77955,78484,156437
CED394,189,112,104,220,101,112,213,101,128,231,90,135,225,489,592,1080,133,143,270,141,126,272,142,130,271,134,119,251,111,119,226,660,639,1294,135,119,253,127,119,239,169,113,287,138,96,233,147,98,242,716,539,1253,126,69,196,88,57,146,86,51,138,56,49,103,48,29,83,403,254,661,57,22,77,39,31,69,35,33,67,20,17,40,29,15,46,177,118,295,53,34,82,11,8,24,4,8,17,0,3,3,0,0,0,6937,5572,12510
CED397,0,4,4,8,0,3,3,0,0,3,0,0,0,5,14,19,0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,8,3,12,0,0,0,0,8,8,0,0,3,4,0,4,3,3,5,5,12,19,3,0,3,3,6,7,0,0,0,0,0,0,0,0,0,11,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,6,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,66,87,150
CED401,2053,1059,994,2051,935,994,1933,922,974,1898,938,1008,1942,4869,5000,9874,911,978,1888,949,904,1853,824,915,1742,836,901,1734,818,882,1700,4331,4582,8917,785,916,1701,788,840,1629,752,798,1552,745,778,1524,770,784,1557,3835,4122,7955,620,692,1308,543,638,1174,509,589,1099,426,536,957,426,491,921,2520,2942,5461,407,531,931,388,485,874,393,456,847,334,388,724,346,408,748,1870,2265,4132,1303,1889,3193,995,1598,2593,432,891,1321,87,255,341,6,30,33,81061,82378,163442
