CED_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED510,55928,57267,113191,1411,1423,2838,122,123,243,97,86,186,103,89,189,32,20,53,5549,5679,11220,20,24,42,29,38,68,18,16,27,3,3,3,5967,6073,12042,929,1034,1960,103,82,183,8408,8610,17021,4461,4135,8603,68800,70016,138815
CED511,58532,56953,115482,3780,3867,7641,144,138,278,136,134,265,223,214,430,124,115,239,5710,5617,11332,55,51,104,69,78,150,6,3,10,0,0,3,6460,6350,12814,466,527,997,319,284,607,11035,11030,22062,9178,7688,16864,78740,75669,154409
CED512,65092,66233,131325,3297,3537,6833,179,192,377,150,161,310,186,195,382,73,71,145,9960,10551,20509,24,24,48,46,52,102,17,27,36,0,0,0,10632,11273,21900,1054,1187,2244,195,173,365,15172,16173,31345,8237,8025,16267,88510,90439,178943
CED513,52324,53085,105410,2607,2506,5109,247,235,486,253,252,502,216,211,430,92,68,161,8402,8269,16665,27,21,50,48,42,93,25,26,59,0,8,8,9309,9144,18452,2334,2545,4880,218,185,402,14469,14377,28847,7730,7328,15054,74525,74783,149306
CED514,53723,56519,110244,1917,1895,3814,148,139,287,142,147,285,119,108,226,51,41,92,7609,7625,15232,5,13,18,23,26,54,12,10,17,4,0,4,8106,8108,16220,1648,1660,3312,163,140,300,11835,11804,23639,6037,6114,12152,71592,74444,146035
CED515,55734,56071,111801,3125,2966,6089,204,209,416,202,168,371,168,146,317,96,66,163,9948,9162,19110,18,16,34,89,60,150,15,13,23,0,3,3,10737,9844,20580,2816,2999,5817,236,179,414,16912,15987,32897,8472,7991,16460,81111,80054,161162
CED516,52276,55645,107919,1694,1683,3376,111,112,221,132,134,271,94,96,193,58,63,117,5597,5835,11432,3,3,3,14,32,51,15,17,36,5,3,5,6035,6290,12322,1284,1422,2705,87,76,168,9096,9484,18575,4148,4248,8403,65525,69377,134895
CED594,814,434,1248,245,154,396,99,104,201,67,62,132,142,130,274,45,37,78,808,594,1395,15,15,22,32,17,52,4,7,13,0,0,0,1209,962,2166,189,195,387,44,36,84,1691,1346,3036,1020,617,1636,3518,2398,5915
CED597,259,11,272,0,0,0,3,0,3,3,0,3,4,0,6,0,0,0,45,7,53,0,0,0,0,0,0,0,0,0,0,0,0,62,8,69,11,0,15,0,0,0,73,12,84,71,8,80,408,26,434
CED601,37640,39800,77438,1201,1379,2579,240,251,493,254,265,522,264,282,545,58,56,115,147,127,276,3913,4370,8280,48,44,87,16,15,31,0,0,0,4935,5408,10341,498,409,914,80,98,177,6707,7292,14004,4342,4440,8784,48691,51537,100223
