CED_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
CED402,0,38,..,7,0,7,0,7,..,3,0,3,0,3,..,22,11,31,0,31,..,36,3,42,0,42,..,21,0,28,0,28,..,11,3,12,0,15,..,14,0,14,0,14,..,208,12,216,0,214,..,10,4,15,0,15,..,254,11,263,6,266,..,39,0,38,0,42,..,510,28,532,3,536,..,30,0,34,0,34,..,19,0,20,0,20,..,55,15,70,3,71,..,36,20,57,0,57,..,67,78,142,5,148,..,566,229,796,14,809,..,3463,943,4403,65,4469,..,218,20,239,4321,4554,65005,3683,958,4644,4382,74031,130248,..,..,..,..,130248,..,159,0,159,0,159,..,102,12,115,5,127,..,256,10,266,5,267,..,71,35,108,3,106,..,378,469,848,4,851,..,27,46,78,0,77,..,476,557,1026,10,1039,..,105,11,116,0,116,..,162,4,161,4,165,..,108,9,116,0,116,..,396,8,401,0,407
CED403,0,204,..,12,3,15,0,15,..,21,0,22,0,22,..,278,84,356,0,358,..,278,37,317,3,317,..,141,10,159,5,162,..,5,0,5,0,5,..,78,17,92,0,92,..,133,0,131,0,135,..,199,28,228,0,229,..,214,7,217,3,223,..,100,4,104,0,104,..,645,40,684,7,690,..,225,18,244,0,244,..,132,4,137,0,137,..,76,10,94,3,95,..,23,0,23,0,23,..,174,71,239,0,239,..,1346,277,1628,46,1673,..,9776,1635,11413,105,11516,..,173,17,185,2724,2912,61158,9945,1651,11601,2827,75585,118484,..,..,..,..,118484,..,276,0,276,4,279,..,951,299,1248,7,1255,..,29,0,29,0,35,..,671,164,842,6,843,..,2451,683,3131,21,3150,..,189,69,260,0,260,..,3317,919,4233,30,4260,..,207,34,237,3,240,..,375,16,388,3,395,..,348,3,354,0,358,..,781,19,802,3,811
CED404,0,11,..,7,0,7,0,7,..,8,0,8,0,8,..,13,0,11,0,13,..,26,3,29,0,29,..,14,3,21,0,21,..,0,0,0,0,0,..,17,0,20,0,20,..,138,3,145,3,144,..,24,3,26,0,30,..,184,14,194,0,194,..,31,0,29,0,29,..,380,15,399,4,400,..,53,9,65,3,69,..,35,5,39,0,39,..,46,15,64,0,60,..,3,0,3,0,3,..,38,5,49,0,49,..,335,66,401,11,411,..,3197,447,3642,66,3708,..,200,22,220,5021,5248,61624,3400,465,3866,5088,70571,124588,..,..,..,..,124588,..,293,3,295,0,298,..,34,4,45,0,45,..,1955,360,2314,52,2361,..,38,15,52,4,59,..,131,43,168,9,174,..,9,4,10,0,10,..,177,56,236,5,244,..,149,24,168,0,173,..,112,3,112,0,112,..,88,0,89,0,87,..,293,7,300,4,303
CED405,0,145,..,93,11,102,0,101,..,81,4,89,0,89,..,145,59,197,0,198,..,302,38,339,3,345,..,197,40,235,0,236,..,6,0,9,0,9,..,262,66,326,3,330,..,239,3,246,3,249,..,102,26,129,0,129,..,320,14,329,3,330,..,117,0,118,0,124,..,781,42,824,6,832,..,317,34,353,0,355,..,98,17,116,3,114,..,133,43,171,0,171,..,18,0,15,0,15,..,301,116,419,3,418,..,1719,407,2128,58,2185,..,14952,2909,17858,199,18055,..,246,68,313,3480,3792,56131,15197,2976,18169,3675,77977,109027,..,..,..,..,109027,..,192,0,194,0,194,..,1029,274,1309,8,1312,..,48,3,51,3,56,..,1013,310,1319,22,1340,..,2745,744,3491,28,3516,..,205,86,289,3,292,..,3962,1133,5099,46,5146,..,412,71,483,0,482,..,180,10,192,0,193,..,308,20,332,0,332,..,534,19,555,4,562
CED406,0,37,..,7,0,10,0,10,..,34,3,31,0,36,..,105,37,137,0,137,..,338,58,390,3,394,..,97,21,123,0,123,..,0,0,0,0,0,..,71,8,83,0,83,..,153,3,156,0,156,..,50,4,55,0,55,..,272,3,277,4,280,..,50,0,50,0,48,..,523,8,530,4,536,..,196,21,214,0,217,..,33,5,37,0,40,..,88,17,98,0,102,..,12,0,18,0,18,..,81,16,93,0,93,..,773,127,904,25,926,..,4985,658,5642,65,5713,..,176,12,190,3608,3800,66092,5159,668,5833,3679,75606,129765,..,..,..,..,129765,..,357,6,361,4,360,..,537,53,595,4,594,..,74,4,77,10,88,..,180,64,246,0,243,..,579,176,751,8,763,..,37,5,40,0,40,..,798,243,1040,10,1048,..,162,28,191,0,191,..,326,8,334,7,335,..,190,7,194,3,199,..,658,21,676,6,689
CED407,3,197,..,59,3,58,0,58,..,76,4,80,0,80,..,198,61,255,0,259,..,379,51,428,0,432,..,153,31,185,0,190,..,10,0,9,0,9,..,156,38,192,5,196,..,266,4,267,0,272,..,60,8,65,0,65,..,355,14,369,0,370,..,82,9,88,0,87,..,760,28,784,3,790,..,309,42,351,3,355,..,111,12,125,0,129,..,80,20,98,0,98,..,31,7,33,0,33,..,723,337,1061,3,1069,..,2115,684,2798,51,2849,..,11139,2420,13563,142,13704,..,207,30,233,2945,3180,58782,11347,2448,13799,3091,75662,115952,..,..,..,..,115952,..,242,4,249,4,251,..,1213,200,1415,15,1431,..,36,3,40,0,40,..,672,200,875,5,876,..,1682,546,2227,11,2235,..,91,27,121,0,121,..,2439,775,3215,14,3226,..,315,44,358,4,364,..,234,0,235,0,234,..,108,4,107,7,114,..,585,17,600,7,607
CED408,0,20,..,0,0,0,0,0,..,12,0,12,0,12,..,18,0,19,0,19,..,90,7,97,3,100,..,46,3,52,0,52,..,0,0,0,4,4,..,18,8,25,0,25,..,85,0,85,0,85,..,40,0,42,0,40,..,82,0,85,3,85,..,25,3,32,0,32,..,233,6,238,3,235,..,103,3,108,0,108,..,3,0,3,0,3,..,54,4,59,0,59,..,9,0,9,0,9,..,52,13,62,0,62,..,358,53,411,11,424,..,2707,224,2932,45,2978,..,166,4,167,3524,3699,64922,2868,234,3101,3573,71592,127347,..,..,..,..,127347,..,227,5,231,0,231,..,69,12,73,0,77,..,50,0,49,0,49,..,101,16,122,6,122,..,225,55,285,9,287,..,12,0,12,0,12,..,341,75,412,10,421,..,38,0,41,0,42,..,313,0,319,4,323,..,263,3,266,3,272,..,786,25,807,18,828
CED409,0,46,..,50,7,62,0,62,..,85,7,87,0,93,..,131,56,191,0,188,..,505,132,638,3,650,..,258,63,322,3,323,..,17,0,17,0,17,..,633,221,856,10,862,..,450,11,457,8,465,..,71,10,81,0,81,..,672,36,705,11,712,..,108,10,123,0,123,..,1302,64,1359,12,1380,..,449,79,528,3,531,..,186,17,204,0,201,..,165,42,206,7,212,..,34,5,39,0,39,..,2962,2118,5081,29,5106,..,4044,1740,5782,101,5887,..,18278,6629,24908,255,25171,..,261,63,325,3768,4092,54583,18541,6692,25233,4026,83849,108231,..,..,..,..,108231,..,97,0,98,3,104,..,970,293,1262,12,1272,..,164,8,165,6,171,..,681,343,1021,12,1032,..,1081,590,1668,14,1682,..,178,96,277,0,276,..,1937,1025,2968,21,2988,..,527,88,617,13,630,..,158,3,160,0,162,..,199,15,221,3,221,..,441,24,464,0,466
CED410,6,742,..,6,0,11,0,11,..,48,4,45,0,45,..,379,78,460,6,460,..,314,42,357,0,360,..,259,48,311,3,311,..,8,0,8,0,8,..,104,18,126,0,126,..,164,3,166,0,166,..,125,12,138,0,138,..,262,8,274,0,275,..,150,5,156,0,157,..,704,30,732,3,731,..,354,34,384,3,392,..,282,19,299,0,299,..,109,17,128,0,129,..,36,3,39,0,39,..,354,82,438,6,440,..,1860,406,2266,53,2318,..,19258,3697,22951,230,23177,..,175,32,210,2670,2871,51664,19436,3726,23157,2894,77712,99597,..,..,..,..,99597,..,195,0,199,0,198,..,1052,137,1186,12,1196,..,41,3,42,0,47,..,2003,496,2498,9,2512,..,5901,1706,7614,24,7634,..,333,84,417,0,417,..,8238,2288,10524,40,10560,..,254,18,269,3,277,..,220,5,224,3,226,..,347,21,369,0,370,..,694,13,706,8,718
CED411,0,8,..,14,8,22,0,22,..,27,0,27,0,24,..,56,29,90,0,89,..,91,24,114,3,118,..,109,31,144,0,141,..,0,0,0,0,0,..,91,19,110,3,111,..,196,0,196,3,200,..,56,20,76,0,77,..,237,12,253,3,255,..,45,3,53,0,53,..,541,31,572,14,583,..,157,28,185,4,194,..,25,5,32,0,32,..,67,28,92,0,94,..,28,12,43,0,43,..,317,263,580,3,584,..,2172,1012,3184,71,3248,..,5966,2296,8264,133,8397,..,237,37,272,4850,5122,71036,6201,2331,8531,4984,84558,141217,..,..,..,..,141217,..,149,8,154,0,157,..,364,223,586,6,593,..,105,7,115,7,117,..,47,12,63,0,63,..,265,86,346,3,354,..,32,12,43,0,43,..,346,110,451,3,459,..,116,17,135,0,135,..,199,0,197,4,204,..,102,7,112,0,112,..,373,23,398,10,402
CED494,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,4,0,4,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,19,8,22,0,22,..,111,37,147,3,150,..,8,0,7,196,208,769,125,34,154,197,1129,1933,..,..,..,..,1933,..,3,0,3,0,3,..,10,0,10,0,10,..,20,0,15,0,22,..,9,7,12,0,12,..,16,27,48,0,48,..,3,3,5,0,5,..,29,36,64,0,63,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,10,3,9,..,21,0,21,0,21
CED497,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
CED501,0,111,..,23,3,32,0,32,..,9,0,9,0,9,..,53,4,61,0,60,..,103,9,113,0,113,..,106,12,124,0,122,..,41,0,48,0,48,..,177,40,217,7,219,..,479,11,488,3,497,..,212,9,224,0,229,..,718,30,748,13,761,..,210,14,223,0,224,..,1615,69,1684,19,1701,..,293,32,327,5,331,..,97,12,109,0,110,..,292,48,338,0,343,..,5,0,5,0,10,..,136,54,189,0,188,..,1760,244,2002,56,2060,..,7909,963,8874,130,9005,..,185,17,202,5214,5412,67605,8098,985,9077,5341,82028,134364,..,..,..,..,134364,..,1113,22,1136,5,1144,..,272,32,309,3,310,..,52,0,52,0,52,..,232,78,313,0,316,..,610,204,816,10,828,..,35,8,46,0,46,..,878,300,1176,13,1190,..,199,29,228,3,229,..,332,8,334,3,339,..,297,20,321,7,324,..,452,21,474,4,473
CED502,0,378,..,8,3,12,0,12,..,16,0,16,0,16,..,213,61,271,0,271,..,106,10,118,3,120,..,105,13,114,0,114,..,86,13,97,3,97,..,71,11,80,0,82,..,543,22,563,4,570,..,877,123,1000,10,1003,..,819,32,850,10,865,..,661,48,717,9,717,..,2902,222,3125,28,3152,..,290,34,326,5,328,..,845,140,989,15,1001,..,310,54,355,4,364,..,62,12,73,0,73,..,225,89,316,0,313,..,3816,940,4758,86,4845,..,19147,3957,23098,209,23311,..,238,46,285,4064,4355,56594,19382,4003,23384,4280,84254,113114,..,..,..,..,113114,..,1012,18,1028,12,1042,..,1583,272,1856,7,1866,..,92,5,98,3,98,..,1928,499,2424,10,2439,..,5484,2265,7744,31,7778,..,499,164,657,3,664,..,7903,2925,10828,51,10879,..,91,16,104,0,108,..,436,6,449,3,450,..,498,31,530,0,530,..,314,3,318,9,323
CED503,0,61,..,11,0,7,0,7,..,9,0,9,0,9,..,46,9,62,0,62,..,88,3,97,0,97,..,43,3,48,0,49,..,26,0,26,0,26,..,26,3,28,0,28,..,233,4,234,0,239,..,138,9,150,0,153,..,289,9,300,8,302,..,91,3,91,0,95,..,752,31,778,13,790,..,114,5,117,3,122,..,50,3,48,0,48,..,203,29,237,4,240,..,5,0,10,0,10,..,44,23,62,0,67,..,882,135,1017,27,1041,..,4734,499,5235,82,5314,..,197,12,210,4360,4571,64006,4936,512,5442,4438,73891,126118,..,..,..,..,126118,..,874,15,885,3,894,..,94,7,100,3,101,..,39,0,38,0,38,..,131,31,161,4,166,..,358,86,440,7,448,..,28,6,40,0,37,..,516,128,641,11,652,..,85,11,95,3,96,..,417,10,432,3,431,..,256,13,267,3,270,..,407,11,423,3,425
CED504,0,82,..,756,119,881,11,885,..,23,0,26,0,26,..,221,72,293,0,293,..,238,33,270,3,275,..,90,18,112,0,112,..,24,0,25,0,25,..,314,63,381,0,383,..,318,6,324,8,331,..,163,12,176,0,182,..,506,24,528,7,531,..,309,28,342,3,344,..,1292,75,1374,20,1391,..,345,50,392,3,399,..,150,15,157,0,157,..,241,50,294,5,302,..,16,3,17,0,17,..,2165,1479,3639,28,3667,..,3496,1104,4599,73,4672,..,15744,4261,19998,200,20201,..,190,41,237,3025,3255,50732,15934,4301,20235,3227,74189,101115,..,..,..,..,101115,..,1169,19,1185,5,1191,..,1874,409,2281,47,2330,..,29,3,28,0,28,..,884,352,1235,4,1238,..,1412,583,1996,10,2011,..,200,43,244,3,252,..,2499,977,3478,18,3499,..,389,63,449,5,453,..,225,3,234,8,241,..,563,24,585,3,586,..,366,12,383,9,387
CED505,3,166,..,68,9,73,0,77,..,3,0,3,0,3,..,213,39,251,0,252,..,229,21,247,0,253,..,172,21,195,0,198,..,10,0,9,0,9,..,108,16,121,0,123,..,73,0,77,0,77,..,275,18,296,0,299,..,128,0,126,0,126,..,130,3,133,0,133,..,607,32,637,0,635,..,420,46,461,3,465,..,160,14,173,0,173,..,126,15,139,0,140,..,24,0,27,0,27,..,222,41,262,0,262,..,1796,187,1988,24,2011,..,11381,1295,12674,102,12776,..,167,18,187,4324,4503,56285,11543,1309,12853,4421,73563,110186,..,..,..,..,110186,..,494,8,506,4,510,..,313,45,359,5,371,..,36,3,39,0,37,..,1201,182,1389,15,1402,..,3474,603,4078,12,4092,..,361,53,410,0,412,..,5035,840,5873,28,5901,..,194,9,202,0,206,..,435,15,447,3,453,..,1171,43,1213,13,1225,..,899,23,924,14,933
CED506,0,56,..,37,3,39,0,39,..,9,0,9,0,9,..,11,0,11,0,11,..,39,0,39,3,40,..,35,5,38,0,38,..,18,0,18,0,18,..,25,3,24,0,24,..,457,18,475,7,480,..,162,8,175,3,178,..,577,27,606,12,616,..,301,46,351,9,357,..,1498,104,1596,26,1623,..,101,5,104,0,104,..,56,5,61,0,66,..,351,48,392,9,396,..,6,0,7,0,7,..,127,87,210,0,213,..,971,111,1087,28,1112,..,8793,901,9693,253,9951,..,286,53,340,8660,9000,64113,9081,954,10034,8916,83060,138736,..,..,..,..,138736,..,819,9,827,5,829,..,133,14,149,3,150,..,6596,548,7147,286,7433,..,165,31,197,4,201,..,602,213,814,8,824,..,56,26,79,0,79,..,823,267,1094,11,1103,..,122,3,122,4,123,..,212,7,221,0,223,..,363,28,396,4,398,..,573,21,590,8,600
CED507,0,106,..,9,0,9,0,9,..,3,0,3,0,3,..,25,7,28,0,28,..,98,8,104,0,105,..,40,9,53,0,51,..,3,0,3,0,3,..,22,0,22,0,22,..,258,4,263,0,270,..,128,8,131,3,138,..,336,14,343,3,352,..,126,7,129,0,131,..,845,31,869,11,879,..,133,9,143,0,138,..,37,0,36,0,36,..,132,16,149,0,148,..,6,3,4,0,4,..,74,37,108,0,112,..,675,104,776,22,797,..,4551,565,5122,62,5182,..,175,15,187,4892,5083,64623,4732,577,5307,4955,74891,127124,..,..,..,..,127124,..,887,20,910,7,917,..,115,24,137,0,137,..,48,0,48,0,48,..,109,38,142,0,142,..,407,232,632,4,634,..,22,7,32,0,32,..,531,277,811,4,810,..,46,4,50,0,50,..,288,8,298,9,309,..,325,13,332,3,342,..,465,12,471,6,478
CED508,0,233,..,30,6,37,0,37,..,17,0,15,0,15,..,162,24,190,0,190,..,193,24,215,0,214,..,151,23,173,0,173,..,25,0,25,0,25,..,326,90,414,7,424,..,423,7,431,3,435,..,342,40,385,0,386,..,660,34,700,8,705,..,156,15,167,0,170,..,1581,99,1682,11,1693,..,552,72,624,7,632,..,124,9,129,0,129,..,206,42,251,3,254,..,42,5,53,0,53,..,135,48,186,0,185,..,2163,417,2576,40,2620,..,12470,2189,14661,132,14797,..,217,30,243,4664,4911,56174,12686,2219,14911,4796,75880,110501,..,..,..,..,110501,..,547,11,560,0,557,..,419,52,471,4,471,..,41,3,46,3,51,..,675,163,837,0,837,..,2148,806,2956,20,2973,..,141,45,183,0,184,..,2959,1016,3971,20,3991,..,1464,239,1706,20,1733,..,308,0,312,3,311,..,750,43,793,12,803,..,748,18,767,12,777
CED509,0,79,..,20,0,20,0,20,..,6,0,4,0,10,..,65,35,98,0,104,..,174,28,204,4,207,..,90,13,101,0,103,..,32,3,32,3,35,..,73,11,79,0,79,..,477,35,510,5,508,..,296,33,331,7,331,..,711,37,749,12,762,..,207,19,224,0,222,..,1682,124,1807,25,1825,..,146,16,164,0,166,..,201,50,257,4,258,..,217,45,257,0,260,..,56,19,74,0,74,..,149,65,213,0,215,..,2182,580,2764,47,2816,..,9532,1766,11299,142,11441,..,180,28,208,3813,4027,55279,9708,1797,11507,3961,70743,110897,..,..,..,..,110897,..,363,7,363,0,369,..,544,144,692,13,702,..,93,7,96,5,108,..,383,96,479,4,481,..,1160,465,1629,10,1633,..,73,14,90,3,94,..,1617,577,2198,12,2213,..,343,53,388,3,398,..,365,5,369,0,372,..,448,20,466,9,479,..,546,17,566,9,573
CED510,0,64,..,117,6,123,0,123,..,16,0,16,0,16,..,168,25,193,0,190,..,321,30,355,0,357,..,112,18,134,0,134,..,9,0,9,0,9,..,90,7,99,3,95,..,91,0,91,0,94,..,156,3,157,0,163,..,149,4,155,0,155,..,144,8,151,0,151,..,536,19,555,4,563,..,270,20,292,4,296,..,46,0,48,0,48,..,173,28,198,0,199,..,14,3,17,0,17,..,144,44,193,0,196,..,1037,132,1168,18,1184,..,7320,768,8087,67,8156,..,166,7,176,2346,2520,60041,7489,775,8267,2412,70718,119634,..,..,..,..,119634,..,1696,21,1721,13,1733,..,539,57,602,7,603,..,24,0,30,0,30,..,513,128,650,3,650,..,903,278,1173,9,1183,..,110,14,125,0,125,..,1530,417,1948,14,1959,..,180,16,192,3,198,..,324,6,329,3,329,..,557,20,573,10,581,..,812,13,830,6,834
CED511,0,21,..,38,4,44,0,46,..,0,0,0,0,0,..,27,3,33,0,38,..,80,6,87,0,87,..,36,8,39,0,39,..,25,0,23,0,23,..,13,0,13,0,13,..,334,12,353,0,354,..,94,13,106,0,106,..,382,13,401,8,405,..,155,42,194,0,193,..,968,77,1048,10,1058,..,71,0,71,3,74,..,28,0,25,0,27,..,168,28,198,3,202,..,4,3,4,0,4,..,38,28,61,0,64,..,876,209,1083,34,1125,..,5012,714,5722,154,5878,..,245,15,264,6489,6750,63931,5257,729,5982,6649,76555,129879,..,..,..,..,129879,..,923,16,943,6,946,..,76,9,80,0,80,..,1482,318,1807,142,1945,..,85,26,112,3,118,..,347,134,476,3,483,..,22,6,27,0,25,..,451,164,614,10,623,..,69,3,73,0,78,..,238,9,250,3,256,..,194,6,194,0,196,..,482,8,495,7,502
CED512,0,92,..,60,7,68,0,68,..,25,0,25,0,25,..,93,13,109,0,109,..,221,32,259,0,259,..,102,15,119,0,119,..,24,3,25,0,27,..,72,12,85,3,84,..,364,22,385,9,394,..,169,10,173,0,178,..,576,24,597,3,600,..,219,8,232,4,232,..,1324,66,1390,13,1404,..,327,36,363,3,367,..,138,9,150,0,150,..,206,32,244,3,246,..,4,0,4,0,4,..,246,118,361,3,363,..,2460,492,2950,68,3013,..,10692,1434,12126,156,12279,..,228,18,246,6550,6801,72720,10919,1454,12371,6706,91795,144401,..,..,..,..,144401,..,2597,45,2639,14,2656,..,802,146,945,16,964,..,100,5,101,3,108,..,313,79,399,3,398,..,809,260,1065,5,1074,..,57,9,71,0,71,..,1175,356,1534,9,1541,..,255,24,273,0,280,..,248,3,255,4,253,..,476,18,491,7,498,..,590,19,611,0,612
