CED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
CED136,399,667,466,288,327,68,30,2259,47,31,20,20,30,6,0,153,15,25,7,20,13,3,4,85,681,1165,844,588,813,201,94,4377,47,107,91,51,66,11,0,387,107,156,56,39,39,11,3,402,155,261,147,89,107,20,0,784,832,1431,992,683,918,221,94,5164,1241,1060,552,317,316,51,25,3569,10,25,14,8,7,0,0,60,2081,2506,1554,1002,1242,274,122,8787
CED137,153,296,179,125,200,136,79,1169,22,12,8,11,6,7,4,68,9,5,19,8,15,4,3,60,353,670,487,376,575,433,241,3136,12,12,9,15,25,9,12,92,18,34,18,15,29,20,12,154,33,47,28,29,57,37,21,245,383,714,511,402,629,468,269,3379,276,299,168,132,205,131,96,1299,7,3,0,0,3,0,3,12,664,1015,684,530,842,598,365,4693
CED138,285,691,517,343,489,124,23,2484,32,27,14,13,20,9,3,116,10,19,12,13,19,9,0,79,431,1051,852,659,942,250,73,4247,16,54,44,27,47,10,3,202,55,97,59,35,37,12,7,292,71,152,99,64,80,25,10,501,502,1205,950,717,1024,277,79,4749,632,674,367,228,273,63,24,2252,12,16,12,7,4,5,0,58,1139,1892,1325,956,1304,344,100,7062
CED139,293,608,377,270,332,43,6,1938,35,32,17,15,14,3,0,111,13,22,9,12,16,0,6,73,502,1098,744,570,817,122,35,3890,37,94,80,49,45,5,4,316,72,115,54,29,19,0,0,291,114,209,132,79,66,7,4,608,615,1309,881,651,880,134,39,4502,1149,936,461,277,310,43,17,3190,34,31,20,12,8,0,0,101,1794,2276,1354,938,1197,175,52,7786
CED140,209,566,383,263,347,78,39,1886,24,20,7,6,24,3,4,98,8,12,5,8,13,3,0,51,374,944,687,550,817,264,127,3763,20,69,32,23,37,11,4,194,56,92,37,24,26,9,3,246,76,159,71,49,65,19,5,442,449,1099,760,598,877,281,132,4200,656,551,329,201,234,59,32,2058,9,5,6,3,3,0,0,23,1115,1655,1089,799,1112,337,169,6282
CED141,310,625,409,274,366,108,34,2122,40,33,18,17,13,6,0,132,10,18,7,5,11,0,3,45,485,1020,761,561,834,287,120,4071,27,81,42,31,34,7,0,215,55,114,52,28,43,3,3,303,76,187,94,58,77,14,3,517,559,1206,859,627,905,299,125,4582,794,744,395,269,267,51,34,2539,10,13,4,3,10,0,0,42,1364,1962,1257,896,1176,347,161,7169
CED142,112,169,118,72,86,57,39,663,15,12,5,5,15,5,4,62,9,3,0,0,9,3,0,23,288,417,306,188,289,186,131,1801,6,19,11,13,13,12,0,73,19,13,16,3,15,8,5,88,26,37,26,17,28,18,7,159,312,451,337,207,312,200,137,1963,240,260,125,103,171,110,74,1083,5,3,3,3,0,0,0,17,553,714,461,309,490,314,215,3065
CED143,115,262,201,124,200,105,65,1076,23,12,0,5,8,0,0,53,0,8,7,7,9,0,3,40,258,650,520,374,620,289,179,2892,3,19,5,5,12,9,10,64,13,39,15,8,14,5,0,97,16,54,22,14,26,12,12,162,279,699,541,390,644,304,188,3050,126,164,132,78,111,69,40,724,3,9,4,3,0,0,0,25,411,875,673,476,760,373,228,3794
CED144,197,367,267,195,270,152,79,1529,30,10,15,3,11,3,3,81,15,19,17,14,22,16,5,113,404,708,579,422,650,400,222,3381,8,30,28,24,28,23,11,151,33,96,48,30,61,29,18,319,40,125,80,49,88,52,25,470,442,837,658,473,737,451,251,3851,758,848,496,307,415,244,138,3211,16,23,15,3,8,6,3,74,1220,1714,1168,788,1163,697,395,7138
CED145,123,243,151,106,143,82,61,909,9,10,3,0,7,3,3,39,4,3,5,4,9,0,0,31,274,628,402,259,409,245,176,2398,6,19,11,9,10,13,3,69,15,35,15,3,5,6,3,90,20,57,25,17,14,20,6,161,291,688,422,277,425,263,185,2558,97,139,123,79,119,74,46,693,4,8,3,3,3,6,0,22,397,838,550,359,546,349,236,3271
