CED_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
CED502,..,10779,10779,15693,1274,16969,10316,277,10591,10323,106,10430,4598,36,4636,2721,38,2762,43653,12514,56159
CED503,..,11769,11769,18807,1072,19881,7797,128,7923,7721,36,7759,3270,12,3288,1697,6,1701,39291,13025,52321
CED504,..,8751,8751,13687,966,14649,8741,223,8960,9722,95,9816,4043,40,4080,2422,31,2447,38602,10108,48709
CED505,..,14974,14974,16140,1734,17874,7224,649,7876,8251,247,8494,3378,70,3450,831,24,857,35821,17705,53527
CED506,..,14355,14355,17315,1339,18655,7635,289,7926,7943,74,8020,3846,19,3872,2372,19,2388,39111,16101,55216
CED507,..,12126,12126,18309,1158,19464,7761,221,7985,8093,69,8165,3334,22,3356,1319,14,1333,38821,13614,52427
CED508,..,13144,13144,16552,1542,18093,8803,427,9232,9045,167,9210,3234,53,3289,1212,18,1234,38837,15349,54191
CED509,..,10970,10970,16025,1126,17156,8114,223,8331,8049,84,8136,3497,32,3522,1830,29,1863,37511,12469,49978
CED510,..,8140,8140,15506,799,16303,8440,212,8653,10387,69,10459,3853,27,3877,1132,13,1143,39315,9261,48576
CED511,..,15214,15214,18920,1210,20131,7247,187,7437,7113,61,7179,3459,16,3481,1740,10,1750,38485,16704,55185
CED512,..,10564,10564,18833,1223,20058,10574,205,10782,11238,53,11297,4791,13,4806,2389,17,2401,47832,12076,59909
CED513,..,18045,18045,18690,2714,21403,8047,955,9000,7147,335,7487,2318,116,2434,896,71,963,37097,22229,59326
CED514,..,16209,16209,17292,1757,19052,8394,533,8923,7955,206,8163,2966,77,3046,1417,48,1469,38026,18831,56856
CED515,..,17450,17450,17836,2709,20542,8668,1144,9812,7637,567,8203,2837,255,3090,1473,135,1610,38452,22261,60718
CED516,..,10294,10294,14698,845,15542,7839,310,8150,9266,163,9432,3492,63,3560,1300,31,1333,36597,11706,48299
CED594,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,..,12187,12187,12757,1056,13817,5330,240,5572,4877,81,4951,1859,33,1892,862,15,879,25688,13607,39289
CED602,..,11851,11851,13428,797,14230,5162,79,5243,4463,30,4496,1802,6,1807,822,8,827,25677,12772,38452
CED603,..,13109,13109,12218,1446,13660,5512,535,6045,4748,212,4959,1791,69,1858,801,45,846,25073,15416,40488
CED604,..,10365,10365,13857,799,14659,5866,112,5974,5639,30,5665,2151,7,2160,900,5,901,28417,11312,39726
CED605,..,11001,11001,14622,829,15449,5384,54,5440,4751,14,4771,2004,6,2011,961,0,961,27720,11901,39625
CED694,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,..,6457,6457,7223,800,8019,3882,190,4073,4038,84,4121,2271,18,2290,3629,9,3642,21040,7558,28604
CED702,..,7870,7870,10566,1578,12151,6264,512,6773,5861,163,6024,2592,51,2643,1490,38,1523,26774,10213,36987
CED794,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,..,18783,18783,22094,1921,24012,10844,501,11348,10995,150,11150,4080,42,4120,1586,24,1604,49600,21421,71018
CED802,..,16896,16896,20757,2452,23215,11754,1181,12938,12283,430,12711,4504,148,4650,1967,92,2060,51265,21203,72475
CED894,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
