CED_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED303,866,795,1661,4293,4055,8349,1126,1083,2211,1110,1145,2254,6535,6283,12816,2859,2621,5485,921,861,1783,1594,1506,3105,5377,4992,10372,248,272,521,86,222,304,368,241,609,306,594,901,13,7,12,1020,1334,2351,1124,1531,2650,225,417,637,159,225,377,423,835,1256,5,15,20,1932,3012,4942,113,132,248,222,463,684,6,10,17,341,603,946,3596,3780,7381,19675,20804,40472
CED304,898,778,1677,3032,2935,5971,1343,1332,2675,334,403,734,4707,4677,9380,998,915,1914,1424,1258,2688,1215,1331,2546,3644,3504,7152,320,323,647,381,590,969,227,191,415,489,592,1081,3,5,13,1419,1705,3121,4182,5253,9433,1984,2053,4040,449,602,1046,1590,1962,3561,20,25,46,8228,9906,18131,547,711,1259,511,780,1298,3,14,15,1065,1502,2569,7133,6752,13888,27091,28822,55910
CED305,769,771,1544,4999,4528,9528,1495,1396,2887,462,527,990,6951,6453,13404,2738,2547,5286,1744,1550,3300,709,829,1539,5194,4928,10117,98,100,194,66,126,191,312,285,600,318,676,995,9,8,14,805,1191,1994,530,879,1407,233,467,695,178,343,527,514,1005,1520,3,10,15,1460,2703,4165,87,110,197,199,499,702,6,3,16,299,614,916,8843,6529,15371,24320,23189,47514
CED306,885,812,1698,4565,4239,8800,1575,1653,3224,755,655,1404,6891,6547,13434,3088,2958,6044,1417,1402,2816,582,595,1176,5090,4951,10040,118,122,242,75,168,251,303,254,560,263,709,969,8,9,19,766,1264,2032,574,938,1503,199,468,661,160,296,460,513,1016,1524,8,12,16,1443,2724,4164,94,103,198,208,483,692,5,14,20,305,606,910,8527,6424,14951,23914,23320,47235
CED307,1096,995,2090,5276,4810,10083,1297,1284,2585,1037,1063,2102,7612,7159,14771,3132,2871,6008,1153,1082,2239,1184,1206,2388,5475,5167,10634,213,230,441,112,256,372,345,218,570,356,638,997,7,11,16,1038,1356,2391,1329,1775,3108,325,553,872,174,249,426,630,1076,1704,7,16,27,2462,3670,6134,131,166,303,232,507,737,3,7,9,370,677,1046,3498,3428,6926,21546,22455,43998
CED308,1294,1164,2455,4809,4489,9294,955,946,1898,1331,1375,2711,7091,6808,13900,3399,3170,6568,645,638,1281,1341,1288,2638,5384,5103,10491,268,350,621,173,424,591,350,287,635,392,744,1137,18,13,30,1198,1819,3014,1790,2184,3973,609,800,1413,198,285,485,435,953,1385,11,24,37,3046,4251,7296,170,243,411,231,564,793,12,7,18,406,816,1225,6395,6763,13157,24818,26714,51537
CED309,939,862,1805,4718,4365,9079,743,778,1524,1296,1239,2533,6754,6387,13142,2830,2880,5714,724,739,1469,1319,1308,2625,4879,4925,9807,138,187,330,153,323,474,265,255,523,331,724,1055,0,9,11,893,1493,2390,907,1412,2312,477,874,1352,150,248,401,522,1172,1691,13,9,26,2064,3719,5783,120,183,299,226,491,715,10,11,16,354,679,1035,4884,4938,9824,20772,23011,43778
CED310,813,678,1494,4225,3952,8175,647,636,1277,1027,986,2010,5893,5571,11462,3049,2841,5892,579,607,1183,934,921,1860,4567,4377,8937,135,183,319,89,210,299,251,184,441,291,582,873,8,7,13,776,1164,1942,1002,1569,2567,413,749,1168,154,227,380,425,892,1320,10,12,22,2006,3459,5462,114,167,282,208,453,656,8,17,18,330,632,961,4489,4731,9224,18864,20615,39476
CED311,946,882,1831,5750,5315,11060,1338,1338,2680,549,519,1065,7634,7165,14802,3821,3663,7490,839,747,1585,424,411,839,5088,4822,9913,91,109,199,57,148,201,297,341,636,271,814,1078,10,16,25,717,1422,2135,204,414,618,119,316,439,109,255,362,399,1032,1433,0,12,11,836,2028,2870,106,130,238,225,528,754,9,14,24,340,670,1006,8141,7010,15152,23695,24003,47700
CED312,1281,1206,2483,6019,5724,11745,914,911,1823,1309,1290,2593,8245,7922,16164,3602,3398,6998,937,984,1923,1207,1252,2461,5750,5633,11384,261,380,639,150,433,580,409,300,712,385,771,1155,16,18,35,1221,1909,3124,923,1313,2236,310,596,901,153,224,377,394,838,1234,7,7,12,1784,2975,4759,186,292,472,241,611,848,9,13,18,431,913,1342,5383,5718,11101,24089,26271,50359
