CED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED329,26,21,47,352,221,577,11,4,14,0,0,3,36,27,70,17712,16600,34307,1230,1474,2706,719,20,734,446,59,509,305,105,404,332,150,481,940,905,1846,22112,19587,41699,3,3,4,0,0,0,0,0,0,23,14,36,0,0,0,0,0,0,23,16,37,3,0,3,0,0,0,19,8,29,17,28,48,12,3,17,55,41,92,230,97,325,303,154,456,5,3,11,13,6,21,18,4,20,34,16,48,1989,2526,4519,2397,3263,5659,349,334,685,27190,25877,53069
CED330,133,142,272,220,163,380,3,0,3,3,3,8,9,11,27,26276,22520,48793,1618,1847,3464,1482,41,1521,465,50,509,89,22,109,301,154,456,741,604,1345,31344,25555,56895,12,14,25,0,0,0,0,0,0,183,172,352,17,24,37,4,0,8,221,213,432,0,0,0,0,0,0,65,123,183,21,39,52,6,0,6,88,157,247,278,112,386,585,477,1064,51,40,91,19,9,26,20,0,24,86,57,139,2028,2873,4902,2804,4133,6935,387,328,716,37222,33419,70643
CED394,13,26,36,83,86,172,3,5,10,3,0,3,8,4,10,811,453,1259,162,174,334,35,5,36,20,3,23,24,14,41,63,38,100,182,223,407,1398,1030,2428,11,6,17,0,0,0,0,0,0,3,5,8,0,3,3,4,0,4,19,11,29,0,0,0,0,0,0,7,0,3,0,0,0,0,3,3,5,5,9,25,10,28,46,25,72,3,6,8,3,0,3,4,0,3,12,5,20,35,56,93,208,197,404,46,25,64,1743,1336,3087
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,0,3,3,0,0,0,0,0,0,0,0,0,0,3,5,4,0,4,11,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,15,38,0,0,0,31,33,60
CED401,241,180,422,2638,3400,6034,12,3,15,466,488,956,165,118,283,24472,19414,43882,1180,2390,3563,195,0,201,361,68,436,1632,790,2424,323,172,497,2517,2394,4907,34207,29412,63617,74,59,134,0,0,0,14,13,28,15,15,25,6,4,16,32,5,31,146,96,240,0,0,3,44,54,97,124,141,263,48,124,177,58,44,99,271,362,637,368,263,635,785,721,1507,26,27,53,43,48,98,26,18,46,100,100,195,1480,1754,3230,2836,4733,7562,299,252,558,39698,36968,76669
CED402,7,4,16,129,60,181,20,3,21,0,3,4,30,33,61,24808,20354,45163,1529,1729,3259,568,23,594,246,36,275,229,61,284,437,142,577,1503,1152,2659,29510,23588,53097,0,3,3,0,0,0,0,0,0,18,18,32,0,0,0,0,0,0,14,17,36,0,0,0,0,0,0,8,20,30,9,5,12,3,4,4,24,28,51,282,108,391,321,156,475,5,3,12,0,0,0,25,3,36,37,9,44,2401,2222,4616,2654,4232,6885,473,370,841,35382,30583,65967
CED403,1179,1091,2274,1192,1385,2575,5,0,8,83,133,219,81,33,112,23483,21059,44540,1057,1843,2897,276,10,277,290,36,322,727,181,910,304,90,391,619,568,1189,29290,26418,55717,99,83,184,0,0,0,9,22,32,176,202,376,21,37,58,36,11,44,346,355,695,0,0,0,10,9,18,77,150,228,34,79,114,18,11,27,137,250,383,348,284,631,830,884,1711,52,53,108,13,21,32,19,16,34,85,90,177,1240,1632,2869,2819,5172,7992,215,243,459,34487,34438,68926
CED404,10,4,16,579,98,675,9,3,15,4,3,3,73,56,129,19386,17043,36425,1447,1392,2845,423,8,436,226,32,258,275,67,343,509,131,641,1938,1680,3618,24882,20521,45402,3,0,3,0,0,0,0,0,0,8,3,14,0,0,0,0,0,0,11,3,15,0,0,0,0,0,0,91,0,95,7,4,15,12,5,14,115,13,125,245,73,314,366,89,456,0,4,6,11,5,13,27,7,37,41,14,55,2092,1938,4035,3067,3761,6832,412,368,781,30862,26688,57554
CED405,325,352,679,1844,2463,4301,9,4,14,541,759,1303,136,56,191,25026,20873,45900,1114,2157,3267,275,3,284,347,49,401,849,263,1115,331,108,444,665,732,1402,31467,27827,59292,75,60,131,0,0,0,18,15,31,42,50,94,12,13,23,11,4,10,150,144,292,0,0,0,51,56,108,84,126,208,41,104,147,39,26,59,217,316,529,409,381,796,774,838,1610,31,16,51,33,45,77,24,12,34,91,77,167,1109,1356,2465,2767,4678,7444,304,264,570,36510,35037,71553
CED406,703,788,1493,701,824,1530,7,0,7,18,30,52,42,24,73,24786,21146,45931,1277,1514,2794,431,9,447,284,23,304,152,31,188,361,78,434,359,369,728,29141,24843,53977,143,108,246,0,0,0,12,6,12,210,249,463,18,39,59,21,3,31,403,405,811,0,0,0,5,7,13,47,121,172,31,50,84,3,3,7,92,182,272,304,207,515,800,796,1596,65,82,152,12,5,14,14,3,20,87,101,185,724,1121,1846,2840,4992,7829,278,253,528,33871,32102,65975
CED407,210,262,469,1908,2790,4698,5,5,12,5,6,8,82,26,110,26785,21401,48188,1184,1708,2890,377,17,392,272,29,298,238,18,257,326,97,419,374,346,720,31771,26691,58463,56,50,110,0,0,0,9,6,11,48,51,105,5,12,13,0,3,8,124,119,247,0,0,0,5,20,33,239,485,724,47,121,168,18,16,38,311,644,953,272,115,388,703,880,1582,17,42,54,17,25,43,9,3,12,38,75,114,718,1140,1852,2552,4397,6943,254,226,480,36041,33399,69438
CED408,75,57,128,633,632,1261,4,7,7,4,5,14,24,27,44,22485,19407,41891,1009,1464,2471,496,13,507,204,18,214,194,46,239,333,107,444,987,773,1756,26442,22554,48995,20,14,32,0,0,0,3,0,3,57,59,119,10,0,8,3,3,3,90,76,166,0,0,0,3,0,3,206,291,494,39,64,101,10,5,18,260,359,622,238,115,352,583,556,1145,19,15,35,18,24,40,16,4,24,56,41,96,2206,2497,4712,2987,4899,7886,279,302,584,32563,30848,63407
CED409,932,1344,2280,741,997,1737,15,3,18,50,120,173,90,52,137,27195,21557,48749,1459,2180,3636,410,11,421,326,29,359,462,111,577,328,101,436,518,572,1089,32526,27077,59604,171,186,356,0,0,0,21,42,55,106,183,289,18,35,56,26,12,35,338,455,795,0,0,0,8,7,19,37,89,126,31,83,114,10,8,18,89,189,274,367,337,702,784,981,1769,82,115,197,9,17,25,14,8,21,101,144,242,615,948,1568,2593,4326,6919,357,286,634,36980,33755,70735
