CED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
CED604,7,71,193,9,26,136,446,0,206,16,6,3,5,245,28,414,145,52,17,6,662,108,314,240,105,29,11,798,163,131,260,45,20,5,615,641,141,542,30,71,10,1424,1366,47,851,7,67,4,2348,925,17,423,4,29,4,1400,181,4,58,3,0,0,247,33,3,8,0,3,0,44,10,3,3,0,0,0,13,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,6,3,0,0,0,14,59,58,60,12,17,13,219,3520,1417,2788,273,285,202,8487
CED605,12,99,356,12,193,278,947,11,164,62,16,19,3,274,73,370,292,86,71,14,905,370,418,558,108,100,23,1572,499,206,461,29,66,12,1272,1032,103,675,3,64,11,1875,753,19,499,3,46,7,1330,247,9,115,0,10,3,376,21,4,10,3,0,0,35,7,0,7,0,0,0,13,0,0,3,0,0,0,8,4,0,0,0,0,0,10,0,0,3,0,0,0,3,3,3,3,0,0,0,8,48,80,110,14,77,17,350,3079,1468,3150,268,650,365,8977
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,66,2354,131,679,1581,563,5378,3,749,5,78,265,6,1112,15,769,68,113,280,6,1253,30,429,94,58,265,12,889,55,131,119,67,78,0,453,163,107,153,19,258,7,706,384,59,241,7,95,11,798,699,64,368,6,81,5,1223,575,23,306,4,66,4,975,280,9,124,0,28,0,443,135,4,40,0,8,0,192,58,3,23,0,6,0,91,14,3,6,0,0,0,23,13,0,8,0,18,0,41,54,659,102,141,546,41,1543,2543,5373,1793,1181,3580,656,15126
CED702,43,478,135,33,200,105,995,0,481,4,20,3,6,508,17,526,43,44,27,8,670,43,295,69,35,23,6,464,65,86,92,10,82,0,338,179,152,134,9,752,7,1227,809,103,328,13,314,9,1570,2166,101,853,17,154,22,3313,2416,92,892,3,119,9,3535,1721,20,481,0,54,7,2276,916,3,228,0,23,5,1181,419,0,79,0,18,3,515,170,10,42,0,9,0,231,198,0,58,0,23,3,278,202,153,117,17,276,26,795,9368,2501,3556,188,2072,208,17895
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,20,312,240,34,34,177,823,7,673,14,37,10,3,745,33,1274,102,55,39,9,1512,77,624,151,76,21,6,953,82,256,130,21,40,4,536,301,295,200,16,182,8,1010,1129,271,529,25,181,7,2142,4212,282,1531,17,132,19,6188,2709,85,992,4,91,11,3890,1135,7,299,0,21,4,1470,406,4,118,0,15,0,546,215,3,64,0,7,0,285,124,0,36,0,6,0,165,153,14,50,3,9,0,231,157,238,138,23,52,22,625,10760,4339,4599,313,850,262,21124
CED802,20,254,260,37,33,137,739,0,612,10,12,5,3,640,42,1281,87,40,13,9,1469,90,640,210,52,25,3,1026,68,267,156,26,37,4,557,309,310,230,45,295,3,1196,2174,277,755,88,506,7,3800,5299,290,1849,30,285,24,7774,2957,50,1193,5,103,11,4322,1046,11,397,6,45,3,1514,274,3,159,0,12,0,455,86,0,62,3,11,0,158,32,0,25,0,3,0,61,62,7,38,0,4,0,112,144,253,164,32,50,24,674,12601,4249,5602,370,1437,234,24494
