CED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED321,175,1187,6524,22683,14636,2697,660,1277,49845,12,232,978,343,62,7,3,100,1732,0,7,68,42,5,4,0,3,131,12,245,1047,381,64,7,3,102,1866,11,244,941,246,34,0,0,96,1576,0,0,3,0,0,0,0,0,3,0,0,7,3,0,0,0,0,10,0,4,4,0,0,0,3,3,11,11,245,955,247,34,3,3,103,1598,162,294,115,109,54,14,23,107,886,8,33,72,168,86,23,19,39,435,367,1994,8716,23591,14881,2747,708,1631,54631
CED322,38,178,1347,13710,12901,2653,544,574,31939,42,155,1523,1616,71,3,3,108,3530,4,138,1719,6272,746,50,23,197,9159,54,292,3244,7891,822,55,26,301,12688,64,504,1469,300,47,6,10,125,2531,5,542,2800,580,17,3,4,114,4076,40,450,2140,644,35,0,3,80,3396,0,11,3,0,0,0,0,0,16,108,1509,6422,1524,110,14,11,321,10014,24,49,56,26,12,5,0,17,185,3,21,43,41,18,11,3,18,154,223,2053,11105,23193,13855,2739,579,1228,54977
CED323,19,167,1271,12482,9196,2398,542,586,26662,22,242,2272,1228,80,10,9,268,4130,13,280,2429,4353,579,54,16,199,7923,30,519,4705,5586,658,69,21,471,12049,75,840,2312,745,73,16,14,175,4252,30,1467,4217,549,25,4,3,277,6570,179,3246,6173,1589,76,10,13,367,11654,0,10,8,0,0,0,0,0,14,285,5559,12701,2893,176,32,29,813,22490,78,282,173,36,15,0,0,38,622,4,42,94,80,30,7,3,105,361,422,6568,18941,21079,10073,2503,592,2008,62189
CED324,45,294,2525,16889,13796,4584,1276,786,40197,6,88,342,436,50,8,4,247,1179,12,256,1232,4248,296,15,0,159,6220,17,339,1575,4690,344,22,7,406,7400,23,734,1346,321,49,7,9,83,2572,40,244,1166,200,16,4,0,32,1707,9,55,300,231,9,3,0,13,622,0,3,8,0,0,0,0,0,11,70,1049,2820,751,73,11,9,136,4917,13,46,24,18,4,0,0,12,120,4,45,49,40,47,15,0,115,316,152,1777,6993,22389,14274,4634,1299,1444,52950
CED325,56,228,1721,18876,19667,3293,582,871,45284,14,144,734,481,63,0,3,66,1505,7,39,519,2506,139,17,3,84,3318,27,177,1255,2980,205,17,4,156,4828,24,166,184,54,3,0,0,33,471,0,0,62,18,0,0,0,5,96,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,4,22,174,251,77,6,0,0,40,575,23,108,63,54,18,3,0,19,287,0,12,12,61,13,0,3,23,133,129,697,3306,22051,19911,3317,588,1107,51109
CED326,47,333,3567,19357,18432,2907,523,812,45978,7,279,1390,1085,54,4,3,103,2925,9,118,800,2927,317,3,0,103,4288,18,402,2189,4011,369,5,6,203,7213,40,602,1353,626,52,6,4,110,2795,20,140,443,242,11,0,0,35,884,36,174,777,757,14,0,3,29,1790,0,0,6,0,0,0,0,0,7,101,915,2574,1619,85,14,5,176,5481,92,243,77,30,9,3,0,29,482,16,18,30,78,31,3,0,32,203,268,1909,8439,25092,18929,2930,537,1251,59353
CED327,51,187,851,21218,18948,3603,682,905,46445,14,83,748,630,67,8,3,54,1604,14,141,1961,4030,220,16,7,164,6546,26,221,2708,4665,290,21,11,217,8156,3,269,514,167,11,3,0,55,1010,0,11,24,37,17,0,0,4,94,0,12,15,7,3,0,0,0,41,0,3,17,8,0,0,0,10,39,4,288,575,221,25,3,3,71,1189,26,77,42,84,19,4,0,21,279,0,35,31,45,19,3,0,22,149,113,814,4199,26234,19295,3630,701,1234,56220
CED328,27,220,1835,13262,16880,5065,1169,521,38980,4,84,262,180,25,3,0,35,583,0,77,535,1214,138,28,4,60,2043,4,152,797,1386,155,31,4,92,2629,21,462,1524,723,93,12,19,68,2921,23,430,3605,861,48,10,10,79,5062,15,278,2187,946,46,3,3,52,3529,0,3,3,0,0,0,0,0,3,57,1171,7314,2535,183,25,28,194,11513,0,0,4,14,8,9,0,0,38,0,17,42,33,31,6,11,53,198,93,1560,9996,17229,17265,5143,1210,860,53354
CED329,172,927,5849,22627,13719,2336,470,1054,47150,13,308,1094,493,42,7,0,109,2070,18,173,911,649,47,0,0,63,1850,29,479,2005,1145,85,11,4,172,3924,34,388,954,270,19,4,4,90,1759,0,45,284,97,0,0,0,10,438,0,3,35,58,3,0,0,0,100,0,3,3,0,0,0,0,0,6,35,442,1272,419,27,7,4,98,2305,165,336,141,79,44,8,3,77,854,18,43,73,100,56,14,3,51,355,422,2228,9332,24363,13923,2369,485,1457,54584
CED330,106,612,3285,16443,19904,4466,1459,987,47261,24,84,495,266,28,8,9,40,957,0,5,173,106,54,3,0,9,352,23,97,669,372,87,15,9,46,1303,0,45,248,67,32,0,0,26,423,8,11,20,0,0,0,0,3,45,0,0,0,0,0,0,0,0,3,0,4,3,4,0,0,3,0,10,11,65,271,74,31,3,4,28,482,56,151,74,155,71,24,9,113,648,3,21,35,52,66,17,11,145,342,193,939,4339,17090,20151,4532,1486,1314,50044
