CED_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED132,1998,3046,5040,9236,11091,20320,4,0,12,466,614,1080,8,4,10,18426,20679,39104,52,70,120,1291,1484,2775,55,80,139,28,24,52,224,249,471,416,460,872,228,325,556,454,600,1056,1549,1795,3347,21,21,44,64,68,133,1364,1888,3251,1071,1386,2459,46,58,105,35007,40902,75911,2257,2037,4292,830,814,1646,836,951,1785,3,3,6,121,140,260,292,364,658,417,508,922,28474,27243,55714,312,309,621,120,159,283,28907,27716,56624,7552,7749,15301,77797,83725,161526
CED133,626,885,1505,15272,17142,32410,0,0,0,931,1045,1976,4,18,22,15644,17140,32781,38,43,80,128,131,260,440,540,977,90,132,225,162,202,363,6,9,19,191,215,405,701,821,1524,3901,4175,8071,257,290,554,320,400,726,3137,3823,6961,1601,1855,3453,207,214,427,43032,48202,91233,161,154,317,162,107,269,35,37,74,34,44,76,566,527,1096,282,499,784,881,1073,1957,24332,21752,46085,262,214,477,154,257,413,24749,22221,46972,8759,8026,16787,78413,80694,159107
CED134,281,399,677,18385,19622,38013,0,0,3,773,902,1674,100,97,199,20034,21613,41650,43,50,98,208,207,414,155,200,354,68,96,163,321,365,686,35,31,71,202,233,438,557,687,1245,3184,3212,6395,275,367,636,241,281,518,3467,4203,7671,1251,1398,2650,33,42,81,49342,53613,102954,376,352,735,265,205,473,17,19,36,60,57,119,64,45,111,91,111,199,217,211,429,16575,13995,30577,114,89,200,52,87,134,16740,14175,30915,9149,8405,17553,76385,77385,153769
CED135,2771,3602,6370,5432,6096,11528,33,31,69,1227,1343,2568,103,111,214,18930,20468,39400,109,148,259,1764,1828,3587,155,206,366,218,217,436,78,89,161,465,475,942,496,526,1022,890,1061,1956,1919,2037,3956,78,95,170,176,231,400,1449,1776,3226,1914,2137,4050,69,83,150,35502,38956,74461,16609,14418,31023,9222,7904,17128,56,55,107,0,4,0,1965,1423,3387,763,839,1596,2724,2260,4986,18417,16127,34543,219,144,365,91,112,200,18730,16378,35106,8792,8348,17137,94404,91916,186320
CED136,434,612,1053,18143,20275,38418,4,0,5,1468,1537,2999,98,91,194,17532,19133,36665,81,91,170,262,262,518,185,259,442,188,198,385,149,169,320,16,16,28,382,390,771,730,837,1573,2362,2680,5036,340,409,743,178,214,395,3459,4265,7720,1539,1767,3314,35,38,69,47144,52627,99772,233,266,492,228,179,406,33,32,63,14,12,32,82,83,166,135,240,375,238,333,573,21120,18377,39499,240,200,440,69,130,198,21434,18704,40141,6685,6450,13136,76430,79208,155634
CED137,3622,5314,8941,4825,5777,10596,24,33,57,819,916,1733,27,24,50,23026,25481,48509,26,38,66,2822,3206,6024,148,206,352,72,65,138,99,138,234,412,434,847,239,273,517,534,689,1222,2562,3105,5669,50,67,115,110,109,223,1498,1738,3240,1413,1768,3181,62,56,119,38765,44136,82895,7243,5671,12905,2772,2231,5004,134,132,267,3,4,9,316,231,547,280,312,585,599,540,1139,26328,24915,51240,208,158,364,85,103,187,26620,25177,51801,9874,8524,18389,89626,91718,181347
CED138,870,1343,2213,12233,14570,26804,0,0,0,555,640,1198,3,4,5,14502,16517,31023,69,96,168,249,231,481,447,573,1018,51,68,124,200,240,436,14,13,28,175,219,397,722,946,1669,2595,2906,5497,110,180,288,382,469,851,2263,2958,5224,1464,1709,3180,51,63,114,36089,42405,78498,394,371,763,104,79,180,221,206,421,32,34,65,169,141,311,260,444,701,463,615,1075,26253,24627,50886,263,200,465,248,467,717,26761,25301,52065,8857,8834,17687,73762,79145,152913
CED139,339,342,679,17183,18804,35982,0,0,0,1045,1104,2148,248,273,518,22693,24561,47249,50,47,102,171,176,352,201,269,468,69,90,163,675,838,1510,95,98,196,222,211,432,580,659,1244,3511,3776,7288,204,260,459,152,164,318,3759,4274,8027,1295,1476,2776,35,34,69,52197,57116,109317,327,253,580,478,415,897,17,17,33,24,18,43,73,58,129,111,141,256,209,221,428,15336,13244,28585,145,109,252,62,68,131,15542,13420,28963,8058,6833,14890,77163,78628,155793
CED140,652,1005,1664,13644,16336,29984,3,5,11,1135,1283,2426,40,57,95,16012,18187,34203,124,150,272,500,493,991,218,295,511,128,143,274,184,213,394,59,46,101,758,828,1584,707,920,1624,1753,2055,3809,137,195,330,315,345,657,2109,2768,4872,1554,1809,3366,90,105,194,39454,46234,85687,322,305,622,251,239,487,87,120,214,18,15,30,61,59,119,143,211,356,224,281,508,21945,19390,41340,253,203,451,130,187,316,22323,19786,42106,5979,5828,11813,69297,73802,143103
CED141,480,694,1169,14753,17300,32048,0,0,0,1445,1613,3056,40,31,66,15516,17246,32766,22,55,80,579,572,1151,228,294,520,144,190,336,160,201,356,14,7,23,279,310,587,901,1048,1948,2138,2388,4521,231,292,525,212,265,474,3394,4494,7891,1405,1593,2992,104,120,222,41552,48015,89568,212,195,402,149,140,288,34,34,66,14,14,28,45,33,82,131,187,319,191,239,431,22451,19310,41760,238,186,430,86,126,216,22780,19625,42397,5152,5004,10160,70552,73937,144482
