CED_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
CED141,76,314,264,276,549,464,258,322,17,2532,77,225,175,173,382,411,113,247,424,2225,2340,7675,7195,7579,11796,11358,5502,7734,913,62084
CED142,81,338,365,308,642,587,297,442,47,3102,150,366,704,296,584,1001,369,739,947,5162,3042,8509,13685,7580,18376,25388,12571,21336,1899,112396
CED143,54,384,267,253,370,398,241,372,32,2366,81,335,281,278,361,737,241,628,480,3435,2296,7996,7743,7108,9936,16376,8504,16454,1054,77468
CED144,56,395,349,287,621,596,264,307,50,2930,112,464,471,362,790,766,233,287,1211,4696,1800,7704,8649,7581,15497,14574,5403,7171,2186,70559
CED145,52,308,252,263,352,419,189,326,20,2181,87,366,336,267,328,780,262,717,584,3725,2090,6991,7327,6788,9413,17037,8784,19205,1144,78789
CED146,48,303,288,256,628,564,247,322,47,2693,114,392,326,352,1066,884,252,348,1037,4759,1744,6607,6412,6981,17519,15494,5562,7766,1996,70082
CED147,89,314,283,326,587,568,269,380,26,2840,103,257,215,211,443,482,188,330,487,2715,2408,7659,7111,7818,12711,11452,5711,8466,1073,64394
CED194,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
CED197,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
CED201,62,318,285,330,610,561,253,375,25,2823,93,308,250,270,712,662,226,340,544,3418,2054,8403,6911,7603,14348,14104,6140,7942,1088,68598
CED202,78,355,230,296,460,395,232,317,26,2392,109,282,179,190,363,418,159,299,575,2569,2769,9251,7362,8427,12057,11684,6344,9229,1323,68436
CED203,58,328,330,312,564,497,204,273,30,2598,98,330,321,292,609,605,195,344,685,3481,2349,9038,8883,9084,14935,15317,7351,9643,1481,78078
CED204,83,332,218,308,448,398,248,343,20,2396,113,304,170,214,372,369,155,299,472,2471,2835,9076,7308,8528,11640,10812,5910,8532,1176,65812
CED205,40,315,319,258,581,455,170,247,34,2427,94,389,377,327,904,766,236,285,896,4273,1632,7939,7200,7071,15002,13277,5081,6345,1613,65151
CED206,61,322,270,288,589,504,236,278,40,2594,84,411,307,316,786,625,195,307,1020,4057,1863,8129,7040,7431,14936,13093,5276,6973,1931,66675
CED207,94,408,335,345,651,662,346,471,32,3339,145,367,253,290,630,681,263,438,588,3651,2623,8984,7358,8052,12840,13334,6814,9253,1296,70554
CED208,61,364,332,303,501,422,201,261,22,2474,89,378,359,226,530,638,175,276,604,3277,2095,10348,8574,7668,13168,14841,6150,8424,1208,72477
CED209,60,411,248,288,435,419,180,302,34,2385,101,332,219,213,307,403,147,320,519,2573,2989,10343,8332,8693,11231,12212,6244,10132,1224,71401
CED210,71,327,247,278,493,458,197,288,25,2381,118,281,188,222,431,468,164,280,612,2763,2513,8552,7078,7789,11904,11758,5531,7898,1257,64284
CED211,59,340,306,302,557,469,256,381,21,2703,71,304,220,241,557,544,186,316,518,2958,2133,8932,7472,7796,13281,14137,6601,8654,1070,70071
CED212,78,357,270,304,467,519,218,307,33,2564,111,351,233,248,585,682,230,423,594,3456,2279,8420,6979,8010,11954,12750,6469,9076,1212,67140
CED213,92,392,289,343,447,494,253,378,17,2699,142,356,286,270,447,538,190,391,588,3200,2727,9340,7467,8550,10458,11863,5930,9603,1349,67294
CED214,79,331,320,291,609,506,224,292,18,2671,112,356,365,317,714,696,226,388,757,3934,2523,7945,8460,8413,15678,16066,7662,10408,1479,78644
CED215,58,314,203,245,362,405,178,317,26,2113,118,213,172,182,295,353,121,294,549,2298,2809,7739,6275,7152,9664,8870,5082,8868,1219,57676
CED216,59,383,259,258,301,304,170,306,15,2056,77,436,259,304,312,598,211,558,458,3219,2061,9608,7840,7784,8981,13745,6837,13341,992,71187
CED217,69,381,313,339,731,626,290,366,44,3162,137,417,284,387,1045,885,228,340,1039,4760,2655,8950,7783,9215,19706,17966,7054,8931,2104,84360
CED218,33,313,236,268,382,336,220,296,23,2098,68,380,289,231,384,633,210,528,585,3308,2178,9107,8027,7619,12457,17050,8854,15272,1129,81684
CED219,79,437,326,356,896,748,374,357,45,3615,153,458,343,441,1425,1109,333,428,1123,5807,2551,9129,7931,10037,22790,17944,7727,8581,2108,88803
CED220,39,381,363,311,583,506,242,353,37,2826,80,342,352,284,862,703,205,316,733,3881,1843,8393,7617,7491,14530,14154,5957,7783,1375,69157
CED221,64,294,201,256,412,457,214,327,34,2271,160,269,171,189,363,428,154,309,533,2579,2814,7539,6585,8061,10525,10567,5807,9651,1280,62829
CED222,65,395,290,303,623,563,274,357,39,2906,112,333,317,323,878,820,287,411,733,4209,2377,8390,7362,8115,15640,15613,7332,9447,1461,75735
CED223,57,341,273,292,381,412,202,340,18,2319,78,302,180,237,361,462,162,338,470,2586,2282,9010,7694,8027,11151,13647,6770,10083,1017,69680
CED224,51,320,217,177,299,275,167,237,12,1758,96,367,284,240,272,466,159,445,498,2833,2023,10088,7700,7244,9620,13564,6841,13247,1034,71365
CED225,77,371,308,354,633,683,339,505,38,3317,102,378,278,324,718,766,273,490,582,3906,2541,9738,8009,8889,14809,15451,7414,10692,1270,78807
CED226,82,430,320,318,864,684,292,344,48,3389,129,423,405,387,1024,1051,289,432,1210,5354,3082,10276,9896,10738,24685,23504,8907,11617,2336,105043
CED227,62,247,186,220,445,455,176,284,32,2103,127,244,174,209,337,408,119,282,594,2491,2434,7115,5689,7117,10212,10235,4871,9651,1393,58717
CED228,65,359,362,313,588,507,231,300,44,2773,121,425,419,310,807,711,202,355,911,4262,2231,8630,8382,7863,15140,15299,6328,9379,1775,75035
CED229,109,465,384,375,838,804,413,572,40,4010,154,441,322,335,833,899,276,478,846,4572,3600,10770,9898,10932,20181,19871,9377,13118,1955,99701
CED230,87,383,297,314,618,584,280,440,35,3031,156,352,232,246,499,538,225,402,714,3368,2916,9145,7665,8555,12392,12194,6498,10623,1576,71572
CED231,87,340,327,341,580,489,284,335,32,2809,130,431,435,280,549,741,296,549,778,4187,3179,11160,11153,9327,17461,23395,11484,17295,1746,106199
CED232,52,304,276,317,479,470,274,390,18,2578,109,354,315,287,434,760,284,628,615,3775,2473,7754,7780,8163,14282,20045,10238,17066,1235,89039
CED233,49,348,254,278,459,436,204,341,27,2393,79,315,255,224,410,536,172,382,571,2943,1790,9087,7137,7048,10531,12876,5615,9153,1105,64351
CED234,77,304,213,251,500,488,223,304,29,2377,157,239,168,185,385,403,164,325,678,2713,2709,7284,5888,7410,10317,10331,5592,9897,1472,60900
CED235,57,401,325,364,662,562,250,324,45,2991,132,412,293,304,959,714,223,319,869,4227,2362,8905,7957,8553,17057,15183,6109,7815,1778,75723
CED236,60,316,199,199,361,362,158,252,31,1937,136,246,156,174,308,327,130,278,536,2297,2682,7743,6160,7153,8711,9161,5024,9952,1291,57866
CED237,67,357,294,337,651,512,291,350,47,2902,111,321,303,266,515,644,220,344,808,3533,2549,8911,9123,9448,16384,17092,8224,10676,1608,84018
CED294,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
CED301,73,306,219,315,590,428,295,333,30,2580,103,215,175,235,595,506,208,358,557,2949,2420,6413,5668,7888,14782,11380,6482,9334,1230,65595
