CED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED503,14198,1469,271,338,36,16321,21102,588,152,47,42,21930,4816,958,235,8,12,6045,396,455,73,3,0,930,3046,383,121,25,11,3584,115,105,78,0,0,301,351,51,31,111,8,549,188,31,18,6,3,241,8906,1991,555,159,37,11654,421,358,330,8,3,1121,945,202,73,50,33,1302,45574,4604,1383,604,159,52321
CED504,11795,918,51,175,5,12951,23157,1585,11,5,21,24783,3638,869,21,0,3,4530,541,730,36,0,0,1309,2632,376,10,11,3,3026,46,63,0,0,0,107,335,44,0,22,0,410,126,30,0,0,0,161,7316,2108,69,40,8,9531,212,214,29,0,0,448,821,143,11,8,3,991,43304,4968,168,232,37,48709
CED505,13476,3143,1627,3,20,18271,11498,3511,1397,9,34,16453,3159,2923,3785,6,10,9887,298,765,542,0,5,1614,1876,1321,1281,4,9,4490,34,81,109,0,0,220,191,100,156,0,10,454,124,81,58,3,7,277,5681,5272,5936,11,39,16945,145,104,412,0,3,659,593,272,318,0,19,1203,31393,12301,9689,31,117,53527
CED506,11479,395,74,1189,128,13263,11384,309,95,177,68,12029,5220,1019,636,39,27,6948,4909,906,301,29,51,6192,3473,310,119,128,35,4061,619,97,39,11,9,777,6983,772,412,318,95,8582,709,49,29,49,27,869,21915,3157,1541,573,244,27437,415,52,12,63,24,559,1328,199,88,219,102,1932,46518,4105,1812,2219,560,55216
CED507,14640,834,172,575,61,16280,19404,563,56,71,64,20166,5345,1065,251,8,13,6682,811,838,110,0,3,1756,3825,429,75,33,23,4387,59,96,110,3,0,274,455,75,15,141,22,701,276,46,10,10,4,348,10769,2550,583,192,74,14156,299,161,124,13,3,602,923,157,58,42,38,1224,46038,4260,996,902,238,52427
CED508,12246,2138,463,178,24,15056,19371,2577,825,17,49,22837,4197,1915,1306,9,31,7448,816,1210,409,0,4,2442,2586,913,379,8,14,3902,64,118,37,3,0,211,228,112,32,31,12,413,157,46,26,3,3,235,8046,4309,2182,58,57,14657,196,138,20,3,4,356,818,245,108,8,96,1281,40680,9414,3595,272,231,54191
CED509,14455,843,26,218,22,15568,21735,834,101,53,35,22758,3317,1161,217,10,26,4731,552,554,105,0,4,1221,2849,490,36,26,14,3414,51,104,46,7,9,212,237,51,8,36,0,342,185,30,5,4,4,223,7184,2396,420,81,58,10140,185,241,3,6,0,435,871,149,17,31,16,1078,44433,4456,572,388,133,49978
CED510,14907,1314,233,45,8,16505,21265,1172,164,17,17,22630,3629,755,484,3,10,4881,131,168,27,0,0,328,2267,463,178,9,6,2928,30,17,0,0,0,47,113,18,12,6,7,159,81,14,6,3,0,106,6255,1433,705,23,26,8441,148,39,9,0,0,199,611,127,46,3,11,796,43191,4090,1153,84,61,48576
CED511,17708,470,37,367,139,18728,16757,370,31,76,87,17318,4509,1043,227,14,15,5805,2033,772,110,4,19,2940,4326,298,55,34,29,4750,213,264,94,20,4,595,1668,232,32,159,53,2145,623,58,11,13,4,710,13372,2669,532,248,129,16950,415,113,4,30,11,568,1275,207,29,56,51,1620,49527,3831,628,777,422,55185
CED512,10757,814,25,117,45,11758,31028,1811,44,51,64,32997,6147,979,161,3,11,7305,901,340,69,0,0,1317,3323,296,23,13,20,3665,74,50,14,0,0,139,432,40,10,17,10,502,224,18,10,3,0,255,11102,1717,284,35,40,13183,332,363,4,3,5,706,1054,146,20,15,33,1270,54266,4852,376,221,193,59909
