CED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED516,53781,58266,112054,23963,13225,37186,8024,15893,23923,1352,1508,2860,2932,2313,5241,36272,32940,69211,15116,22719,37829,8.1,7,7.6,67.4,56.5,61.8,62,52.6,57.1,4251,3365,7620,1243,2068,3312,11895,13658,25552,5110,6204,11316,9255,3842,13098,339,594,932,742,1465,2206,10330,5903,16233,52276,55645,107919,9096,9484,18575,35860,38608,74465,23890,24918,48800
CED594,3336,2220,5559,776,364,1143,222,206,431,125,74,195,303,143,444,1428,792,2215,962,882,1845,21.2,18.1,20,42.8,35.7,39.8,33.7,29,31.8,62,54,117,16,32,48,225,302,522,151,155,308,748,217,969,28,37,65,51,63,114,829,317,1147,814,434,1248,1691,1346,3036,493,234,725,1945,1495,3440
CED597,408,26,434,286,17,301,20,3,23,15,0,18,0,0,0,322,17,341,11,6,20,0,0,0,78.9,65.4,78.6,78.7,76.9,78.8,9,0,9,0,0,0,31,3,31,52,4,55,130,4,134,3,0,5,13,0,13,139,4,145,259,11,272,73,12,84,143,9,147,187,18,206
CED601,40085,43224,83310,15746,8484,24233,5084,11149,16225,1134,1372,2502,2117,1538,3658,24078,22540,46617,13263,17789,31050,8.8,6.8,7.8,60.1,52.1,56,54.8,48.6,51.6,1072,1096,2166,451,783,1232,3516,5617,9133,2445,3490,5939,9816,4823,14637,472,919,1393,562,1133,1696,10852,6878,17725,37640,39800,77438,6707,7292,14004,26090,27379,53463,16569,17971,34535
CED602,38368,41243,79611,14780,7443,22223,4320,10291,14617,1233,1325,2554,1952,1366,3322,22292,20419,42712,13659,18263,31915,8.8,6.7,7.8,58.1,49.5,53.7,53,46.2,49.5,488,538,1028,323,581,903,2018,3601,5617,2066,3383,5453,10725,5263,15985,514,997,1503,588,1108,1692,11819,7367,19185,37069,39082,76148,5797,6243,12043,26821,27582,54406,14319,15950,30265
CED603,41190,44581,85773,15917,10201,26120,6295,11379,17666,1050,1436,2483,2064,1453,3516,25322,24467,49783,13188,17363,30553,8.2,5.9,7.1,61.5,54.9,58,56.5,51.6,53.9,2774,2955,5735,891,1584,2472,6552,8199,14750,2805,3653,6460,7745,4105,11849,432,682,1113,535,867,1397,8709,5648,14356,37271,39647,76920,7730,8232,15962,24925,26826,51755,18725,19825,38551
CED604,40866,44180,85049,16585,9678,26261,5411,12091,17501,1152,1474,2621,1447,1140,2585,24588,24378,48971,14224,17654,31876,5.9,4.7,5.3,60.2,55.2,57.6,56.6,52.6,54.5,1495,1692,3191,706,1277,1982,4615,6806,11418,3355,4305,7659,10299,4889,15186,413,771,1182,684,1257,1945,11392,6920,18313,40162,42727,82885,6053,6605,12660,28109,29590,57702,16304,17994,34296
CED605,42213,42892,85106,15230,7579,22810,4898,10593,15492,1478,1502,2978,1852,1338,3190,23459,21013,44468,15613,18695,34309,7.9,6.4,7.2,55.6,49,52.3,51.2,45.9,48.5,564,697,1261,276,647,923,2167,3759,5930,2358,3560,5911,11243,5225,16467,457,1001,1461,667,1218,1886,12365,7443,19815,41101,40758,81862,5532,6059,11595,30161,29213,59376,14404,15658,30063
CED694,481,350,835,86,48,139,50,44,91,12,10,18,57,38,95,204,136,345,158,168,329,27.9,27.9,27.5,42.4,38.9,41.3,30.8,29.1,29.7,12,17,31,3,5,6,36,38,77,18,38,59,91,31,120,10,8,16,7,11,13,103,40,152,112,66,176,279,258,540,89,45,133,284,258,541
CED697,49,18,73,31,4,40,3,0,4,3,0,3,0,0,0,38,15,50,5,6,12,0,0,0,77.6,83.3,68.5,75.5,22.2,64.4,0,0,0,0,0,0,3,4,6,4,3,10,17,3,21,0,0,0,0,0,0,19,3,22,32,16,47,11,7,22,21,13,37,25,8,29
CED701,46388,41858,88246,17644,12741,30385,3433,5592,9024,1681,1619,3304,2616,2030,4646,25378,21985,47362,13671,14266,27938,10.3,9.2,9.8,54.7,52.5,53.7,49.1,47.7,48.4,743,1131,1874,394,939,1326,2498,4387,6880,2193,2780,4968,9433,3763,13195,671,924,1590,695,839,1537,10795,5528,16324,41307,39679,80991,7807,7537,15352,29017,28132,57153,16815,16045,32859
CED702,46595,44117,90714,26142,17873,44009,4544,8058,12599,1958,1865,3828,1589,1397,2994,34235,29191,63423,7299,10478,17773,4.6,4.8,4.7,73.5,66.2,69.9,70.1,63,66.6,2113,2294,4408,719,1467,2190,5776,8167,13948,3712,4149,7867,11365,4979,16348,516,667,1180,691,888,1579,12576,6539,19113,36948,35078,72018,13393,13111,26505,19361,18647,38011,28349,26930,55276
CED794,1240,1043,2281,254,149,399,36,66,103,34,41,70,48,33,76,369,280,647,465,427,889,13,11.8,11.7,29.8,26.8,28.4,26.1,24.5,25.1,19,32,52,9,21,34,65,122,184,51,68,121,251,67,322,14,11,29,19,32,45,279,112,392,370,269,639,588,591,1185,231,159,395,666,657,1326
CED797,61,9,72,14,3,16,0,0,3,10,0,10,0,0,0,22,7,25,28,0,29,0,0,0,36.1,77.8,34.7,39.3,33.3,40.3,0,0,3,0,0,0,19,3,17,8,0,8,19,0,17,0,0,0,4,0,4,19,0,17,45,10,52,3,0,7,39,5,42,4,4,8
CED801,78825,83106,161925,38990,28434,67424,9855,17757,27608,2360,3476,5835,2577,2235,4817,53786,51902,105691,20128,26228,46356,4.8,4.3,4.6,68.2,62.5,65.3,65,59.8,62.3,8739,7362,16101,2616,4070,6685,15831,19119,34951,6567,8382,14949,11639,6104,17745,573,923,1496,900,1962,2856,13109,8986,22101,71742,74492,146232,15392,16164,31552,46787,49447,96232,37517,38592,76106
CED802,78944,83302,162247,40973,29223,70196,10663,19061,29723,2318,3417,5735,2806,2568,5374,56754,54267,111027,17893,24642,42537,4.9,4.7,4.8,71.9,65.1,68.4,68.3,62.1,65.1,10048,8676,18728,2668,4072,6737,16548,20294,36850,6751,8192,14942,11258,6478,17737,621,899,1517,876,1726,2600,12754,9098,21858,73482,76381,149865,17685,17931,35614,42142,44732,86878,44614,45579,90191
CED894,297,209,506,63,56,126,24,37,62,15,10,20,29,14,44,133,115,248,89,66,153,21.8,12.2,17.7,44.8,55,49,34.3,49.3,41.1,14,20,40,4,9,10,29,55,81,15,18,30,36,17,50,3,3,10,7,0,5,41,22,62,60,41,98,165,153,319,35,29,64,180,155,336
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,21,30,46,3,4,11,0,0,3,0,4,3,4,3,3,7,11,18,11,14,22,57.1,27.3,16.7,33.3,36.7,39.1,14.3,26.7,37,0,0,0,0,0,0,4,6,10,0,6,9,3,3,4,0,0,0,0,0,0,3,3,4,13,8,21,5,22,28,6,4,14,8,21,29
CED997,3,0,6,3,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,100,0,100,100,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,4,0,4,0,0,3,4,0,4,3,0,4
