CED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED603,420,1818,368,466,65,4430,785,422,2346,901,1429,180,6061,132,57,355,99,191,24,856,85,42,208,139,629,34,1147,76,13,195,75,301,134,797,4213,1852,10613,4184,9830,1082,31773
CED604,335,1861,425,603,78,4053,405,342,1659,988,1528,184,5108,52,29,154,89,198,18,544,47,23,160,179,891,56,1354,24,15,116,82,356,157,743,2346,1461,8204,4824,12734,1235,30801
CED605,146,909,290,545,64,2194,171,172,944,819,1644,190,3941,33,13,91,77,214,23,459,24,11,69,104,840,38,1084,7,8,67,79,483,184,832,851,628,4016,3631,13096,1540,23756
CED694,0,4,0,3,0,8,0,0,6,9,3,3,26,0,0,4,0,0,0,7,0,0,0,0,6,0,6,0,0,0,0,0,3,10,12,3,40,30,58,7,149
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,23,0,30
CED701,390,1366,402,825,163,3584,370,295,1288,724,1022,228,3920,42,26,144,71,214,46,529,57,35,168,139,872,119,1390,37,22,155,108,554,327,1199,1623,1192,5924,4203,12849,1953,27745
CED702,547,1656,450,678,89,4190,646,348,2192,827,945,165,5125,74,20,218,149,264,33,759,75,28,221,189,830,69,1405,78,33,271,194,719,301,1594,3798,1933,11776,6446,15717,1789,41448
CED794,6,9,0,9,0,24,4,6,21,7,5,0,46,0,0,4,0,3,0,10,0,0,0,0,0,0,7,0,0,3,0,13,5,23,31,16,90,52,175,24,387
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,5,0,0,4,0,6,3,18
CED801,842,2951,698,797,88,7270,1591,664,3896,1554,1597,292,9594,140,71,391,148,244,30,1036,203,68,490,347,1093,54,2254,166,43,431,211,483,235,1565,12561,5163,26108,10752,15997,1980,72556
CED802,997,3713,852,913,138,9570,1187,560,3234,1408,1519,196,8106,207,93,513,169,281,27,1284,226,90,497,372,1049,70,2297,265,46,504,242,419,251,1719,15088,5301,28265,11189,16305,1884,78031
CED894,3,7,0,3,0,14,3,0,5,4,8,0,18,0,0,0,0,3,0,3,0,0,0,0,3,0,7,0,0,0,0,0,3,4,22,5,50,16,33,5,139
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
