CED_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED509,55,746,2395,2155,2249,1845,666,162,52,10322,13,329,1756,1599,1701,1238,419,68,14,7140,5,159,1411,1537,1609,1031,292,56,13,6105,0,79,809,1063,1204,823,193,26,14,4211,6,97,1126,1812,1976,1241,257,41,7,6550,11,26,367,899,1077,662,165,52,13,3267,791,900,2041,1829,1719,1398,1234,844,597,11351,9292,9028,19416,19500,20220,17223,13032,6501,2322,116535
CED510,33,800,1886,1614,2168,2085,759,130,69,9544,4,404,1605,1527,1863,1442,478,68,16,7416,3,174,1420,1531,1892,1398,338,40,14,6806,3,57,917,1426,1602,1167,214,34,12,5442,3,65,1323,2662,2984,1994,303,34,12,9384,4,26,515,1761,2215,1184,228,30,5,5970,582,492,900,1008,1050,997,722,455,275,6474,9990,9196,15489,18840,21724,19177,12039,4880,1954,113296
CED511,84,694,1768,1733,2127,1887,735,219,89,9333,33,414,1398,1377,1525,1245,384,102,28,6515,12,279,1277,1327,1513,1136,315,64,20,5947,11,168,1019,1062,1235,921,177,53,9,4649,7,203,1646,1958,2163,1424,290,78,19,7796,18,39,456,811,935,673,248,68,27,3269,1300,942,2501,2279,2493,2514,1939,1238,732,15931,9200,7822,19182,19349,22291,21533,15458,7652,2787,125274
CED512,55,1084,3740,2834,2755,1661,518,142,44,12839,25,538,2612,2304,2178,1169,295,49,20,9194,6,269,2142,2159,2069,1040,203,23,3,7912,3,121,1270,1690,1506,764,148,26,13,5552,3,118,1754,2579,2475,1040,214,31,4,8220,9,47,500,1172,1215,567,156,47,15,3737,1265,1123,2665,2431,2170,1605,1235,843,552,13882,12247,11766,28235,26362,24907,17194,12101,5602,1691,140106
CED513,24,873,3740,1951,1747,1418,586,165,83,10577,12,464,3199,1738,1475,1124,358,60,21,8450,11,224,2852,1809,1545,1026,276,42,20,7791,3,94,1907,1505,1171,838,196,31,8,5747,5,119,3134,3082,2405,1465,321,50,20,10602,3,39,1235,2322,1952,1111,274,78,32,7055,593,1156,3529,1983,1614,1461,1217,1023,994,13578,6792,11074,32922,22614,19045,16362,11175,6360,3289,129646
CED514,24,728,3604,2047,1832,1519,704,220,93,10768,6,374,2594,1734,1458,1106,412,88,24,7806,3,175,2200,1547,1333,925,275,68,26,6552,3,70,1436,1287,1007,709,180,46,10,4752,0,64,2017,2410,1875,1134,276,58,23,7853,4,26,711,1607,1277,787,219,67,27,4722,553,718,2226,1518,1283,1115,1040,971,698,10122,7431,9361,27578,21203,18110,15664,12267,7856,3184,122647
CED515,37,1008,4232,2177,1860,1525,601,171,91,11710,3,543,3104,1719,1437,1077,379,68,33,8369,14,229,2477,1749,1343,997,285,59,33,7181,3,119,1697,1412,1035,742,183,35,12,5237,0,125,2344,2541,2037,1374,297,50,21,8788,11,42,820,1724,1584,944,251,56,32,5469,776,1448,3438,2084,1704,1546,1276,1217,1251,14742,8617,15573,34530,22763,18626,16365,11282,6677,3741,138167
CED516,16,686,1747,1406,1702,1577,839,265,147,8383,3,361,1493,1302,1367,1258,505,126,57,6468,5,175,1310,1370,1460,1206,392,112,43,6071,0,65,887,1186,1221,1001,296,76,45,4770,3,50,1308,2257,2533,1879,454,112,43,8643,8,26,518,1900,2386,1464,400,122,35,6848,528,438,895,808,920,852,789,839,937,6999,9723,9191,15091,17320,18847,17647,12941,7313,3979,112054
CED594,0,21,97,57,33,35,18,3,0,258,0,11,51,23,31,25,9,0,0,154,0,7,47,35,35,25,5,0,0,153,0,7,45,24,25,27,3,0,0,130,0,10,76,64,60,36,14,0,0,246,0,5,39,41,31,26,3,0,0,153,24,95,268,136,176,168,111,20,8,1007,151,503,1306,910,957,977,633,98,23,5559
CED597,0,3,6,3,0,0,0,0,0,19,0,0,4,3,4,3,0,0,0,14,0,0,10,6,3,8,3,0,0,24,0,0,6,10,6,4,0,0,0,25,0,4,43,21,20,6,0,0,0,95,0,0,27,61,42,12,0,0,0,138,0,3,28,21,20,6,0,0,0,89,0,20,127,127,105,43,8,3,3,434
