CED_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
CED138,4138,1374,5565,22472,9131,983,32588,81108,13788,127476
CED139,3402,779,4237,23048,9448,990,33484,78572,13038,125092
CED140,3784,930,4747,22534,9858,1074,33470,75650,8880,117999
CED141,3040,756,3838,23370,11748,1076,36191,74462,7562,118216
CED142,1105,317,1456,15387,5498,436,21317,140312,24846,186472
CED143,2785,696,3536,27110,7966,848,35928,74495,8899,119324
CED144,2989,387,3434,28014,6852,596,35459,93670,10466,139594
CED145,2968,866,3919,21803,7034,603,29441,80118,13998,123563
CED146,1390,385,1801,28344,7931,678,36950,84531,10327,131818
CED147,2930,670,3641,24751,11383,1158,37291,76819,9104,123212
CED194,49,28,78,847,475,45,1373,6811,3361,11545
CED197,6,0,10,39,37,0,79,226,76,374
CED201,2224,343,2603,23115,8579,771,32466,73996,5732,112194
CED202,2787,570,3412,24901,10419,1184,36507,77994,10459,124957
CED203,3126,765,3953,24478,7568,882,32929,91931,11489,136350
CED204,2857,845,3757,23635,10215,1211,35059,75452,11877,122395
CED205,3190,584,3812,24349,8180,519,33049,88413,9064,130519
CED206,1541,314,1893,25440,8205,666,34313,87573,10074,131960
CED207,2112,408,2548,24662,9992,1186,35841,72067,7470,115387
CED208,3953,769,4788,25482,7942,703,34132,96712,8502,139344
CED209,3325,601,3978,26480,10740,1146,38362,75695,8907,122969
CED210,3116,808,3961,22714,10040,1003,33755,78573,11343,123675
CED211,3618,707,4369,26154,9214,978,36346,77086,6580,120018
CED212,3093,555,3702,24169,10067,1137,35376,75127,9487,119996
CED213,3503,984,4541,23961,10921,1050,35930,79812,11060,126797
CED214,2937,571,3558,26941,7372,938,35251,90918,10921,137098
CED215,2730,848,3623,20229,9012,979,30228,74522,13245,117989
CED216,4367,675,5121,26784,8798,909,36497,75859,7506,119860
CED217,1121,181,1332,37120,9644,953,47724,88716,12136,148579
CED218,3030,485,3576,21959,7609,688,30251,91847,9981,132082
CED219,1796,285,2108,37519,9601,1091,48202,94872,10986,154064
CED220,3395,686,4156,25406,7518,668,33590,82780,7958,124324
CED221,2911,770,3755,20649,9036,944,30629,73094,11277,114998
CED222,2755,669,3458,27746,8579,924,37251,82069,8967,128284
