CED_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
CED125,177,201,235,343,1365,1681,987,1972,91,7059,425,707,849,1022,2576,2959,1055,1432,148,11186,211,439,495,624,2585,3025,1345,1632,193,10545,306,1198,1150,1427,1699,1020,540,571,153,8068,432,892,1194,1308,3642,2559,947,859,140,11959,263,1689,1124,985,1373,959,393,512,115,7409,215,340,417,589,2313,1668,1005,1578,172,8293,218,1293,886,951,1763,1314,534,589,206,7753,54,107,67,73,305,237,82,140,419,1484,2296,6872,6417,7315,17617,15434,6883,9283,1650,73759
CED126,290,441,648,878,1374,2889,1807,4690,122,13130,654,1818,2163,2144,2409,4235,2055,3610,175,19263,228,576,635,760,1595,2749,1126,1749,119,9540,254,1778,1328,1125,1031,800,411,472,109,7314,317,1507,1735,1493,1979,1873,730,839,97,10565,202,1754,1054,819,896,1055,465,762,87,7099,57,249,213,200,570,439,241,337,27,2336,130,1089,649,498,677,618,215,319,66,4264,39,113,89,82,128,190,67,153,339,1201,2175,9338,8512,7983,10659,14846,7117,12932,1146,74712
CED127,207,265,395,482,1192,1772,1180,3054,68,8620,606,1440,1750,1785,2497,3016,1418,2438,107,15050,255,528,567,752,1999,2804,1404,2138,174,10620,322,1485,1228,1307,1257,847,552,488,100,7582,289,1203,1327,1382,2286,1732,681,702,91,9690,168,1420,880,691,783,688,328,494,79,5525,123,252,255,298,723,801,506,1144,94,4198,163,1301,817,799,855,831,358,569,105,5810,57,67,48,56,174,169,59,147,288,1064,2199,7963,7264,7557,11765,12663,6485,11162,1107,68160
CED128,145,201,245,362,1182,1670,779,1603,85,6278,352,638,773,851,2566,2846,874,1247,156,10309,184,599,645,741,2402,2895,1196,1372,271,10296,186,1030,971,1082,1291,838,403,491,152,6440,342,895,1159,1286,3562,2456,705,727,143,11276,200,1654,978,756,1114,869,339,401,120,6426,151,369,469,563,1976,1485,725,1150,178,7069,166,1213,853,808,1656,1172,519,577,212,7177,51,109,87,91,317,271,69,109,537,1647,1772,6695,6184,6542,16068,14503,5617,7669,1868,66912
CED129,241,324,432,622,1685,3442,1730,4322,115,12914,661,1614,1970,1976,4185,6409,2352,3565,162,22896,154,468,479,583,1553,2245,955,1477,97,8008,196,1534,1084,905,1018,725,327,352,52,6192,338,1405,1768,1554,2973,2705,830,962,103,12638,206,1960,1109,750,978,1113,447,700,77,7355,56,209,194,203,500,553,252,492,53,2494,116,975,524,394,555,481,214,319,58,3641,37,102,69,93,219,270,69,156,363,1370,2006,8600,7638,7080,13657,17940,7171,12338,1082,77513
CED130,267,465,470,671,1156,1704,1064,4469,163,10432,476,839,1090,1277,2034,2080,1057,1791,128,10776,271,492,463,633,2169,1936,1028,1484,144,8628,335,1162,1036,1385,1269,611,352,488,145,6783,276,840,876,1116,2091,1039,457,453,76,7219,268,1489,868,885,928,501,365,458,98,5868,159,289,298,367,808,726,592,1152,111,4501,292,1733,964,1286,1678,1592,616,795,207,9151,54,84,53,64,152,119,40,125,379,1073,2387,7395,6123,7684,12278,10305,5575,11219,1456,64424
CED131,184,226,328,451,1200,1555,1083,2300,68,7394,818,1594,2068,2337,3694,4469,2076,3059,177,20283,227,487,588,694,2099,2441,1130,1472,125,9267,348,1966,1495,1706,1343,888,545,473,132,8895,359,998,1247,1353,2637,1597,673,564,81,9517,265,2023,1066,954,903,625,295,424,97,6652,128,242,229,252,800,744,517,614,46,3578,237,1541,866,832,902,785,268,388,101,5926,61,71,51,64,157,147,65,103,311,1030,2632,9138,7943,8649,13735,13251,6665,9396,1141,72551
CED132,410,534,713,941,1853,4235,2437,6117,121,17362,1172,2304,2516,2573,5132,9534,4524,8114,280,36148,89,313,434,384,892,1258,604,891,61,4929,168,1452,1131,836,717,689,344,451,77,5870,326,1186,1306,1055,2271,2444,1029,1189,86,10902,181,1224,855,686,834,1161,538,833,74,6389,41,95,140,120,210,180,97,153,14,1043,58,549,485,277,302,309,116,156,34,2295,43,120,109,87,183,293,87,235,340,1500,2475,7782,7702,6952,12397,20113,9775,18141,1084,86432
CED133,222,429,467,643,1024,1392,834,2565,122,7694,455,935,1266,1685,2029,1838,833,1388,91,10519,235,550,605,860,1995,1794,790,1308,121,8269,356,1350,1304,1848,1272,575,344,470,129,7640,243,949,1012,1298,2098,983,411,396,70,7459,230,1710,926,932,971,496,314,414,85,6089,134,311,319,413,737,612,443,994,87,4052,335,1812,1162,1404,1456,1090,448,589,206,8498,59,88,48,82,115,102,40,95,386,1017,2270,8128,7111,9165,11704,8874,4455,8219,1296,61233
CED134,339,453,380,673,1062,1850,1060,5652,222,11692,477,582,836,983,1836,2025,950,1822,99,9615,266,407,407,547,1856,1904,1086,1866,145,8480,352,1040,983,1487,1572,882,404,522,152,7396,258,703,786,1085,2045,1148,445,538,94,7108,182,1248,675,799,976,577,364,511,106,5436,244,293,289,333,872,966,732,1945,131,5803,261,1378,873,879,1262,1289,512,1084,220,7771,75,64,54,70,160,140,63,163,417,1212,2448,6152,5281,6856,11646,10793,5615,14114,1592,64497
