CED_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED408,1189,17,4,10,6,1231,687,13,0,0,0,706,582,8,0,0,3,596,1023,9,7,4,4,1049,1372,16,7,3,5,1414,3550,44,13,11,13,3636,3729,30,3,10,10,3781,4015,31,3,3,10,4063,1610,6,0,6,6,1630,1255,6,0,0,3,1257,745,0,0,0,7,750,732,8,0,3,3,742,20480,195,52,54,78,20861
CED409,907,133,24,3,5,1076,612,89,19,0,0,723,590,82,17,0,0,684,1021,153,37,4,3,1212,1348,253,55,3,4,1655,4186,649,145,5,11,4999,4261,610,107,3,17,4992,3756,476,42,3,16,4297,1155,153,20,5,4,1338,733,105,7,0,6,858,319,58,6,0,0,379,642,82,15,0,0,738,19542,2825,483,32,66,22950
CED410,942,154,41,0,0,1136,434,65,26,0,0,525,338,74,30,0,0,440,578,114,49,0,0,736,726,151,78,0,4,968,2090,496,228,6,9,2826,2303,535,156,0,9,3011,3173,621,98,0,14,3902,1539,228,19,0,3,1785,1350,145,12,0,3,1519,1021,72,11,0,3,1098,499,76,13,0,3,590,14988,2722,757,5,53,18529
CED411,991,60,0,0,6,1059,798,66,5,3,4,877,721,79,0,0,3,805,1520,182,16,6,8,1731,2064,181,13,6,7,2274,5775,280,18,5,20,6096,4912,97,5,11,13,5036,3453,35,0,4,11,3501,993,6,0,0,0,1003,567,6,0,3,3,582,279,6,0,3,3,297,844,30,3,4,3,884,22925,1028,58,48,72,24134
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,840,30,11,3,0,879,402,17,4,0,0,428,370,11,9,0,0,391,699,30,20,3,0,744,856,42,20,0,0,927,2996,112,58,5,4,3176,4725,164,42,8,5,4952,8209,160,28,17,11,8428,3546,50,13,7,9,3623,1923,26,7,3,5,1966,807,11,10,7,3,836,866,24,4,3,3,905,26237,686,223,58,47,27250
CED502,1072,57,8,0,0,1139,479,38,3,0,0,525,440,39,0,0,0,473,750,64,3,0,0,814,1016,80,3,0,0,1103,3179,318,23,0,3,3517,4629,479,21,6,5,5144,7101,476,21,3,3,7605,3734,152,0,0,0,3881,2200,116,3,0,0,2323,895,46,0,0,0,948,907,54,3,0,0,968,26395,1919,95,11,16,28438
CED503,850,34,3,3,0,889,346,25,3,0,0,375,324,14,3,0,0,345,595,37,9,3,0,649,760,21,6,0,3,789,2322,116,24,7,0,2474,3384,151,28,7,5,3573,5867,90,22,5,8,6003,2826,34,11,6,7,2884,1962,20,23,6,4,2019,1011,17,14,5,3,1046,847,21,3,3,4,878,21102,588,152,47,42,21930
CED504,1005,65,0,0,0,1074,409,43,0,0,0,452,353,38,0,0,0,389,700,52,3,0,0,751,912,75,0,0,0,989,2677,250,3,3,0,2933,3341,340,0,0,3,3684,6000,393,0,3,8,6407,3785,144,0,0,4,3936,2264,107,0,0,3,2368,846,36,0,0,0,891,857,45,0,0,0,908,23157,1585,11,5,21,24783
CED505,851,188,77,0,0,1114,182,61,27,0,0,275,145,46,18,0,0,207,218,86,43,0,0,349,302,118,65,0,0,487,771,322,229,0,0,1317,698,378,258,0,0,1343,1433,718,289,3,4,2451,959,540,135,0,8,1636,1854,537,119,3,7,2516,3559,400,81,3,10,4052,535,116,52,0,0,697,11498,3511,1397,9,34,16453
CED506,689,18,0,16,10,735,365,3,0,6,0,381,332,8,3,6,0,343,523,11,4,8,3,555,670,24,5,19,3,726,1591,51,7,23,8,1680,1566,49,13,21,7,1651,2056,51,26,20,10,2162,1171,26,13,11,3,1233,1149,25,7,15,9,1208,755,18,4,18,3,802,513,19,5,10,8,550,11384,309,95,177,68,12029
CED507,861,31,6,3,3,905,377,21,0,3,0,402,334,22,0,3,3,361,649,20,0,5,3,683,893,35,3,7,3,938,2668,134,6,8,9,2821,3561,121,12,8,8,3711,5089,89,11,16,14,5215,2074,32,3,3,9,2121,1443,27,4,9,12,1492,665,14,3,6,7,693,786,16,6,9,0,817,19404,563,56,71,64,20166
CED508,793,115,45,0,3,951,322,47,4,0,0,380,283,34,11,0,0,327,488,76,25,0,0,585,733,97,28,0,0,860,1950,294,109,8,8,2370,2370,388,178,0,0,2943,4568,672,208,3,9,5458,3102,308,72,0,6,3500,2586,273,56,3,8,2931,1475,180,61,0,0,1720,698,90,25,0,0,813,19371,2577,825,17,49,22837
