CED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED328,23,88,3,5113,301,54,4,303,24,197,16,59,17,100,1265,2340,15,0,7,20,3,9,3,0,0,8,20,96,4529,659,107,6021,675,3658,163,789,185,1060,1305,19145
CED329,16,41,4,667,185,58,10,235,17,149,16,87,22,150,926,1863,20,3,11,10,5,8,6,4,3,23,59,159,2321,708,116,3548,306,2143,179,944,201,1750,1028,13240
CED330,12,26,3,1402,373,52,18,340,48,226,19,72,41,139,1043,2378,32,3,36,46,8,20,5,3,16,28,55,253,4686,762,203,5614,646,3490,204,903,275,1518,1154,19462
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,16,37,3,3209,258,52,19,283,30,142,11,48,14,120,932,1899,5,5,6,19,3,7,0,0,8,13,29,103,3271,859,133,5111,546,2830,147,973,160,1412,996,16442
CED402,3,22,3,659,295,59,15,373,26,145,14,49,12,109,788,1873,15,3,8,22,8,9,0,10,3,31,38,140,2983,656,166,5175,469,2332,192,727,174,1144,876,14899
CED403,14,25,4,2536,295,46,20,350,38,141,26,71,17,102,1037,2138,13,0,13,21,5,3,3,3,3,14,17,92,3632,863,150,6327,642,2627,226,942,147,1216,1083,17854
CED404,0,7,0,774,269,53,12,290,23,127,10,66,27,132,1003,2011,17,0,11,13,5,12,0,10,9,30,89,194,2329,577,143,4161,450,2037,163,698,191,1292,1132,13167
CED405,11,35,3,1887,224,57,4,319,20,114,15,57,19,148,827,1809,21,4,10,18,3,8,0,0,0,18,31,112,3088,774,135,5443,599,2515,193,947,188,1443,892,16214
CED406,4,8,0,619,232,61,12,302,22,181,12,80,14,127,822,1870,10,3,9,35,4,6,3,5,5,18,45,145,2922,806,164,5655,614,3027,227,1053,208,1418,901,17014
CED407,3,14,0,1140,279,54,9,317,35,164,23,58,21,137,819,1912,14,5,12,27,0,10,0,0,4,16,31,130,3573,739,128,6005,625,3247,196,991,196,1577,878,18159
CED408,4,22,3,1599,294,89,22,421,27,156,33,71,23,97,1009,2245,15,3,5,18,3,11,0,9,7,3,24,105,3050,912,206,5653,565,2436,226,850,178,934,1076,16085
CED409,4,27,0,674,215,46,13,258,28,199,13,92,27,217,846,1955,15,0,13,19,3,12,3,3,11,30,55,156,3342,855,173,4770,565,3448,201,1365,275,2651,945,18590
CED410,12,37,4,2596,298,51,11,341,23,193,11,59,11,121,1005,2121,11,4,3,21,0,11,0,0,3,16,33,110,3512,883,121,6020,590,3122,184,1030,123,1465,1073,18132
CED411,3,23,0,691,275,33,26,304,35,211,22,71,23,192,922,2112,19,0,9,23,0,3,0,6,8,45,67,184,3175,682,160,5044,557,3525,222,1126,273,2367,1036,18170
CED494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,29,32,0,1836,284,25,22,305,38,238,22,82,28,156,2379,3571,18,3,10,16,14,15,3,7,7,22,49,164,3450,541,168,5292,644,4917,253,1009,391,1367,2467,20497
CED502,18,50,3,1894,268,43,24,304,31,244,19,88,35,170,1654,2882,25,3,16,26,0,22,0,4,6,30,75,203,4066,807,186,5761,637,5595,221,1335,332,1939,1779,22654
CED503,30,36,3,1801,270,54,21,294,46,215,19,75,35,122,1855,3009,26,0,15,17,7,7,4,7,16,16,54,162,2691,567,134,4571,447,3525,213,859,340,1178,1943,16475
CED504,14,18,0,1733,278,59,26,325,28,209,15,84,36,170,1377,2613,25,4,17,34,4,12,3,3,15,34,56,207,3735,871,194,5982,612,4186,236,1142,272,1788,1477,20500
CED505,25,115,3,6571,201,57,3,322,26,206,14,73,23,92,1349,2358,17,10,9,22,9,11,3,8,0,15,35,125,2875,741,94,5503,497,3723,123,820,146,834,1396,16742
CED506,18,9,3,2444,375,58,26,348,45,187,29,55,38,192,1454,2797,33,7,10,29,6,21,0,8,14,48,101,275,3571,532,220,4590,613,3508,240,600,352,1467,1609,17306
CED507,18,21,3,1384,277,63,15,364,28,184,20,60,30,87,1808,2930,21,6,9,21,3,12,3,7,0,13,41,130,2564,796,165,5285,459,3177,281,831,292,903,1888,16641
CED508,26,50,0,2856,253,50,22,332,36,184,13,71,31,123,1459,2572,16,3,5,30,3,5,3,0,3,15,30,116,3177,705,147,5955,619,3706,201,854,263,1160,1516,18305
